cell_id,nhit_bin,predE_bin,mc_count,formal_nhit_bin,statistics_level,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_cell_id_v1,source_cell_id_v2,source_cell_id_v2p1,crab_roi_events_v2
1,"[30,60)","[2,3)",86609,True,acceptable,v2_raw65,legacy low-Nhit acceptable cell kept only for diagnostics,v2_raw65,diagnostic_legacy_low_nhit,legacy low-Nhit acceptable cell kept only for diagnostics,old_acceptable_pool,1,,,
2,"[60,100)","[2,3)",423777,True,acceptable,v2_raw65,legacy low-Nhit acceptable cell kept only for diagnostics,v2_raw65,diagnostic_legacy_low_nhit,legacy low-Nhit acceptable cell kept only for diagnostics,old_acceptable_pool,2,,,
3,"[60,100)","[3,3.25)",22631,True,acceptable,v2_raw65,legacy low-Nhit acceptable cell kept only for diagnostics,v2_raw65,diagnostic_legacy_low_nhit,legacy low-Nhit acceptable cell kept only for diagnostics,old_acceptable_pool,3,,,
4,"[60,100)","[3.25,3.5)",10455,True,acceptable,v2_raw65,legacy low-Nhit acceptable cell kept only for diagnostics,v2_raw65,diagnostic_legacy_low_nhit,legacy low-Nhit acceptable cell kept only for diagnostics,old_acceptable_pool,,,,
5,"[60,100)","[3.5,3.75)",4387,True,acceptable,v2_raw65,legacy low-Nhit acceptable cell kept only for diagnostics,v2_raw65,diagnostic_legacy_low_nhit,legacy low-Nhit acceptable cell kept only for diagnostics,old_acceptable_pool,,,,
6,"[60,100)","[3.75,4.0)",1738,True,acceptable,v2_raw65,legacy low-Nhit acceptable cell kept only for diagnostics,v2_raw65,diagnostic_legacy_low_nhit,legacy low-Nhit acceptable cell kept only for diagnostics,old_acceptable_pool,,,,
7,"[100,200)","[2,3)",935671,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,4,,,
8,"[100,200)","[3,3.25)",149327,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,5,,,
9,"[100,200)","[3.25,3.5)",76652,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,,,
10,"[100,200)","[3.5,3.75)",39630,True,acceptable,v2_raw65,"[100,200) transition cell excluded from baseline; reserved as probe",v2_raw65,transition_probe,"[100,200) transition cell excluded from baseline; reserved as probe",old_acceptable_pool,,,,
11,"[100,200)","[3.75,4.0)",18311,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
12,"[100,200)","[4.0,4.25)",8898,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
13,"[100,200)","[4.25,4.5)",4433,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
14,"[100,200)","[4.5,4.75)",2325,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
15,"[100,200)","[4.75,5.0)",1337,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
16,"[100,200)",>=5,2000,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
17,"[200,300)","[2,3)",258212,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,6,1,1,1607188
18,"[200,300)","[3,3.25)",162827,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,7,2,2,877841
19,"[200,300)","[3.25,3.5)",80983,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,3,3,553094
20,"[200,300)","[3.5,3.75)",43842,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,4,4,319727
21,"[200,300)","[3.75,4.0)",24555,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,5,5,151395
22,"[200,300)","[4.0,4.25)",14043,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
23,"[200,300)","[4.25,4.5)",7191,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
24,"[200,300)","[4.5,4.75)",3776,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
25,"[200,300)","[4.75,5.0)",2074,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
26,"[200,300)",>=5,2948,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
27,"[300,500)","[2,3)",54913,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
28,"[300,500)","[3,3.25)",157484,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,8,6,6,551891
29,"[300,500)","[3.25,3.5)",152731,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,9,7,7,450530
30,"[300,500)","[3.5,3.75)",66096,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,8,8,251808
31,"[300,500)","[3.75,4.0)",35732,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,9,9,130865
32,"[300,500)","[4.0,4.25)",23752,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,10,10,55180
33,"[300,500)","[4.25,4.5)",13026,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
34,"[300,500)","[4.5,4.75)",7594,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
35,"[300,500)","[4.75,5.0)",4198,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
36,"[300,500)",>=5,7250,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
37,"[500,800)","[3,3.25)",18134,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
38,"[500,800)","[3.25,3.5)",89790,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,10,11,11,211419
39,"[500,800)","[3.5,3.75)",85249,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,11,12,12,154719
40,"[500,800)","[3.75,4.0)",34158,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,12,13,13,66419
41,"[500,800)","[4.0,4.25)",22437,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,14,14,25017
42,"[500,800)","[4.25,4.5)",13314,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,,15,15,8382
43,"[500,800)","[4.5,4.75)",8433,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
44,"[500,800)","[4.75,5.0)",5047,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
45,"[500,800)",>=5,11975,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
46,"[800,1100)","[3.25,3.5)",9816,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
47,"[800,1100)","[3.5,3.75)",34552,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,13,16,16,55142
48,"[800,1100)","[3.75,4.0)",28276,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,14,17,17,37724
49,"[800,1100)","[4.0,4.25)",13829,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,15,18,18,12463
50,"[800,1100)","[4.25,4.5)",7962,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,19,,
51,"[800,1100)","[4.5,4.75)",4706,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,20,,
52,"[800,1100)","[4.75,5.0)",2837,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
53,"[800,1100)",>=5,5314,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
54,"[1100,2000)","[3.5,3.75)",7497,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,,,
55,"[1100,2000)","[3.75,4.0)",24408,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,16,21,21,22040
56,"[1100,2000)","[4.0,4.25)",27355,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,17,22,22,19684
57,"[1100,2000)","[4.25,4.5)",13358,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,old_acceptable_pool,18,23,23,10212
58,"[1100,2000)","[4.5,4.75)",6012,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,24,,
59,"[1100,2000)","[4.75,5.0)",2958,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,25,,
60,"[1100,2000)",>=5,3396,True,acceptable,v2_raw65,acceptable-pool response/background tail kept for diagnostics,v2_raw65,diagnostic_response_tail,acceptable-pool response/background tail kept for diagnostics,old_acceptable_pool,,26,,
61,"[2000,3000)","[4.0,4.25)",1114,True,acceptable,v2_raw65,high-Nhit boundary cell kept in raw ledger but excluded from baseline,v2_raw65,diagnostic_low_stat_high_energy,high-Nhit boundary cell kept in raw ledger but excluded from baseline,v2_high_nhit_split,,27,,
62,"[2000,3000)","[4.25,4.5)",2734,True,acceptable,v2_raw65,high-Nhit boundary cell kept in raw ledger but excluded from baseline,v2_raw65,diagnostic_low_stat_high_energy,high-Nhit boundary cell kept in raw ledger but excluded from baseline,v2_high_nhit_split,,28,,
63,"[2000,3000)","[4.5,4.75)",4972,True,acceptable,v2_raw65,high-Nhit boundary cell kept in raw ledger but excluded from baseline,v2_raw65,diagnostic_low_stat_high_energy,high-Nhit boundary cell kept in raw ledger but excluded from baseline,v2_high_nhit_split,,29,,
64,"[2000,3000)","[4.75,5.0)",5497,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,v2_high_nhit_split,,30,30,5164
65,"[2000,3000)",>=5,6211,True,acceptable,v2_raw65,prefit frozen baseline26 selector cell,v2_raw65,baseline_fit,prefit frozen baseline26 selector cell,v2_high_nhit_split,,31,31,7907
