cell_id,nhit_bin,predE_bin,mc_count,candidate_version,central99_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bin
1,"[125,200)","[2,2.5)",186591,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,"[100,200)","[2,3)"
2,"[125,200)","[2.5,3)",418034,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,"[100,200)","[2,3)"
3,"[125,200)","[3,3.25)",88759,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,"[100,200)","[3,3.25)"
4,"[125,200)","[3.25,3.5)",42094,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,"[100,200)","[3.25,3.5)"
5,"[125,200)","[3.5,3.75)",23611,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.5,3.75)"
6,"[125,200)","[3.75,4.0)",16474,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.75,4.0)"
7,"[125,200)","[4.0,4.25)",11008,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.0,4.25)"
8,"[125,200)","[4.25,4.5)",7175,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.25,4.5)"
9,"[125,200)","[4.5,4.75)",5325,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.5,4.75)"
10,"[125,200)","[4.75,5.0)",4880,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.75,5.0)"
11,"[125,200)","[5,6)",19089,v3_candidate,1,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[100,200)",>=5
12,"[125,200)",>=6,157,v3_candidate,0,v3_candidate,high-energy low-stat/upper-limit probe; not default baseline,v3_candidate,diagnostic_high_energy_probe,high-energy low-stat/upper-limit probe; not default baseline,filtered_existing_cache,"[100,200)",>=5
13,"[200,300)","[2,2.5)",17965,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[200,300)","[2,3)"
14,"[200,300)","[2.5,3)",255726,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,filtered_existing_cache,"[200,300)","[2,3)"
15,"[200,300)","[3,3.25)",122642,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[200,300)","[3,3.25)"
16,"[200,300)","[3.25,3.5)",55093,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[200,300)","[3.25,3.5)"
17,"[200,300)","[3.5,3.75)",26172,v3_candidate,1,v3_candidate,central99 MC-occupancy-ridge prefit cell,v3_candidate,baseline_fit,central99 MC-occupancy-ridge prefit cell,existing_cache_symlink,"[200,300)","[3.5,3.75)"
18,"[200,300)","[3.75,4.0)",16631,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[3.75,4.0)"
19,"[200,300)","[4.0,4.25)",13247,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.0,4.25)"
20,"[200,300)","[4.25,4.5)",10121,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.25,4.5)"
21,"[200,300)","[4.5,4.75)",7811,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.5,4.75)"
22,"[200,300)","[4.75,5.0)",6480,v3_candidate,1,v3_candidate,central-99 count-qualified probe outside MC occupancy ridge,v3_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.75,5.0)"
