cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
1,"[125,200)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[100,200)",<2
2,"[125,200)","[2,3)",604625,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
3,"[125,200)","[3,4)",170938,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[100,200)","[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
4,"[125,200)","[4,5)",28388,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_gap1,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,merged_filtered_existing_cache,"[100,200)","[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
5,"[125,200)","[5,6)",19089,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_gap1,high_energy_probe,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[100,200)",>=5
6,"[125,200)",>=6,157,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[100,200)",>=5
7,"[200,300)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",existing_cache_symlink,"[200,300)",<2
8,"[200,300)","[2,3)",273691,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[2,3)"
9,"[200,300)","[3,4)",220538,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[200,300)","[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
10,"[200,300)","[4,5)",37659,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[200,300)","[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
11,"[200,300)","[5,6)",24254,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_gap1,high_energy_probe,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[200,300)",>=5
12,"[200,300)",>=6,203,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[200,300)",>=5
13,"[300,500)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",existing_cache_symlink,"[300,500)",<2
14,"[300,500)","[2,3)",80409,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[2,3)"
15,"[300,500)","[3,4)",331536,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[300,500)","[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
16,"[300,500)","[4,5)",43086,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[300,500)","[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
17,"[300,500)","[5,6)",34776,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_gap1,high_energy_probe,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[300,500)",>=5
18,"[300,500)",>=6,433,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[300,500)",>=5
19,"[500,800)",<2,0,v5_predbin_gap1,gap1,0,0,1,v5_predbin_gap1,"diagnostic tail bin outside [2,6); not used in main fit",v5_predbin_gap1,diagnostic_tail,"diagnostic tail bin outside [2,6); not used in main fit",existing_cache_symlink,"[500,800)",<2
20,"[500,800)","[2,3)",913,v5_predbin_gap1,gap1,0,1,0,v5_predbin_gap1,outside MC central-99 reconstructed-energy population,v5_predbin_gap1,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,existing_cache_symlink,"[500,800)","[2,3)"
21,"[500,800)","[3,4)",212589,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[500,800)","[3,3.25);[3.25,3.5);[3.5,3.75);[3.75,4.0)"
22,"[500,800)","[4,5)",26409,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_gap1,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",merged_filtered_existing_cache,"[500,800)","[4.0,4.25);[4.25,4.5);[4.5,4.75);[4.75,5.0)"
23,"[500,800)","[5,6)",27712,v5_predbin_gap1,gap1,1,1,0,v5_predbin_gap1,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_gap1,high_energy_probe,"[5,6) retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[500,800)",>=5
