cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
1,"[125,200)","[2,2.5)",186591,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
2,"[125,200)","[2.5,3)",418034,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
3,"[125,200)","[3,3.25)",88759,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[3,3.25)"
4,"[125,200)","[3.25,3.5)",42094,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v5_predbin_split56,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[3.25,3.5)"
5,"[125,200)","[3.5,3.75)",23611,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.5,3.75)"
6,"[125,200)","[3.75,4.0)",16474,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.75,4.0)"
7,"[125,200)","[4.0,4.25)",11008,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.0,4.25)"
8,"[125,200)","[4.25,4.5)",7175,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.25,4.5)"
9,"[125,200)","[4.5,4.75)",5325,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.5,4.75)"
10,"[125,200)","[4.75,5.0)",4880,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,central-99 count-qualified probe outside MC occupancy ridge,v5_predbin_split56,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.75,5.0)"
11,"[125,200)","[5,5.5)",10845,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[100,200)",>=5
12,"[125,200)","[5.5,6)",8244,v5_predbin_split56,split56,1,1,0,v5_predbin_split56,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",v5_predbin_split56,high_energy_probe,"[5,6) split retained as high-energy diagnostic/probe outside highest Nhit ridge",filtered_existing_cache,"[100,200)",>=5
