cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
1,"[100,200)","[2,2.5)",355123,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_nhit100_highEplus1_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
2,"[100,200)","[2.5,3)",570475,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_nhit100_highEplus1_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
3,"[100,200)","[3,3.25)",119345,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_nhit100_highEplus1_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[100,200)","[3,3.25)"
4,"[100,200)","[3.25,3.5)",54366,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[3.25,3.5)"
5,"[100,200)","[3.5,3.75)",30637,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[3.5,3.75)"
6,"[100,200)","[3.75,4.0)",19553,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[3.75,4.0)"
7,"[100,200)","[4.0,4.25)",13002,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[4.0,4.25)"
8,"[100,200)","[4.25,4.5)",9017,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[4.25,4.5)"
9,"[100,200)","[4.5,4.75)",7232,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[4.5,4.75)"
10,"[100,200)","[4.75,5.0)",6518,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_nhit100_highEplus1_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[100,200)","[4.75,5.0)"
11,"[100,200)","[5,5.5)",13418,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64748_nhit100_highEplus1_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[100,200)",>=5
12,"[100,200)","[5.5,6)",11489,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,1,1,0,v6_64748_nhit100_highEplus1_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64748_nhit100_highEplus1_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[100,200)",>=5
13,"[100,200)",>=6,173,v6_64748_nhit100_highEplus1_split56_candidate,nhit100_highEplus1_split56,0,0,1,v6_64748_nhit100_highEplus1_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64748_nhit100_highEplus1_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[100,200)",>=5
