cell_id,nhit_bin,predE_bin,mc_count,candidate_version,strategy,central99_flag,fit_predE_range_flag,tail_bin_flag,selection_version,selection_reason,raw_ledger_version,cell_role,role_reason,source_pool,source_nhit_bin,source_predE_bins
1,"[125,200)","[2,2.5)",186591,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
2,"[125,200)","[2.5,3)",418034,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[2,3)"
3,"[125,200)","[3,3.25)",88759,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[100,200)","[3,3.25)"
4,"[125,200)","[3.25,3.5)",42094,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.25,3.5)"
5,"[125,200)","[3.5,3.75)",23611,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.5,3.75)"
6,"[125,200)","[3.75,4.0)",16474,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[3.75,4.0)"
7,"[125,200)","[4.0,4.25)",11008,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.0,4.25)"
8,"[125,200)","[4.25,4.5)",7175,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.25,4.5)"
9,"[125,200)","[4.5,4.75)",5325,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.5,4.75)"
10,"[125,200)","[4.75,5.0)",4880,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[100,200)","[4.75,5.0)"
11,"[125,200)","[5,5.5)",10845,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64748_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[100,200)",>=5
12,"[125,200)","[5.5,6)",8244,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64748_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[100,200)",>=5
13,"[125,200)",>=6,157,v6_64748_split56_candidate,split56,0,0,1,v6_64748_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64748_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[100,200)",>=5
14,"[200,300)","[2,2.5)",17965,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,filtered_existing_cache,"[200,300)","[2,3)"
15,"[200,300)","[2.5,3)",255726,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[200,300)","[2,3)"
16,"[200,300)","[3,3.25)",122642,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3,3.25)"
17,"[200,300)","[3.25,3.5)",55093,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3.25,3.5)"
18,"[200,300)","[3.5,3.75)",26172,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[200,300)","[3.5,3.75)"
19,"[200,300)","[3.75,4.0)",16631,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[3.75,4.0)"
20,"[200,300)","[4.0,4.25)",13247,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.0,4.25)"
21,"[200,300)","[4.25,4.5)",10121,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.25,4.5)"
22,"[200,300)","[4.5,4.75)",7811,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.5,4.75)"
23,"[200,300)","[4.75,5.0)",6480,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[200,300)","[4.75,5.0)"
24,"[200,300)","[5,5.5)",13668,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64748_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[200,300)",>=5
25,"[200,300)","[5.5,6)",10586,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,v6_64748_split56_candidate,high_energy_probe,split56 high-energy diagnostic/probe outside preserved highest-Nhit baseline split,filtered_existing_cache,"[200,300)",>=5
26,"[200,300)",>=6,203,v6_64748_split56_candidate,split56,0,0,1,v6_64748_split56_candidate,"diagnostic >=6 tail bin outside [2,6); not used in main fit",v6_64748_split56_candidate,diagnostic_tail,"diagnostic >=6 tail bin outside [2,6); not used in main fit",filtered_existing_cache,"[200,300)",>=5
27,"[300,500)","[2,2.5)",227,v6_64748_split56_candidate,split56,0,1,0,v6_64748_split56_candidate,outside MC central-99 reconstructed-energy population,v6_64748_split56_candidate,diagnostic_response_tail,outside MC central-99 reconstructed-energy population,filtered_existing_cache,"[300,500)","[2,3)"
28,"[300,500)","[2.5,3)",80182,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[300,500)","[2,3)"
29,"[300,500)","[3,3.25)",151506,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3,3.25)"
30,"[300,500)","[3.25,3.5)",112141,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.25,3.5)"
31,"[300,500)","[3.5,3.75)",46983,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.5,3.75)"
32,"[300,500)","[3.75,4.0)",20906,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[3.75,4.0)"
33,"[300,500)","[4.0,4.25)",13417,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",existing_cache_symlink,"[300,500)","[4.0,4.25)"
34,"[300,500)","[4.25,4.5)",11186,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.25,4.5)"
35,"[300,500)","[4.5,4.75)",10057,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.5,4.75)"
36,"[300,500)","[4.75,5.0)",8426,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,central-99 count-qualified probe outside MC occupancy ridge,v6_64748_split56_candidate,systematics_probe,central-99 count-qualified probe outside MC occupancy ridge,existing_cache_symlink,"[300,500)","[4.75,5.0)"
37,"[300,500)","[5,5.5)",17631,v6_64748_split56_candidate,split56,1,1,0,v6_64748_split56_candidate,"central99 MC-occupancy-ridge prefit cell inside [2,6)",v6_64748_split56_candidate,baseline_fit,"central99 MC-occupancy-ridge prefit cell inside [2,6)",filtered_existing_cache,"[300,500)",>=5
