cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,cell_role,raw_ledger_version
1,0,v2_baseline24,excluded from baseline24: diagnostic_legacy_low_nhit,"[30,60)","[2,3)",diagnostic_legacy_low_nhit,v2_raw65
2,0,v2_baseline24,excluded from baseline24: diagnostic_legacy_low_nhit,"[60,100)","[2,3)",diagnostic_legacy_low_nhit,v2_raw65
3,0,v2_baseline24,excluded from baseline24: diagnostic_legacy_low_nhit,"[60,100)","[3,3.25)",diagnostic_legacy_low_nhit,v2_raw65
4,0,v2_baseline24,excluded from baseline24: diagnostic_legacy_low_nhit,"[60,100)","[3.25,3.5)",diagnostic_legacy_low_nhit,v2_raw65
5,0,v2_baseline24,excluded from baseline24: diagnostic_legacy_low_nhit,"[60,100)","[3.5,3.75)",diagnostic_legacy_low_nhit,v2_raw65
6,0,v2_baseline24,excluded from baseline24: diagnostic_legacy_low_nhit,"[60,100)","[3.75,4.0)",diagnostic_legacy_low_nhit,v2_raw65
7,1,v2_baseline24,included in frozen v2 baseline24,"[100,200)","[2,3)",baseline_fit,v2_raw65
8,1,v2_baseline24,included in frozen v2 baseline24,"[100,200)","[3,3.25)",baseline_fit,v2_raw65
9,1,v2_baseline24,included in frozen v2 baseline24,"[100,200)","[3.25,3.5)",baseline_fit,v2_raw65
10,0,v2_baseline24,excluded from baseline24: transition_probe,"[100,200)","[3.5,3.75)",transition_probe,v2_raw65
11,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[100,200)","[3.75,4.0)",diagnostic_response_tail,v2_raw65
12,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[100,200)","[4.0,4.25)",diagnostic_response_tail,v2_raw65
13,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[100,200)","[4.25,4.5)",diagnostic_response_tail,v2_raw65
14,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[100,200)","[4.5,4.75)",diagnostic_response_tail,v2_raw65
15,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[100,200)","[4.75,5.0)",diagnostic_response_tail,v2_raw65
16,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[100,200)",>=5,diagnostic_response_tail,v2_raw65
17,1,v2_baseline24,included in frozen v2 baseline24,"[200,300)","[2,3)",baseline_fit,v2_raw65
18,1,v2_baseline24,included in frozen v2 baseline24,"[200,300)","[3,3.25)",baseline_fit,v2_raw65
19,1,v2_baseline24,included in frozen v2 baseline24,"[200,300)","[3.25,3.5)",baseline_fit,v2_raw65
20,1,v2_baseline24,included in frozen v2 baseline24,"[200,300)","[3.5,3.75)",baseline_fit,v2_raw65
21,1,v2_baseline24,included in frozen v2 baseline24,"[200,300)","[3.75,4.0)",baseline_fit,v2_raw65
22,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[200,300)","[4.0,4.25)",diagnostic_response_tail,v2_raw65
23,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[200,300)","[4.25,4.5)",diagnostic_response_tail,v2_raw65
24,0,v2_baseline24,excluded from baseline24: diagnostic_response_tail,"[200,300)","[4.5,4.75)",diagnostic_response_tail,v2_raw65
