cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,cell_role,exclusion_source
1,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[2,2.5)",186591,1,0,excluded,MC_prefit_selector
2,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[2.5,3)",418034,1,1,excluded,MC_prefit_selector
3,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[3,3.25)",88759,1,1,excluded,MC_prefit_selector
4,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[3.25,3.5)",42094,1,1,excluded,MC_prefit_selector
5,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[3.5,3.75)",23611,1,0,excluded,MC_prefit_selector
6,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[3.75,4.0)",16474,1,0,excluded,MC_prefit_selector
7,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[4.0,4.25)",11008,1,0,excluded,MC_prefit_selector
8,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[4.25,4.5)",7175,1,0,excluded,MC_prefit_selector
9,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[4.5,4.75)",5325,1,0,excluded,MC_prefit_selector
10,0,v3_high_energy_probes,excluded from high-energy probe selector,"[125,200)","[4.75,5.0)",4880,1,0,excluded,MC_prefit_selector
11,1,v3_high_energy_probes,high-energy probe selector cell,"[125,200)","[5,6)",19089,1,0,probe,
12,1,v3_high_energy_probes,high-energy probe selector cell,"[125,200)",>=6,157,0,0,probe,
13,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[2,2.5)",17965,1,0,excluded,MC_prefit_selector
14,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[2.5,3)",255726,1,1,excluded,MC_prefit_selector
15,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[3,3.25)",122642,1,1,excluded,MC_prefit_selector
16,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[3.25,3.5)",55093,1,1,excluded,MC_prefit_selector
17,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[3.5,3.75)",26172,1,1,excluded,MC_prefit_selector
18,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[3.75,4.0)",16631,1,0,excluded,MC_prefit_selector
19,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[4.0,4.25)",13247,1,0,excluded,MC_prefit_selector
20,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[4.25,4.5)",10121,1,0,excluded,MC_prefit_selector
21,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[4.5,4.75)",7811,1,0,excluded,MC_prefit_selector
22,0,v3_high_energy_probes,excluded from high-energy probe selector,"[200,300)","[4.75,5.0)",6480,1,0,excluded,MC_prefit_selector
23,1,v3_high_energy_probes,high-energy probe selector cell,"[200,300)","[5,6)",24254,1,0,probe,
24,1,v3_high_energy_probes,high-energy probe selector cell,"[200,300)",>=6,203,0,0,probe,
25,0,v3_high_energy_probes,excluded from high-energy probe selector,"[300,500)","[2,2.5)",227,0,0,excluded,MC_prefit_selector
