cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,cell_role,exclusion_source
1,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[2,2.5)",186591,1,0,probe,
2,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[2.5,3)",418034,1,1,probe,
3,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[3,3.25)",88759,1,1,probe,
4,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[3.25,3.5)",42094,1,1,probe,
5,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[3.5,3.75)",23611,1,0,probe,
6,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[3.75,4.0)",16474,1,0,probe,
7,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[4.0,4.25)",11008,1,0,probe,
8,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[4.25,4.5)",7175,1,0,probe,
9,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[4.5,4.75)",5325,1,0,probe,
10,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[4.75,5.0)",4880,1,0,probe,
11,1,v3_systematics,central99 count-qualified expanded systematics cell,"[125,200)","[5,6)",19089,1,0,probe,
12,0,v3_systematics,excluded from expanded systematics selector,"[125,200)",>=6,157,0,0,excluded,MC_prefit_selector
13,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[2,2.5)",17965,1,0,probe,
14,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[2.5,3)",255726,1,1,probe,
15,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[3,3.25)",122642,1,1,probe,
16,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[3.25,3.5)",55093,1,1,probe,
17,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[3.5,3.75)",26172,1,1,probe,
18,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[3.75,4.0)",16631,1,0,probe,
19,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.0,4.25)",13247,1,0,probe,
20,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.25,4.5)",10121,1,0,probe,
21,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.5,4.75)",7811,1,0,probe,
22,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[4.75,5.0)",6480,1,0,probe,
23,1,v3_systematics,central99 count-qualified expanded systematics cell,"[200,300)","[5,6)",24254,1,0,probe,
24,0,v3_systematics,excluded from expanded systematics selector,"[200,300)",>=6,203,0,0,excluded,MC_prefit_selector
25,0,v3_systematics,excluded from expanded systematics selector,"[300,500)","[2,2.5)",227,0,0,excluded,MC_prefit_selector
26,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[2.5,3)",80182,1,0,probe,
27,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3,3.25)",151506,1,1,probe,
28,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3.25,3.5)",112141,1,1,probe,
29,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3.5,3.75)",46983,1,1,probe,
30,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[3.75,4.0)",20906,1,1,probe,
31,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.0,4.25)",13417,1,1,probe,
32,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.25,4.5)",11186,1,0,probe,
33,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.5,4.75)",10057,1,0,probe,
34,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[4.75,5.0)",8426,1,0,probe,
35,1,v3_systematics,central99 count-qualified expanded systematics cell,"[300,500)","[5,6)",34776,1,0,probe,
36,0,v3_systematics,excluded from expanded systematics selector,"[300,500)",>=6,433,0,0,excluded,MC_prefit_selector
37,0,v3_systematics,excluded from expanded systematics selector,"[500,800)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
38,0,v3_systematics,excluded from expanded systematics selector,"[500,800)","[2.5,3)",913,0,0,excluded,MC_prefit_selector
39,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3,3.25)",27769,1,0,probe,
40,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3.25,3.5)",89513,1,1,probe,
41,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3.5,3.75)",68604,1,1,probe,
42,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[3.75,4.0)",26703,1,1,probe,
43,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.0,4.25)",10601,1,1,probe,
44,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.25,4.5)",5257,1,1,probe,
45,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.5,4.75)",5154,1,0,probe,
46,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[4.75,5.0)",5397,1,0,probe,
47,1,v3_systematics,central99 count-qualified expanded systematics cell,"[500,800)","[5,6)",27712,1,0,probe,
48,0,v3_systematics,excluded from expanded systematics selector,"[500,800)",>=6,426,0,0,excluded,MC_prefit_selector
49,0,v3_systematics,excluded from expanded systematics selector,"[800,1100)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
50,0,v3_systematics,excluded from expanded systematics selector,"[800,1100)","[2.5,3)",5,0,0,excluded,MC_prefit_selector
51,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3,3.25)",1093,1,0,probe,
52,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3.25,3.5)",15783,1,0,probe,
53,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3.5,3.75)",32787,1,1,probe,
54,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[3.75,4.0)",22615,1,1,probe,
55,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.0,4.25)",9020,1,1,probe,
56,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.25,4.5)",2841,1,1,probe,
57,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.5,4.75)",1287,1,1,probe,
58,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[4.75,5.0)",1482,1,0,probe,
59,1,v3_systematics,central99 count-qualified expanded systematics cell,"[800,1100)","[5,6)",8235,1,0,probe,
60,0,v3_systematics,excluded from expanded systematics selector,"[800,1100)",>=6,71,0,0,excluded,MC_prefit_selector
61,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
62,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[2.5,3)",0,0,0,excluded,MC_prefit_selector
63,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[3,3.25)",16,0,0,excluded,MC_prefit_selector
64,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[3.25,3.5)",1565,1,0,probe,
65,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[3.5,3.75)",10960,1,0,probe,
66,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[3.75,4.0)",23726,1,1,probe,
67,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.0,4.25)",23998,1,1,probe,
68,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.25,4.5)",13380,1,1,probe,
69,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.5,4.75)",5650,1,1,probe,
70,1,v3_systematics,central99 count-qualified expanded systematics cell,"[1100,2000)","[4.75,5.0)",1641,1,1,probe,
71,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)","[5,6)",910,1,0,excluded,MC_prefit_selector
72,0,v3_systematics,excluded from expanded systematics selector,"[1100,2000)",>=6,4,0,0,excluded,MC_prefit_selector
73,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[2,2.5)",0,0,0,excluded,MC_prefit_selector
74,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[2.5,3)",0,0,0,excluded,MC_prefit_selector
75,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3,3.25)",0,0,0,excluded,MC_prefit_selector
76,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3.25,3.5)",0,0,0,excluded,MC_prefit_selector
77,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3.5,3.75)",4,0,0,excluded,MC_prefit_selector
78,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)","[3.75,4.0)",156,1,0,excluded,MC_prefit_selector
79,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.0,4.25)",1175,1,0,probe,
80,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.25,4.5)",3127,1,1,probe,
81,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.5,4.75)",5515,1,1,probe,
82,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[4.75,5.0)",5332,1,1,probe,
83,1,v3_systematics,central99 count-qualified expanded systematics cell,"[2000,3000)","[5,6)",7233,1,1,probe,
84,0,v3_systematics,excluded from expanded systematics selector,"[2000,3000)",>=6,0,0,0,excluded,MC_prefit_selector
