cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
1,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[125,200)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
2,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[125,200)","[2,3)",604625,1,1,1.0,1,0,1,baseline_fit,
3,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[125,200)","[3,4)",170938,1,1,0.2827173868100062,1,0,1,baseline_fit,
4,0,v5_predbin_gap1_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[4,5)",28388,1,0,0.04695141616704569,1,0,1,excluded,MC_prefit_selector
5,0,v5_predbin_gap1_selector,"[5,6) high-energy probe excluded except highest Nhit ridge","[125,200)","[5,6)",19089,1,0,0.03157163531114327,1,0,1,high_energy_probe,high_energy_probe
6,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[125,200)",>=6,157,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
7,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[200,300)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
8,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[2,3)",273691,1,1,1.0,1,0,1,baseline_fit,
9,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[3,4)",220538,1,1,0.8057919332385792,1,0,1,baseline_fit,
10,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[4,5)",37659,1,1,0.1375967788491401,1,0,1,baseline_fit,
11,0,v5_predbin_gap1_selector,"[5,6) high-energy probe excluded except highest Nhit ridge","[200,300)","[5,6)",24254,1,0,0.08861818620268844,1,0,1,high_energy_probe,high_energy_probe
12,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[200,300)",>=6,203,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
13,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[300,500)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
14,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[2,3)",80409,1,1,0.24253474735775302,1,0,1,baseline_fit,
15,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3,4)",331536,1,1,1.0,1,0,1,baseline_fit,
16,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[4,5)",43086,1,1,0.12995873751266832,1,0,1,baseline_fit,
17,0,v5_predbin_gap1_selector,"[5,6) high-energy probe excluded except highest Nhit ridge","[300,500)","[5,6)",34776,1,0,0.10489358621688143,1,0,1,high_energy_probe,high_energy_probe
18,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[300,500)",>=6,433,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
19,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[500,800)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
20,0,v5_predbin_gap1_selector,excluded by central99/MC-ridge/statistics prefit selector,"[500,800)","[2,3)",913,0,0,0.004294671878601433,1,0,1,excluded,MC_prefit_selector
21,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[3,4)",212589,1,1,1.0,1,0,1,baseline_fit,
22,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[500,800)","[4,5)",26409,1,1,0.12422561844686225,1,0,1,baseline_fit,
23,0,v5_predbin_gap1_selector,"[5,6) high-energy probe excluded except highest Nhit ridge","[500,800)","[5,6)",27712,1,0,0.13035481610055083,1,0,1,high_energy_probe,high_energy_probe
24,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[500,800)",>=6,426,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
25,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[800,1100)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
26,0,v5_predbin_gap1_selector,excluded by central99/MC-ridge/statistics prefit selector,"[800,1100)","[2,3)",5,0,0,6.917734303660865e-05,1,0,1,excluded,MC_prefit_selector
27,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[3,4)",72278,1,1,1.0,1,0,1,baseline_fit,
28,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[800,1100)","[4,5)",14630,1,1,0.20241290572511692,1,0,1,baseline_fit,
29,0,v5_predbin_gap1_selector,"[5,6) high-energy probe excluded except highest Nhit ridge","[800,1100)","[5,6)",8235,1,0,0.11393508398129444,1,0,1,high_energy_probe,high_energy_probe
30,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[800,1100)",>=6,71,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
31,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[1100,2000)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
32,0,v5_predbin_gap1_selector,excluded by central99/MC-ridge/statistics prefit selector,"[1100,2000)","[2,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
33,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[3,4)",36267,1,1,0.8119053482280776,1,0,1,baseline_fit,
34,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[1100,2000)","[4,5)",44669,1,1,1.0,1,0,1,baseline_fit,
35,0,v5_predbin_gap1_selector,"[5,6) high-energy probe excluded except highest Nhit ridge","[1100,2000)","[5,6)",910,1,0,0.020372070115740222,1,0,1,high_energy_probe,high_energy_probe
36,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[1100,2000)",>=6,4,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
37,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[2000,3000)",<2,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
38,0,v5_predbin_gap1_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[2,3)",0,0,0,0.0,1,0,1,excluded,MC_prefit_selector
39,0,v5_predbin_gap1_selector,excluded by central99/MC-ridge/statistics prefit selector,"[2000,3000)","[3,4)",160,1,0,0.010561753251039672,1,0,1,excluded,MC_prefit_selector
40,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[4,5)",15149,1,1,1.0,1,0,1,baseline_fit,
41,1,v5_predbin_gap1_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[2000,3000)","[5,6)",7233,1,1,0.4774572579048122,1,0,1,baseline_fit,
42,0,v5_predbin_gap1_selector,diagnostic tail bin excluded from main fit,"[2000,3000)",>=6,0,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
