cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
1,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[125,200)","[2,2.5)",186591,1,1,0.4463536458756943,1,0,1,baseline_fit,
2,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[125,200)","[2.5,3)",418034,1,1,1.0,1,0,1,baseline_fit,
3,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[125,200)","[3,3.25)",88759,1,1,0.21232483482204798,1,0,1,baseline_fit,
4,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[125,200)","[3.25,3.5)",42094,1,1,0.10069515876699024,1,0,1,baseline_fit,
5,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[3.5,3.75)",23611,1,0,0.05648105178047719,1,0,1,excluded,MC_prefit_selector
6,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[3.75,4.0)",16474,1,0,0.039408277795586005,1,0,1,excluded,MC_prefit_selector
7,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[4.0,4.25)",11008,1,0,0.02633278632838477,1,0,1,excluded,MC_prefit_selector
8,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[4.25,4.5)",7175,1,0,0.017163675681882335,1,0,1,excluded,MC_prefit_selector
9,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[4.5,4.75)",5325,1,0,0.012738198328365636,1,0,1,excluded,MC_prefit_selector
10,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[125,200)","[4.75,5.0)",4880,1,0,0.011673691613600807,1,0,1,excluded,MC_prefit_selector
11,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[125,200)","[5,5.5)",10845,1,0,0.02594286589129114,1,0,1,high_energy_probe,high_energy_probe
12,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[125,200)","[5.5,6)",8244,1,0,0.01972088394723874,1,0,1,high_energy_probe,high_energy_probe
13,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[125,200)",>=6,157,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
14,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[200,300)","[2,2.5)",17965,1,0,0.07025097174319389,1,0,1,excluded,MC_prefit_selector
15,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[2.5,3)",255726,1,1,1.0,1,0,1,baseline_fit,
16,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[3,3.25)",122642,1,1,0.479583616839899,1,0,1,baseline_fit,
17,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[3.25,3.5)",55093,1,1,0.21543761682425722,1,0,1,baseline_fit,
18,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[200,300)","[3.5,3.75)",26172,1,1,0.10234391497149292,1,0,1,baseline_fit,
19,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[200,300)","[3.75,4.0)",16631,1,0,0.0650344509357672,1,0,1,excluded,MC_prefit_selector
20,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[200,300)","[4.0,4.25)",13247,1,0,0.051801537583194515,1,0,1,excluded,MC_prefit_selector
21,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[200,300)","[4.25,4.5)",10121,1,0,0.039577516560693866,1,0,1,excluded,MC_prefit_selector
22,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[200,300)","[4.5,4.75)",7811,1,0,0.030544410814700107,1,0,1,excluded,MC_prefit_selector
23,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[200,300)","[4.75,5.0)",6480,1,0,0.025339621313437036,1,0,1,excluded,MC_prefit_selector
24,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[200,300)","[5,5.5)",13668,1,0,0.05344783088149035,1,0,1,high_energy_probe,high_energy_probe
25,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[200,300)","[5.5,6)",10586,1,0,0.04139586901605625,1,0,1,high_energy_probe,high_energy_probe
26,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[200,300)",>=6,203,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
27,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[2,2.5)",227,0,0,0.0014982904967460035,1,0,1,excluded,MC_prefit_selector
28,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[2.5,3)",80182,1,1,0.5292331656832072,1,0,1,baseline_fit,
29,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3,3.25)",151506,1,1,1.0,1,0,1,baseline_fit,
30,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3.25,3.5)",112141,1,1,0.7401753065885179,1,0,1,baseline_fit,
31,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3.5,3.75)",46983,1,1,0.31010653043443825,1,0,1,baseline_fit,
32,1,v5_predbin_split56_selector,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[300,500)","[3.75,4.0)",20906,1,1,0.13798793447124205,1,0,1,baseline_fit,
33,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.0,4.25)",13417,1,0,0.0885575488759521,1,0,1,excluded,MC_prefit_selector
34,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.25,4.5)",11186,1,0,0.07383205945639117,1,0,1,excluded,MC_prefit_selector
35,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.5,4.75)",10057,1,0,0.06638020936464563,1,0,1,excluded,MC_prefit_selector
36,0,v5_predbin_split56_selector,excluded by central99/MC-ridge/statistics prefit selector,"[300,500)","[4.75,5.0)",8426,1,0,0.05561495914353227,1,0,1,excluded,MC_prefit_selector
37,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[300,500)","[5,5.5)",17631,1,0,0.11637162884638232,1,0,1,high_energy_probe,high_energy_probe
38,0,v5_predbin_split56_selector,"[5,6) split high-energy probe excluded except highest Nhit ridge","[300,500)","[5.5,6)",17145,1,0,0.11316383509563978,1,0,1,high_energy_probe,high_energy_probe
39,0,v5_predbin_split56_selector,diagnostic tail bin excluded from main fit,"[300,500)",>=6,433,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range
