cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source
1,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[100,200)","[2,2.5)",355123,1,1,0.6225040536395109,1,0,1,baseline_fit,
2,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[100,200)","[2.5,3)",570475,1,1,1.0,1,0,1,baseline_fit,
3,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,"central99 MC-occupancy-ridge prefit cell inside [2,6)","[100,200)","[3,3.25)",119345,1,1,0.2092028572680661,1,0,1,baseline_fit,
4,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[3.25,3.5)",54366,1,0,0.09529953109251063,1,0,1,excluded,MC_prefit_selector
5,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[3.5,3.75)",30637,1,0,0.05370436916604584,1,0,1,excluded,MC_prefit_selector
6,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[3.75,4.0)",19553,1,0,0.03427494631666594,1,0,1,excluded,MC_prefit_selector
7,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[4.0,4.25)",13002,1,0,0.02279153337131338,1,0,1,excluded,MC_prefit_selector
8,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[4.25,4.5)",9017,1,0,0.015806126473552742,1,0,1,excluded,MC_prefit_selector
9,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[4.5,4.75)",7232,1,0,0.012677155002410272,1,0,1,excluded,MC_prefit_selector
10,0,v6_64748_nhit100_highEplus1_split56_candidate_high_energy_probes,excluded by central99/MC-ridge/statistics prefit selector,"[100,200)","[4.75,5.0)",6518,1,0,0.011425566413953285,1,0,1,excluded,MC_prefit_selector
