cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,original_ridge_fit_flag,highEplus1_candidate_flag,highEplus1_included_flag,highEplus1_rejected_flag,psf_quality_reasons,selection_override_flag
1,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[100,200)","[2,2.5)",355123,1,1,0.6225040536395109,1,0,0,mc_ridge_fit,,1,0,0,0,containment_warning,
2,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[100,200)","[2.5,3)",570475,1,1,1.0,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
3,1,v6_64748_nhit100_reselect44_split56_miss030_fit,original MC-ridge fit cell preserved,"[100,200)","[3,3.25)",119345,1,1,0.2092028572680661,1,0,1,mc_ridge_fit,,1,0,0,0,pass,
4,1,v6_64748_nhit100_reselect44_split56_miss030_fit,one-bin high-predE extension passed MC statistics and Stage B PSF quality,"[100,200)","[3.25,3.5)",54366,1,0,0.09529953109251063,1,0,1,highEplus1_fit,,0,1,1,0,pass,
5,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[100,200)","[3.5,3.75)",30637,1,0,0.05370436916604584,1,0,0,reselect_fit,,0,0,0,0,containment_warning,force_include
6,1,v6_64748_nhit100_reselect44_split56_miss030_fit,explicit reselect inclusion on top of the prior v6 fit selector,"[100,200)","[3.75,4.0)",19553,1,0,0.03427494631666594,1,0,0,reselect_fit,,0,0,0,0,containment_warning,force_include
7,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[100,200)","[4.0,4.25)",13002,1,0,0.02279153337131338,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
8,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[100,200)","[4.25,4.5)",9017,1,0,0.015806126473552742,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
9,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[100,200)","[4.5,4.75)",7232,1,0,0.012677155002410272,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
10,0,v6_64748_nhit100_reselect44_split56_miss030_fit,not on original MC ridge and not the one-bin high-predE extension,"[100,200)","[4.75,5.0)",6518,1,0,0.011425566413953285,1,0,0,excluded,MC_ridge_highEplus1_selector,0,0,0,0,containment_warning,
