cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,fit_predE_range_flag,tail_bin_flag,psf_quality_flag,cell_role,exclusion_source,split_child_gate_exception,split_child_effective_min_mc_count,split_child_default_min_mc_count,split_child_original_prefit_physical_ridge_flag,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
1,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[125,200)","[2,2.5)",186591,1,1,0.42966014125903557,1,0,1,drop4_fit,,0,,,,,,
2,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[125,200)","[2.5,3)",418034,1,1,1.0,1,0,1,drop4_fit,,0,,,,,,
3,1,v6_64748_split56_drop4_psfborrow,"v6 baselinev4 drop4 fit cell preserved by (nhit_bin,predE_bin)","[125,200)","[3,3.25)",88759,1,1,0.22001555882916263,1,0,1,drop4_fit,,0,,,,,,
4,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule; excluded for v4 cell-selection-bias drop4 control,"[125,200)","[3.25,3.5)",42094,1,0,0.09768012655144936,1,0,1,drop4_control_excluded,v4_drop4_bias_control,0,,,,,,
5,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[3.5,3.75)",23611,1,0,0.05486733615346964,1,0,1,excluded,MC_prefit_selector,0,,,,,,
6,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[3.75,4.0)",16474,1,0,0.03556303808602756,1,0,1,excluded,MC_prefit_selector,0,,,,,,
7,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.0,4.25)",11008,1,0,0.023352431126170754,1,0,1,excluded,MC_prefit_selector,0,,,,,,
8,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.25,4.5)",7175,1,0,0.015887503517288508,1,0,1,excluded,MC_prefit_selector,0,,,,,,
9,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.5,4.75)",5325,1,0,0.012749727484033283,1,0,1,excluded,MC_prefit_selector,0,,,,,,
10,0,v6_64748_split56_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.75,5.0)",4880,1,0,0.011368822281756681,1,0,1,excluded,MC_prefit_selector,0,,,,,,
11,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[125,200)","[5,5.5)",10845,1,0,0.0240050507080686,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
12,0,v6_64748_split56_drop4_psfborrow,split56 high-energy probe excluded outside preserved highest-Nhit baseline split,"[125,200)","[5.5,6)",8244,1,0,0.020909836821458888,1,0,1,high_energy_probe,high_energy_probe,0,,,,,,
13,0,v6_64748_split56_drop4_psfborrow,>=6 tail retained in candidate cache but excluded from fit,"[125,200)",>=6,157,0,0,0.0,0,1,1,diagnostic_tail,fit_predE_range,0,,,,,,
