cell_id,include,subset_version,subset_reason,nhit_bin,predE_bin,mc_count,central99_flag,physical_ridge_flag,ridge_peak_fraction,psf_quality_flag,cell_role,exclusion_source,psf_systematic_variant,psf_borrowed_from,psf_borrow_method
1,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[125,200)","[2,2.5)",181708,1,1,0.42966014125903557,1,drop4_fit,,,,
2,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[125,200)","[2.5,3)",422911,1,1,1.0,1,drop4_fit,,,,
3,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[125,200)","[3,3.25)",93047,1,1,0.22001555882916263,1,drop4_fit,,,,
4,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule; excluded for v4 cell-selection-bias drop4 control,"[125,200)","[3.25,3.5)",41310,1,0,0.09768012655144936,1,drop4_control_excluded,v4_drop4_bias_control,,,
5,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[3.5,3.75)",23204,1,0,0.05486733615346964,1,excluded,MC_prefit_selector,,,
6,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[3.75,4.0)",15040,1,0,0.03556303808602756,1,excluded,MC_prefit_selector,,,
7,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.0,4.25)",9876,1,0,0.023352431126170754,1,excluded,MC_prefit_selector,,,
8,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.25,4.5)",6719,1,0,0.015887503517288508,1,excluded,MC_prefit_selector,,,
9,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.5,4.75)",5392,1,0,0.012749727484033283,1,excluded,MC_prefit_selector,,,
10,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[4.75,5.0)",4808,1,0,0.011368822281756681,1,excluded,MC_prefit_selector,,,
11,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)","[5,6)",18995,1,0,0.04491488752952749,1,excluded,MC_prefit_selector,,,
12,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[125,200)",>=6,187,0,0,0.00044217341237281604,1,excluded,MC_prefit_selector,,,
13,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[2,2.5)",16110,1,0,0.06693340313353027,1,excluded,MC_prefit_selector,,,
14,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[200,300)","[2.5,3)",240687,1,1,1.0,1,drop4_fit,,,,
15,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[200,300)","[3,3.25)",133861,1,1,0.5561621525051208,1,drop4_fit,,,,
16,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[200,300)","[3.25,3.5)",59826,1,1,0.2485634870184098,1,drop4_fit,,,,
17,0,v6_64670_drop4_psfborrow,central99 MC-occupancy-ridge prefit cell; excluded for v4 cell-selection-bias drop4 control,"[200,300)","[3.5,3.75)",27202,1,1,0.11301815220597705,1,drop4_control_excluded,v4_drop4_bias_control,,,
18,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[3.75,4.0)",17297,1,0,0.07186511942896791,1,excluded,MC_prefit_selector,,,
19,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[4.0,4.25)",13679,1,0,0.05683314844590692,1,excluded,MC_prefit_selector,,,
20,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[4.25,4.5)",10230,1,0,0.0425033342058358,1,excluded,MC_prefit_selector,,,
21,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[4.5,4.75)",8154,1,0,0.03387802415585387,1,excluded,MC_prefit_selector,,,
22,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[4.75,5.0)",6647,1,0,0.02761678029972537,1,excluded,MC_prefit_selector,,,
23,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)","[5,6)",22479,1,0,0.09339515636490546,1,excluded,MC_prefit_selector,,,
24,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[200,300)",>=6,173,0,0,0.0007187758374984939,1,excluded,MC_prefit_selector,,,
25,0,v6_64670_drop4_psfborrow,excluded by central99/MC-ridge/statistics/high-energy prefit rule,"[300,500)","[2,2.5)",266,0,0,0.0017973458742128166,1,excluded,MC_prefit_selector,,,
26,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[300,500)","[2.5,3)",67886,1,1,0.45870158652936566,1,drop4_fit,,,,
27,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[300,500)","[3,3.25)",147996,1,1,1.0,1,drop4_fit,,,,
28,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[300,500)","[3.25,3.5)",123504,1,1,0.8345090407848861,1,drop4_fit,,,,
29,1,v6_64670_drop4_psfborrow,v4 drop4 preserved fit cell; v6 _64670 MC prefit fields refreshed,"[300,500)","[3.5,3.75)",50681,1,1,0.34244844455255546,1,drop4_fit,,,,
