cell_id,include,subset_version,subset_reason
1,0,cell5_plus_8to18_stageg_probe,low-Nhit/low-predE sideband diagnostic outlier
2,0,cell5_plus_8to18_stageg_probe,low-Nhit/low-predE sideband diagnostic outlier
3,0,cell5_plus_8to18_stageg_probe,low-Nhit/low-predE sideband diagnostic outlier
4,0,cell5_plus_8to18_stageg_probe,low-Nhit/low-predE response/background-shape outlier
5,1,cell5_plus_8to18_stageg_probe,probe whether cell 5 can be retained with cells 8-18
6,0,cell5_plus_8to18_stageg_probe,low-predE transition cell excluded from this probe
7,0,cell5_plus_8to18_stageg_probe,low-predE transition cell excluded from conservative diagnostic subset
8,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
9,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
10,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
11,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
12,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
13,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
14,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
15,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
16,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
17,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
18,1,cell5_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
