cell_id,include,subset_version,subset_reason
1,0,cells5to6_plus_8to18_stageg_probe,low-Nhit/low-predE sideband diagnostic outlier
2,0,cells5to6_plus_8to18_stageg_probe,low-Nhit/low-predE sideband diagnostic outlier
3,0,cells5to6_plus_8to18_stageg_probe,low-Nhit/low-predE sideband diagnostic outlier
4,0,cells5to6_plus_8to18_stageg_probe,low-Nhit/low-predE response/background-shape outlier
5,1,cells5to6_plus_8to18_stageg_probe,probe whether cells 5-6 can be retained with cells 8-18
6,1,cells5to6_plus_8to18_stageg_probe,probe whether cells 5-6 can be retained with cells 8-18
7,0,cells5to6_plus_8to18_stageg_probe,low-predE transition cell excluded from conservative diagnostic subset
8,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
9,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
10,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
11,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
12,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
13,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
14,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
15,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
16,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
17,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
18,1,cells5to6_plus_8to18_stageg_probe,retained diagnostic high-confidence subset
