cell_id,include,subset_version,subset_reason
1,0,cells8to18_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
2,0,cells8to18_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
3,0,cells8to18_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
4,0,cells8to18_stageg_diag,low-Nhit/low-predE response/background-shape outlier
5,0,cells8to18_stageg_diag,low-Nhit/low-predE response/background-shape outlier
6,0,cells8to18_stageg_diag,low-predE transition cell excluded from conservative diagnostic subset
7,0,cells8to18_stageg_diag,low-predE transition cell excluded from conservative diagnostic subset
8,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
9,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
10,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
11,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
12,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
13,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
14,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
15,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
16,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
17,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
18,1,cells8to18_stageg_diag,retained diagnostic high-confidence subset
