cell_id,include,subset_version,subset_reason
1,0,drop1to5_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
2,0,drop1to5_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
3,0,drop1to5_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
4,0,drop1to5_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
5,0,drop1to5_stageg_diag,low-Nhit/low-predE sideband diagnostic outlier
6,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
7,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
8,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
9,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
10,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
11,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
12,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
13,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
14,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
15,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
16,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
17,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
18,1,drop1to5_stageg_diag,retained diagnostic high-confidence subset
