cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
1,0,"[30,60)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_30_60/predE_2_3,184894,117240,74604952.71472931
2,1,"[60,100)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_60_100/predE_2_3,490043,388899,199977236.57840633
3,2,"[60,100)","[3,3.25)",9228,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_60_100/predE_3_3p25,26973,21608,10707162.560145378
4,3,"[100,200)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_100_200/predE_2_3,931828,859976,388624678.9854269
5,4,"[100,200)","[3,3.25)",9999,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_100_200/predE_3_3p25,110139,101032,43331453.67744732
6,5,"[200,300)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_200_300/predE_2_3,273691,268692,115959045.92054176
7,6,"[200,300)","[3,3.25)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_200_300/predE_3_3p25,122642,118044,48013168.27282524
8,7,"[300,500)","[3,3.25)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_300_500/predE_3_3p25,151506,149370,58532835.488461494
9,8,"[300,500)","[3.25,3.5)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_300_500/predE_3p25_3p5,112141,109489,41178047.500751495
10,9,"[500,800)","[3.25,3.5)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_500_800/predE_3p25_3p5,89513,88998,32134513.158996582
11,10,"[500,800)","[3.5,3.75)",9987,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_500_800/predE_3p5_3p75,68604,67855,23091089.38515377
12,11,"[500,800)","[3.75,4.0)",9288,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_500_800/predE_3p75_4p0,26703,25987,8289807.905752182
13,12,"[800,1100)","[3.5,3.75)",9593,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_800_1100/predE_3p5_3p75,32787,32730,10622509.68058014
14,13,"[800,1100)","[3.75,4.0)",8931,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_800_1100/predE_3p75_4p0,22615,22350,6673800.961956024
15,14,"[800,1100)","[4.0,4.25)",5879,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_800_1100/predE_4p0_4p25,9020,8901,2068203.1447906494
16,15,"[1100,2000)","[3.75,4.0)",9047,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_1100_2000/predE_3p75_4p0,23726,23680,6009177.353107452
17,16,"[1100,2000)","[4.0,4.25)",9053,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_1100_2000/predE_4p0_4p25,23998,23910,4812667.200799942
18,17,"[1100,2000)","[4.25,4.5)",7320,/mnt/mydisk/WCDA_simulation_binned_response_v1/nhit_1100_2000/predE_4p25_4p5,13380,13311,2275550.017097473
