cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
1,0,"[30,60)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_30_60/predE_2_3,184894,117240,74604952.71472931
2,1,"[60,100)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_60_100/predE_2_3,490043,388899,199977236.57840633
3,2,"[60,100)","[3,3.25)",9228,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_60_100/predE_3_3p25,26973,21608,10707162.560145378
4,3,"[60,100)","[3.25,3.5)",8031,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_60_100/predE_3p25_3p5,16275,13059,6168244.019670486
5,4,"[60,100)","[3.5,3.75)",6368,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_60_100/predE_3p5_3p75,10201,8420,3625711.6516218185
6,5,"[60,100)","[3.75,4.0)",4873,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_60_100/predE_3p75_4p0,6598,5465,2178947.3450164795
7,6,"[100,200)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_2_3,931828,859976,388624678.9854269
8,7,"[100,200)","[3,3.25)",9999,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_3_3p25,110139,101032,43331453.67744732
9,8,"[100,200)","[3.25,3.5)",9954,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_3p25_3p5,53794,48313,19979667.608053207
10,9,"[100,200)","[3.5,3.75)",9528,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_3p5_3p75,31153,28484,10791739.441637993
11,10,"[100,200)","[3.75,4.0)",8841,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_3p75_4p0,21263,19656,6550250.53057766
12,11,"[100,200)","[4.0,4.25)",7600,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_4p0_4p25,14376,13429,3558174.8649129868
13,12,"[100,200)","[4.25,4.5)",6025,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_4p25_4p5,9345,8896,1735201.7367210388
14,13,"[100,200)","[4.5,4.75)",5113,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_4p5_4p75,7063,6767,947416.65442276
15,14,"[100,200)","[4.75,5.0)",4669,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_4p75_5p0,6371,6236,555326.3554143906
16,15,"[100,200)",>=5,9069,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_100_200/predE_ge_5,25016,24344,763537.9245939255
17,16,"[200,300)","[2,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_2_3,273691,268692,115959045.92054176
18,17,"[200,300)","[3,3.25)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_3_3p25,122642,118044,48013168.27282524
19,18,"[200,300)","[3.25,3.5)",9964,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_3p25_3p5,55093,52316,20356945.76521492
20,19,"[200,300)","[3.5,3.75)",9279,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_3p5_3p75,26172,24607,9014504.979701042
21,20,"[200,300)","[3.75,4.0)",8088,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_3p75_4p0,16631,15866,5075121.944570541
22,21,"[200,300)","[4.0,4.25)",7348,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_4p0_4p25,13247,12772,3118586.8105592728
23,22,"[200,300)","[4.25,4.5)",6334,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_4p25_4p5,10121,9896,1820421.7689857483
24,23,"[200,300)","[4.5,4.75)",5374,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_4p5_4p75,7811,7653,993056.2096691132
25,24,"[200,300)","[4.75,5.0)",4743,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_4p75_5p0,6480,6352,546874.9160814285
26,25,"[200,300)",>=5,9026,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_200_300/predE_ge_5,24457,23794,674139.4541320801
27,26,"[300,500)","[2,3)",9996,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_300_500/predE_2_3,80409,79924,33958154.460006714
28,27,"[300,500)","[3,3.25)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v2_raw65/nhit_300_500/predE_3_3p25,151506,149370,58532835.488461494
