cell_id,cell_index,nhit_bin,predE_bin,input_files,input_dir,events,truth_range_events,sumw_total
1,0,"[125,200)","[2,2.5)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_2_2p5,186591,175589,76747512.59533978
2,1,"[125,200)","[2.5,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_2p5_3,418034,395886,176677865.71974754
3,2,"[125,200)","[3,3.25)",9995,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_3_3p25,88759,82183,34902036.95010662
4,3,"[125,200)","[3.25,3.5)",9850,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_3p25_3p5,42094,38107,15591657.60533905
5,4,"[125,200)","[3.5,3.75)",9030,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_3p5_3p75,23611,21914,8149360.878608704
6,5,"[125,200)","[3.75,4.0)",8088,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_3p75_4p0,16474,15356,5064792.71015358
7,6,"[125,200)","[4.0,4.25)",6653,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_4p0_4p25,11008,10385,2685740.6902065277
8,7,"[125,200)","[4.25,4.5)",5057,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_4p25_4p5,7175,6867,1309096.4708099365
9,8,"[125,200)","[4.5,4.75)",4199,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_4p5_4p75,5325,5121,691981.7828044891
10,9,"[125,200)","[4.75,5.0)",3845,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_4p75_5p0,4880,4778,416926.6414756775
11,10,"[125,200)","[5,6)",8411,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_5_6,19089,18561,554382.5666055679
12,11,"[125,200)",>=6,154,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_125_200/predE_ge_6,157,153,1195.4289646148682
13,12,"[200,300)","[2,2.5)",8250,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_200_300/predE_2_2p5,17965,17815,7427817.147146225
14,13,"[200,300)","[2.5,3)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_200_300/predE_2p5_3,255726,250877,108531228.77339554
15,14,"[200,300)","[3,3.25)",10000,/mnt/mydisk/WCDA_simulation_binned_response_v3_candidate/nhit_200_300/predE_3_3p25,122642,118044,48013168.27282524
