logE_true_lo,logE_true_hi,theta_true_deg_lo,theta_true_deg_hi,denominator_count,denominator_sumw
2.0,2.1,0.0,1.0,1097933,423700178.462677
2.0,2.1,1.0,2.0,3293110,1270834645.3720093
2.0,2.1,2.0,3.0,5474938,2112817637.9360962
2.0,2.1,3.0,4.0,7659521,2955863804.657135
2.0,2.1,4.0,5.0,9819146,3789278501.1026
2.0,2.1,5.0,6.0,12002037,4631671712.951202
2.0,2.1,6.0,7.0,14147955,5459796780.297089
2.0,2.1,7.0,8.0,16288520,6285856227.6779175
2.0,2.1,8.0,9.0,18381321,7093482924.80484
2.0,2.1,9.0,10.0,20461764,7896340863.414612
2.0,2.1,10.0,11.0,22493273,8680314540.422516
2.0,2.1,11.0,12.0,24543638,9471565023.296814
2.0,2.1,12.0,13.0,26551994,10246603933.336487
2.0,2.1,13.0,14.0,28522094,11006879580.019226
2.0,2.1,14.0,15.0,30455137,11752854806.928558
2.0,2.1,15.0,16.0,32373850,12493300125.52185
2.0,2.1,16.0,17.0,34240800,13213769169.371033
2.0,2.1,17.0,18.0,36047660,13911049194.406128
2.0,2.1,18.0,19.0,37802268,14588165081.679993
2.0,2.1,19.0,20.0,39565867,15268750378.14743
2.0,2.1,20.0,21.0,41256787,15921288611.806793
2.0,2.1,21.0,22.0,42826442,16527029534.881897
2.0,2.1,22.0,23.0,44441990,17150481035.032654
2.0,2.1,23.0,24.0,45949700,17732317222.486877
2.0,2.1,24.0,25.0,47470899,18319358770.356598
2.0,2.1,25.0,26.0,48827327,18842813872.754974
2.0,2.1,26.0,27.0,50209807,19376322909.691925
2.0,2.1,27.0,28.0,51474743,19864470737.422638
2.0,2.1,28.0,29.0,52703208,20338544005.10376
2.0,2.1,29.0,30.0,53868753,20788336136.778717
2.0,2.1,30.0,31.0,54935784,21200111153.883972
2.0,2.1,31.0,32.0,55995045,21608887390.6929
2.0,2.1,32.0,33.0,56965091,21983235204.309235
2.0,2.1,33.0,34.0,57810234,22309381918.112793
2.0,2.1,34.0,35.0,58658770,22636837873.89679
2.0,2.1,35.0,36.0,59439040,22937949634.13086
2.0,2.1,36.0,37.0,60103163,23194239579.2836
2.0,2.1,37.0,38.0,60675131,23414966393.338165
2.0,2.1,38.0,39.0,61224313,23626899363.6998
2.0,2.1,39.0,40.0,61719812,23818116104.118652
2.0,2.1,40.0,41.0,62096642,23963537348.875732
2.0,2.1,41.0,42.0,62397070,24079474657.632446
2.0,2.1,42.0,43.0,62617315,24164468774.582672
2.0,2.1,43.0,44.0,62754097,24217253783.394928
2.0,2.1,44.0,45.0,62873048,24263157823.011475
2.0,2.1,45.0,46.0,62883257,24267097689.88144
2.0,2.1,46.0,47.0,62789523,24230924929.559784
2.0,2.1,47.0,48.0,62625344,24167567363.898315
2.0,2.1,48.0,49.0,62361675,24065815474.588776
2.0,2.1,49.0,50.0,62063258,23950654225.080566
2.1,2.2,0.0,1.0,751561,290032752.29507446
2.1,2.2,1.0,2.0,2256463,870785171.5855408
2.1,2.2,2.0,3.0,3762914,1452135361.0281372
2.1,2.2,3.0,4.0,5272659,2034756728.5734558
2.1,2.2,4.0,5.0,6754824,2606734777.335205
2.1,2.2,5.0,6.0,8261000,3187978842.315674
2.1,2.2,6.0,7.0,9732853,3755977416.7012024
2.1,2.2,7.0,8.0,11198836,4321710716.204224
2.1,2.2,8.0,9.0,12662366,4886497385.505066
2.1,2.2,9.0,10.0,14079982,5433565514.60907
2.1,2.2,10.0,11.0,15516220,5987820006.381226
2.1,2.2,11.0,12.0,16912586,6526687608.866272
2.1,2.2,12.0,13.0,18301028,7062497283.213501
2.1,2.2,13.0,14.0,19659542,7586757528.824158
2.1,2.2,14.0,15.0,20978207,8095639761.01181
2.1,2.2,15.0,16.0,22298367,8605098924.366302
2.1,2.2,16.0,17.0,23562153,9092802958.891754
2.1,2.2,17.0,18.0,24820129,9578264872.9628
2.1,2.2,18.0,19.0,26046622,10051577272.702332
2.1,2.2,19.0,20.0,27230206,10508330783.18573
2.1,2.2,20.0,21.0,28413462,10964957716.128845
2.1,2.2,21.0,22.0,29553803,11405023444.373016
2.1,2.2,22.0,23.0,30604979,11810679762.924042
2.1,2.2,23.0,24.0,31672504,12222645277.225342
2.1,2.2,24.0,25.0,32658004,12602956758.777466
2.1,2.2,25.0,26.0,33671334,12994008035.896912
2.1,2.2,26.0,27.0,34621801,13360800032.788239
2.1,2.2,27.0,28.0,35438071,13675804449.88266
