cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
1,"[30,60)","[2,3)",10000,184894,118501,117240,109246,46407581.07263374,63552.092164655296,19.66479378288043,16.043336224489536,16.324980404220852,31.07037417695108,0.6946372656140452,30.017221406668032,47.45786646947999,54.23967584043587,False,False
2,"[60,100)","[2,3)",10000,490043,390387,388899,355574,158276395.70693684,125243.81550880782,15.599661545436202,10.126069155425782,10.449270425446336,24.6474652417892,0.7760506175860188,8.866132083028335,42.88738104487049,52.811911630681365,False,False
3,"[60,100)","[3,3.25)",9228,26973,21918,21608,20705,8439195.082318306,13748.980860517713,15.161534182448351,14.606778707115126,14.826977919959662,23.955224008268395,0.7493186207756711,18.631807317252434,38.60126487278598,46.75260069511923,False,False
4,"[100,200)","[2,3)",10000,931828,861239,859976,781052,358710033.44108874,148878.40151255336,12.67483587519733,6.354562743737774,6.658346081057415,20.026240682811782,0.8549236475276535,0.9098888304478651,35.20545021433561,49.80631761812906,True,False
5,"[100,200)","[3,3.25)",9999,110139,101408,101032,98308,39612775.74634266,45907.269887551025,10.249148257207588,9.178004941598008,9.312213447432905,16.19365424638799,0.8652732940391266,0.9781251573422977,24.302073084982013,38.13510471774348,True,False
6,"[200,300)","[2,3)",10000,273691,268801,268692,239116,113918111.0558348,11046.079952233975,13.186906846065174,3.3928372457396154,3.59770182146214,20.835312816782977,0.8543533182634624,0.5989151190489895,38.955989070999735,51.34134228880157,True,False
7,"[200,300)","[3,3.25)",10000,122642,118158,118044,114480,46072345.917634964,21172.244750206977,9.567945142651846,5.745794492600395,5.84718555397786,15.117353325389919,0.9152008983914424,0.5222606927827262,6.40363619011822,36.029854111361686,True,False
8,"[300,500)","[3,3.25)",10000,151506,149416,149370,137085,57652938.92592143,4796.24503426343,13.751768824053073,3.1846164929783574,3.2155532706960095,21.727794742003855,0.8476101311523387,0.4464733044577372,42.43579147868897,53.36947012984908,True,False
9,"[300,500)","[3.25,3.5)",10000,112141,109549,109489,106570,40027315.04636859,11407.744140751092,9.426443949120632,4.494261234795629,4.418172956846683,14.893781439610597,0.9244143638125033,0.39468575094079306,0.8537484158190003,35.14042168962255,True,False
10,"[500,800)","[3.25,3.5)",10000,89513,89007,88998,81229,31914320.715462685,740.4660309063212,13.698130423495186,1.9389805757918628,1.8877778066416067,21.643046069122395,0.8049296259684685,0.373915031643206,40.619807876794944,50.74142510828612,False,False
11,"[500,800)","[3.5,3.75)",9987,68604,67868,67855,65877,22783726.846223835,2505.229096623255,10.01595535198334,3.035109249126382,2.877505577120247,15.825209456133678,0.9274994620681674,0.31295713895283106,0.5386852432157876,37.10074942538234,True,False
12,"[500,800)","[3.75,4.0)",9288,26703,26014,25987,25748,8006853.4477329245,4809.241979942971,9.18495112765726,5.818885087789045,5.264377226940834,14.512222781698473,0.8783400711453923,0.40821590135055347,22.84176650076658,36.122352899179006,True,False
13,"[800,1100)","[3.5,3.75)",9593,32787,32730,32730,30250,9720763.312171731,771.7455751122898,8.257045357210714,1.291841928964557,1.1857964699249859,13.046131664392927,0.9396643324072088,0.2603228533552706,0.4100767685512975,41.10384956506009,True,False
14,"[800,1100)","[3.75,4.0)",8931,22615,22352,22350,21756,6552717.878257752,1898.8057234003923,6.121877615121737,3.383408308641363,2.976896460539565,9.672566631892344,0.9562834668696328,0.25451466949832424,0.3961110239941508,1.3845353150429196,True,False
15,"[800,1100)","[4.0,4.25)",5879,9020,8912,8901,8827,2025551.7703781128,1581.0003966599822,6.0349707261594805,4.116948690725751,3.136545699098835,9.535253747331979,0.9408241733192777,0.2947188268918551,1.250949895561966,15.953677559202411,True,False
16,"[1100,2000)","[3.75,4.0)",9047,23726,23680,23680,22083,5618031.914395414,994.2424408375106,3.6201926855024804,1.057259523402844,0.8511371842234031,5.719904443093919,0.9827271435733231,0.20665187711035754,0.31004459471692547,0.3531238173442495,True,False
17,"[1100,2000)","[4.0,4.25)",9053,23998,23913,23910,22865,4772373.0585279465,1111.664936728985,6.654142958594216,2.3018642468933823,1.6613519290911138,10.513545874578861,0.9520733101756013,0.2090586247277141,0.33048645618575845,1.422548686509028,True,False
18,"[1100,2000)","[4.25,4.5)",7320,13380,13313,13311,13076,2242872.910873413,4260.2778999313,3.4548601919038044,2.9166024623497573,1.9520558071014784,5.458679103208011,0.9792541721142682,0.20760113281253545,0.3154477067148893,0.39993354288947086,True,False
