cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning,psf_quality_flag,warnings
1,"[30,60)","[2,3)",10000,184894,118501,117240,109246,46407581.07263374,63552.092164655296,40522,29193.206008495312,0.33339392196763606,0.6666060780323639,0.0,0.8573217636541307,0.859044388508112,0.8604733170576654,19.66479378288043,1.3545683865735265,0.24797915802144735,30.017221406668032,47.45786646947999,54.23967584043587,True,False,warning,[]
2,"[60,100)","[2,3)",10000,490043,390387,388899,355574,158276395.70693684,125243.81550880782,259964,139079.96191442187,0.6307819599028722,0.3692180400971278,0.0,0.6875714771556003,0.6738092645270427,0.6757027709466086,15.599661545436202,1.0863629339058485,0.4873748646629353,8.866132083028335,42.88738104487049,52.811911630681365,True,False,warning,[]
3,"[60,100)","[3,3.25)",9228,26973,21918,21608,20705,8439195.082318306,13748.980860517713,10005,6828.95793568087,0.48275792170347515,0.5172420782965248,0.0,0.838479045898929,0.8108980048116458,0.814693968881108,15.161534182448351,1.3247968925203077,0.358812126705805,18.631807317252434,38.60126487278598,46.75260069511923,True,False,warning,[]
4,"[60,100)","[3.25,3.5)",8031,16275,13344,13059,12484,4868522.236395836,8716.578405620978,5213,3637.4060099565204,0.41710561291626796,0.582894387083732,0.0,0.9557485064088017,0.9515418883920438,0.9540090142393964,15.501400747885056,1.5100826401259069,0.29800868811501824,20.03887496391281,38.701817728964464,46.67093106755512,True,False,warning,[]
5,"[60,100)","[3.5,3.75)",6368,10201,8640,8420,8074,2956017.140118599,5659.119186147194,2914,2070.6528256578113,0.36032514808011873,0.6396748519198813,0.0,1.0571384562259938,1.0450914440460521,1.0476619991003169,15.853827605620348,1.6702787608370704,0.253369190296038,21.956760271511442,39.53137795765373,46.27028828478355,True,False,warning,[]
6,"[60,100)","[3.75,4.0)",4873,6598,5651,5465,5247,1743953.8854618073,3450.6312018584927,1394,948.6778608276637,0.2670370778654854,0.7329629221345146,0.0,1.1549136997869227,1.1384278778926529,1.1497788374760987,16.191038533486076,1.824763645663338,0.18038235648228293,22.818657358020864,39.056008852121884,46.39844854851542,True,False,warning,[]
7,"[100,200)","[2,3)",10000,931828,861239,859976,781052,358710033.44108874,148878.40151255336,703161,215851.88501386298,0.8000136397753937,0.19998636022460625,0.0,0.5014884639141022,0.47466305947863086,0.47648666710747506,12.67483587519733,0.7923517729842815,0.6310978646663702,0.9098888304478651,35.20545021433561,49.80631761812906,False,False,ok,[]
8,"[100,200)","[3,3.25)",9999,110139,101408,101032,98308,39612775.74634266,45907.269887551025,82244,39893.70545594855,0.797605045801442,0.20239495419855802,0.0,0.5310044429039609,0.4924558362028173,0.4943626606510966,10.249148257207588,0.8389870197882582,0.632865154456569,0.9781251573422977,24.302073084982013,38.13510471774348,False,False,ok,[]
9,"[100,200)","[3.25,3.5)",9954,53794,48716,48313,46697,17777617.140320778,29506.875709724874,35672,22870.941729584083,0.7386545523492517,0.2613454476507483,0.0,0.7043066539170598,0.6337014166733362,0.6373291620681468,11.132372546192952,1.1128045131889546,0.5655199330969063,1.7812162422128908,28.521629912016582,41.141385490543215,True,False,warning,[]
10,"[100,200)","[3.5,3.75)",9528,31153,28949,28484,27180,9725390.347613335,21119.941619245496,20136,15835.353614362015,0.73007020225096,0.26992979774904,0.0,0.867039087381256,0.8477717256587414,0.8520156346786393,10.165036670825678,1.3699217580623846,0.5326126245949804,2.2346876146143204,23.613822564981124,37.06232548710536,True,False,warning,[]
11,"[100,200)","[3.75,4.0)",8841,21263,20043,19656,18751,5959833.346935272,13215.392676501435,12948,9299.051232375923,0.6677485774977713,0.3322514225022287,0.0,1.0078346024385885,1.016270912388092,1.0253174741184778,9.77765474034933,1.5923786718529698,0.47024737158305324,3.1948366473058942,23.185532769441604,34.698372559970956,True,False,warning,[]
12,"[100,200)","[4.0,4.25)",7600,14376,13719,13429,12860,3222840.2232961655,8090.449863303893,7636,5103.195524825402,0.5615684904368791,0.43843150956312094,0.0,1.1414805125579994,1.1427890054286858,1.152205573822514,9.672603692264508,1.8035392098416394,0.3838907658619965,4.746359497526223,22.842012628568778,33.22944584170828,True,False,warning,[]
13,"[100,200)","[4.25,4.5)",6025,9345,9129,8896,8532,1622589.027431488,5060.023529147223,4001,2689.4489385848065,0.43873873610598685,0.5612612638940131,0.0,1.255378547871604,1.2536541076116865,1.2596226694373696,9.512006113283464,1.9834981056371344,0.2880383680164003,6.0961990771211125,21.596372536823953,31.897357266039048,True,False,warning,[]
14,"[100,200)","[4.5,4.75)",5113,7063,6934,6767,6510,882400.1633138657,3110.2584926504487,2384,1387.613286913994,0.34573500968803644,0.6542649903119635,0.0,1.3039220668818974,1.3299131701531268,1.34069278934498,8.577239331057545,2.0601968656733978,0.222738214960237,6.620591286010382,19.720185202125524,28.234730446617025,True,False,warning,[]
15,"[100,200)","[4.75,5.0)",4669,6371,6329,6236,5981,525665.8187351227,2309.20036079255,1655,845.7485701675183,0.27494840528126907,0.7250515947187309,0.0,1.4068942648883351,1.4120616820404706,1.4146384166263057,8.884635844788475,2.22289293852357,0.1748466347618546,7.14616125068537,16.435998293274157,28.306304052703855,True,False,warning,[]
16,"[100,200)",>=5,9069,25016,24990,24344,23783,743825.6250905991,4412.507054649164,3312,974.8726160683678,0.16654726191623648,0.8334527380837635,0.0,1.4332054985671983,1.4371005446335547,1.4564408493279923,7.177417016829735,2.264464687736173,0.10501847074312969,8.068058717142442,13.262744929736416,17.92344973988818,True,False,warning,[]
17,"[200,300)","[2,3)",10000,273691,268801,268692,239116,113918111.0558348,11046.079952233975,232323,29982.737142124013,0.8279542521470387,0.17204574785296134,0.0,0.35298106168402654,0.317337082803657,0.31804902616292813,13.186906846065174,0.557710077460762,0.6482004213934978,0.5989151190489895,38.955989070999735,51.34134228880157,False,False,ok,[]
18,"[200,300)","[3,3.25)",10000,122642,118158,118044,114480,46072345.917634964,21172.244750206977,108468,26629.5394056838,0.8894264297444522,0.11057357025554782,0.0,0.34611909830415244,0.31824032614452924,0.3183879962864365,9.567945142651846,0.5468681753205609,0.7028691821618863,0.5222606927827262,6.40363619011822,36.029854111361686,False,False,ok,[]
19,"[200,300)","[3.25,3.5)",9964,55093,52452,52316,51540,19216262.547560696,16719.2887296052,47634,16157.610985516581,0.8489395771183239,0.1510604228816761,0.0,0.4612311255955477,0.3729926942548536,0.37414538268461367,9.47104885962498,0.7287451784409654,0.6853578214556817,0.7182450296693096,23.379952575407966,36.181109716720265,False,False,ok,[]
20,"[200,300)","[3.5,3.75)",9279,26172,24778,24607,23863,8386032.95913887,14886.743524397772,21451,13481.160353712294,0.8583019497191033,0.14169805028089666,0.0,0.6538428344546289,0.5445280046439336,0.548437911801524,9.728433709832334,1.0330716784383138,0.6527048784100599,1.1145181668538962,17.233098921994728,38.69216060272372,False,False,ok,[]
21,"[200,300)","[3.75,4.0)",8088,16631,16028,15866,15263,4775723.103061676,11114.670111042418,13617,10038.797156257713,0.8706509739211322,0.12934902607886778,0.0,0.823414183594493,0.7804842105916907,0.78553503663088,7.7508466379860295,1.3009944100792992,0.6388174762636298,1.440394608233308,4.7444590252195535,25.606615603197614,False,False,ok,[]
22,"[200,300)","[4.0,4.25)",7348,13247,12917,12772,12282,2967275.4996700287,7954.855840431752,10662,7262.661478461177,0.8220000790485954,0.1779999209514046,0.0,0.9659060433085505,0.9605104831735652,0.9702400586948571,7.047228853173742,1.5261315484275098,0.5858429269906048,1.877742617376771,5.66056387640746,19.865301296465102,True,False,warning,[]
23,"[200,300)","[4.25,4.5)",6334,10121,10008,9896,9622,1739903.8433780668,5603.582793004045,7815,4892.129898478942,0.766133901977105,0.23386609802289504,0.0,1.105849779818469,1.0824806772904252,1.0880921083118276,5.50893591345055,1.747242652113181,0.5253807287666231,2.4286266054431414,5.037863809242188,10.6612588562863,True,False,warning,[]
24,"[200,300)","[4.5,4.75)",5374,7811,7773,7653,7468,964771.9743490219,4190.6628519468495,5394,3449.2011154215215,0.6668468752703776,0.33315312472962244,0.0,1.2050460523543693,1.1927659096145815,1.196365579867354,4.499316102731955,1.9039727627199035,0.4463874729186635,3.0752413077732825,5.684366647207408,7.977383332132544,True,False,warning,[]
25,"[200,300)","[4.75,5.0)",4743,6480,6477,6352,6190,539460.1697158813,2855.085789678158,3480,1660.3814873171298,0.5432581260367965,0.45674187396320354,0.0,1.3366513944459115,1.3187385635266269,1.3233981106191346,3.2471085085702676,2.11190920322454,0.35407646174723845,3.8064121149733103,6.139024604564794,7.567824869004735,True,False,warning,[]
