cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
1,"[125,200)","[2,2.5)",10000,186591,175730,175589,150087,72135187.47286892,10049.355361417085,141540,36705.80001154325,0.7170133430905495,0.28298665690945046,0.0,0.4946882217858937,0.4579334622290628,0.45897620698275565,16.485073361667702,0.7816073904217121,0.5589009608674496,1.2875260078480695,47.496297923203976,54.82643756611293,True,False
2,"[125,200)","[2.5,3)",10000,418034,396379,395886,368423,167385411.96165752,69268.58736294089,337169,99475.3418262885,0.8299758433800194,0.1700241566199806,0.0,0.4564227809081985,0.4269896129443572,0.4284270426758366,11.813617714053565,0.7211479938349536,0.6565228976875297,0.7636242802610137,29.683864008021033,47.935066055160995,False,False
3,"[125,200)","[3,3.25)",9995,88759,82421,82183,80053,32219706.866939545,34633.86753570015,69371,31312.731257753596,0.8248316676320316,0.17516833236796836,0.0,0.4986199933179483,0.46216844622883735,0.4638533987991594,9.812391542612247,0.7878195894423584,0.6549341485205525,0.8450322051865932,21.64622024501489,37.03270353682216,False,False
4,"[125,200)","[3.25,3.5)",9850,42094,38376,38107,36897,14011004.529358866,22507.556981202684,29552,18335.215125978917,0.7681593648955478,0.2318406351044522,0.0,0.6729716014620204,0.596459314969197,0.5999610202759352,10.874594174446335,1.0632951303099925,0.5925980609540423,1.470243125358512,27.536465095038068,40.989597454583894,True,False
5,"[125,200)","[3.5,3.75)",9030,23611,22259,21914,20960,7457308.724844933,16216.690785256837,16568,12932.60663320651,0.7799219306072257,0.2200780693927743,0.0,0.8479682986568555,0.8202710884484922,0.82473357841297,9.200373668499822,1.3397899118778318,0.5713630657955354,1.820818413898164,18.992628211980723,33.17591446576408,True,False
6,"[125,200)","[3.75,4.0)",8088,16474,15638,15356,14674,4644073.524380684,10369.051061223825,10853,7806.188764327659,0.7155404432669092,0.28445955673309076,0.0,0.984156336139681,0.9909435603812975,0.9993613022761472,9.16207797641005,1.5549670111006961,0.5086243749451788,2.5782847447361736,19.00821987477573,32.66599425297998,True,False
7,"[125,200)","[4.0,4.25)",6653,11008,10591,10385,9950,2475058.1767406464,6353.677296794673,6491,4334.188522176225,0.6196134681591446,0.38038653184085536,0.0,1.1262566495201658,1.126047036632809,1.133853226574741,8.623850029967446,1.779485506241862,0.42438439990128984,3.675577585459972,17.460546627637964,29.09411974045358,True,False
8,"[125,200)","[4.25,4.5)",5057,7175,7049,6867,6608,1235968.0184764862,4029.7348993557252,3460,2354.0095903846436,0.48793975251944094,0.5120602474805591,0.0,1.2496883811251467,1.2453021243963711,1.250798912660134,8.564122932296167,1.974507642177732,0.3205785585629686,5.056134602025019,16.096137835588586,27.515239786056206,True,False
9,"[125,200)","[4.5,4.75)",4199,5325,5252,5121,4935,650706.2695846558,2498.914940455322,2056,1246.3473143515619,0.39496101830380564,0.6050389816961943,0.0,1.2932550080926757,1.3196058949848526,1.3305704618636913,7.391099390660206,2.0433429127864278,0.255362878498652,5.62265666113762,14.219635902735728,23.683759373021577,True,False
10,"[125,200)","[4.75,5.0)",3845,4880,4851,4778,4588,393488.1300840378,1882.9177183191018,1396,754.4995100009805,0.304272343110047,0.695727656889953,0.0,1.4031829688624915,1.3975120416179614,1.4029731918703048,7.99763302759536,2.2170290908027366,0.19331916333702362,6.401188909693278,12.614200247897712,19.85923527539218,True,False
