cell_id,nhit_bin,predE_bin,input_files,events,logE_range_events,valid_events,positive_baseline_weight_events,sumw_baseline,effective_events,core_fit_events,core_fit_effective_events,core_fit_weight_fraction,tail_weight_fraction_above_core_fit,theta_missing_crab_probability_mass,sigma_deg,sigma_mc_weight_deg,sigma_unweighted_deg,sigma_full_rayleigh_deg,r_opt_deg,containment_r_opt,r68_deg,r90_deg,r95_deg,containment_warning,angle_check_warning
1,"[125,200)","[2,2.5)",10000,186591,175730,175589,156387,72135187.47286892,10151.606633450188,147755,37362.63528559161,0.7180058931795792,0.2819941068204208,0.0,0.4943798916527556,0.45648922075997916,0.4575347815134897,16.446353221536985,0.7811202288113539,0.5596462697728974,1.2744159028442505,47.38031501109697,54.80090040139371,True,False
2,"[125,200)","[2.5,3)",10000,418034,396379,395886,375694,167385411.96165746,71693.63528000253,344023,103574.01244390446,0.8305465771056567,0.1694534228943433,0.0,0.4563677648337791,0.4265682295754381,0.4280201622062493,11.762168765949077,0.721061068437371,0.657220624596354,0.7625528563724749,29.319677364348838,47.73065430925715,False,False
3,"[125,200)","[3,3.25)",9995,88759,82421,82183,80603,32219706.86693955,39111.81622974065,69793,35309.42185380235,0.8257149375710703,0.17428506242892972,0.0,0.49881590738520515,0.4631611857993716,0.464881030456295,9.759916733785117,0.7881291336686241,0.655831639486161,0.8429303468364409,21.284381511053137,36.92644427891353,False,False
4,"[125,200)","[3.25,3.5)",9850,42094,38376,38107,37202,14011004.529358864,25719.12101632918,29774,20861.733177311668,0.7682650472432604,0.2317349527567396,0.0,0.67112674507815,0.5991756100789412,0.6026781506926553,10.889850875145974,1.060380257223477,0.5925773542447634,1.4614652551754963,27.763580555512174,40.968584704511166,True,False
5,"[125,200)","[3.5,3.75)",9030,23611,22259,21914,21208,7457308.724844932,18032.89441796181,16771,14346.930031656959,0.781295028145644,0.218704971854356,0.0,0.8476405203212357,0.8233786727392395,0.8279922336412557,9.166606897675866,1.3392720221075525,0.5728750731026925,1.8153991573221426,18.7178941141518,33.08237639758482,True,False
6,"[125,200)","[3.75,4.0)",8088,16474,15638,15356,14861,4644073.524380684,11646.28099387714,10982,8727.081458008917,0.7152932623075071,0.2847067376924929,0.0,0.9843341994442704,0.9936968542220778,1.002427070145534,9.185602185022525,1.5552480351219473,0.5087888956987651,2.5832748077733765,19.107889852246622,32.77049874080899,True,False
7,"[125,200)","[4.0,4.25)",6653,11008,10591,10385,10074,2475058.1767406464,7102.403393709226,6562,4834.989927942643,0.618322180350882,0.38167781964911796,0.0,1.128390506037819,1.1283834468581313,1.1362376597797395,8.586247693708001,1.7828569995397539,0.4237965959152094,3.6835835745034977,17.351673369475105,28.984929123655235,True,False
8,"[125,200)","[4.25,4.5)",5057,7175,7049,6867,6674,1235968.0184764862,4346.557456956448,3486,2492.853689340637,0.4887048440484015,0.5112951559515986,0.0,1.2483749250776228,1.2455441061086259,1.2513219708533816,8.570414695823429,1.9724323816226443,0.32034514214122,5.044518357457063,16.107678799121068,27.495802930441194,True,False
9,"[125,200)","[4.5,4.75)",4199,5325,5252,5121,4990,650706.2695846558,2833.61292707883,2078,1356.2688354140978,0.39973484662970105,0.600265153370299,0.0,1.2941840648915912,1.3198675031521465,1.3311804213931573,7.428096827760989,2.044810822528714,0.258797179522496,5.6286866714642425,14.596260698353234,24.26069716066226,True,False
10,"[125,200)","[4.75,5.0)",3845,4880,4851,4778,4635,393488.1300840378,2132.211269644872,1405,850.8458251487436,0.3015677123031671,0.698432287696833,0.0,1.39422110160362,1.3960797064395363,1.401579328476275,8.08138033250881,2.2028693405337196,0.19158409999613216,6.293788302585918,12.577650259902557,20.708617277567917,True,False
11,"[125,200)","[5,6)",8411,19089,19076,18561,18249,542002.0551834106,4111.307395786127,2797,927.8944243702194,0.18377874716935336,0.8162212528306466,0.0,1.4434224270837228,1.4381205840934177,1.4545501339714284,6.1180691037149,2.2806074347922825,0.11609451357785668,7.509554319774428,11.6128177682748,14.497647413346385,True,False
12,"[125,200)",>=6,154,157,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
13,"[200,300)","[2,2.5)",8250,17965,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
14,"[200,300)","[2.5,3)",10000,255726,250981,250877,231770,106544947.83854389,11570.035360848598,225105,27515.15396448924,0.8311799387324992,0.16882006126750082,0.0,0.35175675168862947,0.3139622350051855,0.31458506211632364,13.010247189563247,0.5557756676680345,0.6523825399428189,0.5911601430817798,38.163416796603556,51.24519488460141,False,False
15,"[200,300)","[3,3.25)",10000,122642,118158,118044,115448,46072345.917634964,22942.031346186108,109355,28244.32819654893,0.8905697859388194,0.10943021406118059,0.0,0.3453587802121161,0.31842469203424495,0.3185561453829931,9.483089950249791,0.5456668727351435,0.7037068651829016,0.5205588852572217,6.090147876550536,35.60742992970579,False,False
16,"[200,300)","[3.25,3.5)",9964,55093,52452,52316,51751,19216262.54756069,19886.418473123118,47788,19037.287251519534,0.8491848702498378,0.1508151297501622,0.0,0.46334258304638865,0.37461525152180286,0.37579113405963654,9.399138509065335,0.7320812812132941,0.6879045847273383,0.7177831024689667,23.022611752473143,36.036904637223195,False,False
17,"[200,300)","[3.5,3.75)",9279,26172,24778,24607,24056,8386032.95913887,16715.388545653746,21614,15092.40797741825,0.858456722968761,0.14154327703123903,0.0,0.6534385964772946,0.5477699911217448,0.5517141379551965,9.7180133045464,1.0324329824341256,0.6531071386071836,1.1114021985274538,17.291479619059743,38.60787021107291,False,False
18,"[200,300)","[3.75,4.0)",8088,16631,16028,15866,15417,4775723.103061676,12297.504800175231,13744,11079.54840215576,0.8698233560724155,0.13017664392758455,0.0,0.8200034426211382,0.7824521443583037,0.7873258247221621,7.758343938313739,1.2956054393413985,0.6387708094871621,1.433494851513604,4.799590629335072,25.533939116656807,False,False
19,"[200,300)","[4.0,4.25)",7348,13247,12917,12772,12401,2967275.4996700287,8993.210352527041,10752,8121.688339735122,0.8207317134245029,0.1792682865754971,0.0,0.9675547318129616,0.9627349322622873,0.9727220726110465,7.081493513216354,1.5287364762644793,0.5850729168582,1.884458949500273,5.640889975468112,20.43610220694967,True,False
20,"[200,300)","[4.25,4.5)",6334,10121,10008,9896,9677,1739903.843378067,6256.676463261439,7848,5443.926902807155,0.7627045856151234,0.23729541438487656,0.0,1.103695262212159,1.0834911094201887,1.0890841951402503,5.519104157418434,1.7438385142952115,0.522987309279341,2.440197407049049,5.098058073396536,10.667046581739204,True,False
21,"[200,300)","[4.5,4.75)",5374,7811,7773,7653,7519,964771.9743490219,4569.932852168657,5417,3722.190834193393,0.6653526624288725,0.3346473375711275,0.0,1.2033390475508292,1.1930285916888248,1.1966738039504417,4.504708091359346,1.90127569513031,0.44480897610156234,3.077257305302962,5.647825901782293,7.898197842841709,True,False
22,"[200,300)","[4.75,5.0)",4743,6480,6477,6352,6239,539460.1697158813,3367.7320004663943,3500,2055.5180730383618,0.5415554134234074,0.4584445865765926,0.0,1.3315746651235238,1.3191801486296615,1.323825712035118,3.2498924146292545,2.1038879708951677,0.35069183772694296,3.837846268366973,6.12388916892371,7.574909730940878,True,False
23,"[200,300)","[5,6)",9007,24254,24252,23599,23234,660705.8319129944,6212.096411503845,5770,2070.0044498488655,0.31063414174525006,0.6893658582547499,0.0,1.4346276467380503,1.4248089805334956,1.4467303212775418,4.024718567363305,2.2667116818461195,0.19573454005297497,5.639324019207417,8.542861957584858,10.279841420988733,True,False
24,"[200,300)",>=6,201,203,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
25,"[300,500)","[2,2.5)",221,227,0,0,0,0.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.58,0.7129790300890827,1.5095921854516636,2.145966026289347,2.447746830680816,True,True
26,"[300,500)","[2.5,3)",9996,80182,79711,79697,70302,33666350.14686012,555.8963545319062,69689,5300.712009947526,0.7631622682413326,0.2368377317586674,0.0,0.2672009046841744,0.24901486284783125,0.2488850797394849,15.655136434942325,0.4221774294009956,0.5703912038686422,0.5530251163212058,44.98217042709305,52.34461558109161,True,False
