scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
global,,,1,"[30,60)","[2,3)",18102668
global,,,2,"[60,100)","[2,3)",23097824
global,,,3,"[60,100)","[3,3.25)",1221585
global,,,4,"[100,200)","[2,3)",23642432
global,,,5,"[100,200)","[3,3.25)",2951242
global,,,6,"[200,300)","[2,3)",3511356
global,,,7,"[200,300)","[3,3.25)",1555252
global,,,8,"[300,500)","[3,3.25)",1191475
global,,,9,"[300,500)","[3.25,3.5)",782322
global,,,10,"[500,800)","[3.25,3.5)",477133
global,,,11,"[500,800)","[3.5,3.75)",280350
global,,,12,"[500,800)","[3.75,4.0)",90323
global,,,13,"[800,1100)","[3.5,3.75)",122657
global,,,14,"[800,1100)","[3.75,4.0)",74431
global,,,15,"[800,1100)","[4.0,4.25)",23556
global,,,16,"[1100,2000)","[3.75,4.0)",51102
global,,,17,"[1100,2000)","[4.0,4.25)",46341
global,,,18,"[1100,2000)","[4.25,4.5)",25304
month,202201,,1,"[30,60)","[2,3)",9398406
month,202201,,2,"[60,100)","[2,3)",11949076
month,202201,,3,"[60,100)","[3,3.25)",630779
month,202201,,4,"[100,200)","[2,3)",12212649
month,202201,,5,"[100,200)","[3,3.25)",1524323
month,202201,,6,"[200,300)","[2,3)",1812586
month,202201,,7,"[200,300)","[3,3.25)",804794
month,202201,,8,"[300,500)","[3,3.25)",617026
month,202201,,9,"[300,500)","[3.25,3.5)",404076
month,202201,,10,"[500,800)","[3.25,3.5)",246761
month,202201,,11,"[500,800)","[3.5,3.75)",143750
month,202201,,12,"[500,800)","[3.75,4.0)",46219
month,202201,,13,"[800,1100)","[3.5,3.75)",63493
month,202201,,14,"[800,1100)","[3.75,4.0)",37929
month,202201,,15,"[800,1100)","[4.0,4.25)",11876
month,202201,,16,"[1100,2000)","[3.75,4.0)",26355
month,202201,,17,"[1100,2000)","[4.0,4.25)",23691
month,202201,,18,"[1100,2000)","[4.25,4.5)",12858
month,202202,,1,"[30,60)","[2,3)",8704262
month,202202,,2,"[60,100)","[2,3)",11148748
month,202202,,3,"[60,100)","[3,3.25)",590806
month,202202,,4,"[100,200)","[2,3)",11429783
month,202202,,5,"[100,200)","[3,3.25)",1426919
month,202202,,6,"[200,300)","[2,3)",1698770
month,202202,,7,"[200,300)","[3,3.25)",750458
month,202202,,8,"[300,500)","[3,3.25)",574449
month,202202,,9,"[300,500)","[3.25,3.5)",378246
month,202202,,10,"[500,800)","[3.25,3.5)",230372
month,202202,,11,"[500,800)","[3.5,3.75)",136600
month,202202,,12,"[500,800)","[3.75,4.0)",44104
month,202202,,13,"[800,1100)","[3.5,3.75)",59164
month,202202,,14,"[800,1100)","[3.75,4.0)",36502
month,202202,,15,"[800,1100)","[4.0,4.25)",11680
month,202202,,16,"[1100,2000)","[3.75,4.0)",24747
month,202202,,17,"[1100,2000)","[4.0,4.25)",22650
month,202202,,18,"[1100,2000)","[4.25,4.5)",12446
file,202201,0,1,"[30,60)","[2,3)",65843
file,202201,0,2,"[60,100)","[2,3)",55598
file,202201,0,3,"[60,100)","[3,3.25)",2176
file,202201,0,4,"[100,200)","[2,3)",49040
file,202201,0,5,"[100,200)","[3,3.25)",3140
file,202201,0,6,"[200,300)","[2,3)",8194
file,202201,0,7,"[200,300)","[3,3.25)",1972
file,202201,0,8,"[300,500)","[3,3.25)",2339
file,202201,0,9,"[300,500)","[3.25,3.5)",861
file,202201,0,10,"[500,800)","[3.25,3.5)",948
file,202201,0,11,"[500,800)","[3.5,3.75)",267
file,202201,0,12,"[500,800)","[3.75,4.0)",36
file,202201,0,13,"[800,1100)","[3.5,3.75)",228
file,202201,0,14,"[800,1100)","[3.75,4.0)",103
file,202201,0,15,"[800,1100)","[4.0,4.25)",12
file,202201,0,16,"[1100,2000)","[3.75,4.0)",116
file,202201,0,17,"[1100,2000)","[4.0,4.25)",76
file,202201,0,18,"[1100,2000)","[4.25,4.5)",29
file,202201,1,1,"[30,60)","[2,3)",17735
file,202201,1,2,"[60,100)","[2,3)",29281
file,202201,1,3,"[60,100)","[3,3.25)",1273
file,202201,1,4,"[100,200)","[2,3)",33458
file,202201,1,5,"[100,200)","[3,3.25)",3475
file,202201,1,6,"[200,300)","[2,3)",5176
file,202201,1,7,"[200,300)","[3,3.25)",2171
file,202201,1,8,"[300,500)","[3,3.25)",1838
file,202201,1,9,"[300,500)","[3.25,3.5)",1080
file,202201,1,10,"[500,800)","[3.25,3.5)",762
file,202201,1,11,"[500,800)","[3.5,3.75)",382
file,202201,1,12,"[500,800)","[3.75,4.0)",68
file,202201,1,13,"[800,1100)","[3.5,3.75)",182
file,202201,1,14,"[800,1100)","[3.75,4.0)",84
file,202201,1,15,"[800,1100)","[4.0,4.25)",23
file,202201,1,16,"[1100,2000)","[3.75,4.0)",75
file,202201,1,17,"[1100,2000)","[4.0,4.25)",80
file,202201,1,18,"[1100,2000)","[4.25,4.5)",29
file,202201,2,1,"[30,60)","[2,3)",5500
