rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
0,0.1,0.05,6305,0.0314159265359,200694.383239,6305,0.000219111499222
0.1,0.2,0.15,18304,0.0942477796077,194211.47189,24609,0.000855212511395
0.2,0.3,0.25,29167,0.157079632679,185682.889006,53776,0.00186882473944
0.3,0.4,0.35,39556,0.219911485751,179872.369398,93332,0.00324347572488
0.4,0.5,0.45,49163,0.282743338823,173878.543716,142495,0.00495198938645
0.5,0.6,0.55,58741,0.345575191895,169980.372948,201236,0.00699335791552
0.6,0.7,0.65,68631,0.408407044967,168045.583067,269867,0.00937842394298
0.7,0.8,0.75,78360,0.471238898038,166285.084542,348227,0.0121015923933
0.8,0.9,0.85,88173,0.53407075111,165096.103497,436400,0.0151657824362
0.9,1,0.95,97626,0.596902604182,163554.320782,534026,0.0185584833439
1,1.1,1.05,108128,0.659734457254,163896.244635,642154,0.0223161499875
1.1,1.2,1.15,117542,0.722566310326,162672.959312,759696,0.026400972167
1.2,1.3,1.25,128107,0.785398163397,163110.898357,887803,0.0308529494597
1.3,1.4,1.35,137858,0.848230016469,162524.312183,1025661,0.0356437937198
1.4,1.5,1.45,148271,0.911061869541,162745.259084,1173932,0.0407965107858
1.5,1.6,1.55,157820,0.973893722613,162050.53625,1331752,0.0462810749106
1.6,1.7,1.65,167899,1.03672557568,161951.247213,1499651,0.052115904666
1.7,1.8,1.75,178532,1.09955742876,162367.144572,1678183,0.0583202526722
1.8,1.9,1.85,188140,1.16238928183,161856.27564,1866323,0.0648584981066
1.9,2,1.95,197851,1.2252211349,161481.869978,2064174,0.0717342204273
2,2.1,2.05,207187,1.28805298797,160852.854607,2271361,0.0789343876263
2.1,2.2,2.15,217283,1.35088484104,160844.946511,2488644,0.0864854112401
2.2,2.3,2.25,227085,1.41371669412,160629.778898,2715729,0.0943770741744
2.3,2.4,2.35,236403,1.47654854719,160105.131965,2952132,0.10259255645
2.4,2.5,2.45,246058,1.53938040026,159842.232601,3198190,0.1111435695
2.5,2.6,2.55,255935,1.60221225333,159738.511217,3454125,0.120037828271
2.6,2.7,2.65,266209,1.6650441064,159881.049983,3720334,0.129289129317
2.7,2.8,2.75,275072,1.72787595947,159196.61275,3995406,0.138848437535
2.8,2.9,2.85,285641,1.79070781255,159512.902104,4281047,0.148775039874
2.9,3,2.95,293502,1.85353966562,158346.759686,4574549,0.158974827859
3,3.1,3.05,302573,1.91637151869,157888.4872,4877122,0.169489851436
3.1,3.2,3.15,311187,1.97920337176,157228.4104,5188309,0.180304228932
3.2,3.3,3.25,319771,2.04203522483,156594.262484,5508080,0.191416917785
3.3,3.4,3.35,329951,2.10486707791,156756.2168,5838031,0.202883382222
3.4,3.5,3.45,339193,2.16769893098,156476.065543,6177224,0.214671024848
3.5,3.6,3.55,347987,2.23053078405,156010.848399,6525211,0.226764276756
3.6,3.7,3.65,356131,2.29336263712,155287.695995,6881342,0.239140549132
3.7,3.8,3.75,364145,2.35619449019,154547.938006,7245487,0.251795324213
3.8,3.9,3.85,373537,2.41902634326,154416.259682,7619024,0.264776490285
3.9,4,3.95,382177,2.48185819634,153988.249838,8001201,0.278057913828
4,4.1,4.05,389626,2.54469004941,153113.342857,8390827,0.291598205183
4.1,4.2,4.15,397771,2.60752190248,152547.520165,8788598,0.305421551758
4.2,4.3,4.25,405279,2.67035375555,151769.77925,9193877,0.319505816515
4.3,4.4,4.35,413251,2.73318560862,151197.561811,9607128,0.333867124392
4.4,4.5,4.45,419864,2.79601746169,150165.013542,10026992,0.348458247392
4.5,4.6,4.55,426771,2.85884931477,149280.69059,10453763,0.363289402607
4.6,4.7,4.65,432497,2.92168116784,148030.183704,10886260,0.378319547901
4.7,4.8,4.75,439894,2.98451302091,147392.220077,11326154,0.393606753903
4.8,4.9,4.85,446218,3.04734487398,146428.454426,11772372,0.409113731692
4.9,5,4.95,451399,3.11017672705,145136.125569,12223771,0.424800759707
5,5.1,5.05,456989,3.17300858013,144023.877799,12680760,0.440682051526
5.1,5.2,5.15,461741,3.2358404332,142695.849666,13142501,0.456728484954
5.2,5.3,5.25,466091,3.29867228627,141296.545868,13608592,0.472926089677
5.3,5.4,5.35,470656,3.36150413934,140013.511955,14079248,0.489282337382
5.4,5.5,5.45,474030,3.42433599241,138429.7572,14553278,0.505755838409
5.5,5.6,5.55,475711,3.48716784548,136417.58042,15028989,0.522287757585
5.6,5.7,5.65,477396,3.54999969856,134477.757898,15506385,0.538878233919
5.7,5.8,5.75,479111,3.61283155163,132613.711199,15985496,0.55552830997
5.8,5.9,5.85,480801,3.6756634047,130806.5911,16466297,0.572237116939
5.9,6,5.95,479008,3.73849525777,128128.55627,16945305,0.588883613532
6,6.1,6.05,477589,3.80132711084,125637.438209,17422894,0.605480797006
6.1,6.2,6.15,474588,3.86415896392,122817.92867,17897482,0.621973689661
6.2,6.3,6.25,470376,3.92699081699,119780.264819,18367858,0.6383202068
6.3,6.4,6.35,464108,3.98982267006,116322.964297,18831966,0.654448898264
6.4,6.5,6.45,455897,4.05265452313,112493.428048,19287863,0.670292240874
6.5,6.6,6.55,446869,4.1154863762,108582.305747,19734732,0.68582184223
6.6,6.7,6.65,433836,4.17831822927,103830.291566,20168568,0.700898520481
6.7,6.8,6.75,417007,4.24115008235,98324.0375614,20585575,0.715390356953
6.8,6.9,6.85,399138,4.30398193542,92736.9133953,20984713,0.729261209543
6.9,7,6.95,379150,4.36681378849,86825.3189544,21363863,0.742437438715
7,7.1,7.05,358441,4.42964564156,80918.6623501,21722304,0.754893988262
7.1,7.2,7.15,336805,4.49247749463,74970.8819693,22059109,0.766598643059
7.2,7.3,7.25,316095,4.55530934771,69390.4575678,22375204,0.777583583478
7.3,7.4,7.35,297750,4.61814120078,64473.9922525,22672954,0.787930998053
7.4,7.5,7.45,278674,4.68097305385,59533.3484714,22951628,0.797615483054
7.5,7.6,7.55,263814,4.74380490692,55612.3207375,23215442,0.806783553008
7.6,7.7,7.65,249656,4.80663675999,51939.8515981,23465098,0.815459603833
7.7,7.8,7.75,236986,4.86946861306,48667.7333465,23702084,0.823695346537
7.8,7.9,7.85,225126,4.93230046614,45643.204737,23927210,0.83151893026
7.9,8,7.95,214888,4.99513231921,43019.4810203,24142098,0.838986722781
8,8.1,8.05,205081,5.05796417228,40546.1551357,24347179,0.846113702222
8.1,8.2,8.15,196113,5.12079602535,38297.3660792,24543292,0.852929025528
8.2,8.3,8.25,188490,5.18362787842,36362.5639071,24731782,0.85947943417
8.3,8.4,8.35,180144,5.24645973149,34336.2970878,24911926,0.865739802436
8.4,8.5,8.45,174263,5.30929158457,32822.2696426,25086189,0.87179579406
8.5,8.6,8.55,167230,5.37212343764,31129.2176997,25253419,0.877607374713
8.6,8.7,8.65,160946,5.43495529071,29613.1230877,25414365,0.883200573659
8.7,8.8,8.75,155076,5.49778714378,28206.9850913,25569441,0.888589778235
8.8,8.9,8.85,149807,5.56061899685,26940.7057173,25719248,0.893795874407
8.9,9,8.95,144843,5.62345084993,25756.9602483,25864091,0.898829461541
9,9.1,9.05,140019,5.686282703,24623.9955545,26004110,0.903695404921
9.1,9.2,9.15,135465,5.74911455607,23562.7588699,26139575,0.908403087592
9.2,9.3,9.25,131784,5.81194640914,22674.6756978,26271359,0.91298284807
9.3,9.4,9.35,127829,5.87477826221,21758.9488989,26399188,0.917425164301
9.4,9.5,9.45,123781,5.93761011528,20846.939694,26522969,0.921726804346
9.5,9.6,9.55,120457,6.00044196836,20074.6879372,26643426,0.92591292867
9.6,9.7,9.65,116942,6.06327382143,19286.9402643,26760368,0.929976899636
9.7,9.8,9.75,113583,6.1261056745,18540.8163089,26873951,0.93392413856
9.8,9.9,9.85,110630,6.18893752757,17875.4429992,26984581,0.937768754763
9.9,10,9.95,107841,6.25176938064,17249.676601,27092422,0.941516447576
10,10.1,10.05,105080,6.31460123372,16640.7974329,27197502,0.945168190056
10.1,10.2,10.15,102423,6.37743308679,16060.2233855,27299925,0.948727596414
10.2,10.3,10.25,99884,6.44026493986,15509.2998398,27399809,0.952198767387
10.3,10.4,10.35,96982,6.50309679293,14913.2025999,27496791,0.955569087993
10.4,10.5,10.45,95035,6.565928646,14473.9617385,27591826,0.958871746411
10.5,10.6,10.55,92016,6.62876049907,13881.3281929,27683842,0.962069488475
10.6,10.7,10.65,90879,6.69159235215,13581.0723692,27774721,0.96522771749
10.7,10.8,10.75,88537,6.75442420522,13108.001113,27863258,0.968304557269
10.8,10.9,10.85,85743,6.81725605829,12577.3477286,27949001,0.971284299898
10.9,11,10.95,83348,6.88008791136,12114.3800884,28032349,0.974180811435
11,11.1,11.05,82037,6.94291976443,11815.9222321,28114386,0.97703176307
11.1,11.2,11.15,79911,7.00575161751,11406.4848945,28194297,0.979808831907
11.2,11.3,11.25,77893,7.06858347058,11019.6053176,28272190,0.982515771163
11.3,11.4,11.35,76510,7.13141532365,10728.5856352,28348700,0.985174648372
11.4,11.5,11.45,74748,7.19424717672,10389.9682849,28423448,0.987772292519
11.5,11.6,11.55,73417,7.25707902979,10116.6047247,28496865,0.990323681724
11.6,11.7,11.65,71805,7.31991088286,9809.54565555,28568670,0.992819050669
11.7,11.8,11.75,69964,7.38274273594,9476.69484126,28638634,0.995250441142
11.8,11.9,11.85,68748,7.44557458901,9233.40424277,28707382,0.997639573156
11.9,12,11.95,67922,7.50840644208,9046.12723405,28775304,1
