scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
global,,,1,"[30,60)","[2,3)",18102668
global,,,2,"[60,100)","[2,3)",23097824
global,,,3,"[60,100)","[3,3.25)",1221585
global,,,4,"[60,100)","[3.25,3.5)",628353
global,,,5,"[60,100)","[3.5,3.75)",324690
global,,,6,"[60,100)","[3.75,4.0)",169774
global,,,7,"[100,200)","[2,3)",23642432
global,,,8,"[100,200)","[3,3.25)",2951242
global,,,9,"[100,200)","[3.25,3.5)",1394005
global,,,10,"[100,200)","[3.5,3.75)",672737
global,,,11,"[100,200)","[3.75,4.0)",309043
global,,,12,"[100,200)","[4.0,4.25)",133239
global,,,13,"[100,200)","[4.25,4.5)",55775
global,,,14,"[100,200)","[4.5,4.75)",24781
global,,,15,"[100,200)","[4.75,5.0)",11648
global,,,16,"[100,200)",>=5,11712
global,,,17,"[200,300)","[2,3)",3511356
global,,,18,"[200,300)","[3,3.25)",1555252
global,,,19,"[200,300)","[3.25,3.5)",732511
global,,,20,"[200,300)","[3.5,3.75)",349353
global,,,21,"[200,300)","[3.75,4.0)",166678
global,,,22,"[200,300)","[4.0,4.25)",69627
global,,,23,"[200,300)","[4.25,4.5)",26813
global,,,24,"[200,300)","[4.5,4.75)",9558
global,,,25,"[200,300)","[4.75,5.0)",3458
global,,,26,"[200,300)",>=5,1982
global,,,27,"[300,500)","[2,3)",689890
global,,,28,"[300,500)","[3,3.25)",1191475
global,,,29,"[300,500)","[3.25,3.5)",782322
global,,,30,"[300,500)","[3.5,3.75)",313446
global,,,31,"[300,500)","[3.75,4.0)",133652
global,,,32,"[300,500)","[4.0,4.25)",52626
global,,,33,"[300,500)","[4.25,4.5)",20712
global,,,34,"[300,500)","[4.5,4.75)",8442
global,,,35,"[300,500)","[4.75,5.0)",3006
global,,,36,"[300,500)",>=5,1579
global,,,37,"[500,800)","[3,3.25)",166432
global,,,38,"[500,800)","[3.25,3.5)",477133
global,,,39,"[500,800)","[3.5,3.75)",280350
global,,,40,"[500,800)","[3.75,4.0)",90323
global,,,41,"[500,800)","[4.0,4.25)",26383
global,,,42,"[500,800)","[4.25,4.5)",6543
global,,,43,"[500,800)","[4.5,4.75)",2484
global,,,44,"[500,800)","[4.75,5.0)",1025
global,,,45,"[500,800)",>=5,568
global,,,46,"[800,1100)","[3.25,3.5)",52986
global,,,47,"[800,1100)","[3.5,3.75)",122657
global,,,48,"[800,1100)","[3.75,4.0)",74431
global,,,49,"[800,1100)","[4.0,4.25)",23556
global,,,50,"[800,1100)","[4.25,4.5)",5522
global,,,51,"[800,1100)","[4.5,4.75)",918
global,,,52,"[800,1100)","[4.75,5.0)",150
global,,,53,"[800,1100)",>=5,36
global,,,54,"[1100,2000)","[3.5,3.75)",21507
global,,,55,"[1100,2000)","[3.75,4.0)",51102
global,,,56,"[1100,2000)","[4.0,4.25)",46341
global,,,57,"[1100,2000)","[4.25,4.5)",25304
global,,,58,"[1100,2000)","[4.5,4.75)",10148
global,,,59,"[1100,2000)","[4.75,5.0)",3881
global,,,60,"[1100,2000)",>=5,1640
global,,,61,"[2000,3000)","[4.0,4.25)",310
global,,,62,"[2000,3000)","[4.25,4.5)",1492
global,,,63,"[2000,3000)","[4.5,4.75)",5442
global,,,64,"[2000,3000)","[4.75,5.0)",11221
global,,,65,"[2000,3000)",>=5,20675
month,202201,,1,"[30,60)","[2,3)",9398406
month,202201,,2,"[60,100)","[2,3)",11949076
month,202201,,3,"[60,100)","[3,3.25)",630779
month,202201,,4,"[60,100)","[3.25,3.5)",324133
month,202201,,5,"[60,100)","[3.5,3.75)",168167
month,202201,,6,"[60,100)","[3.75,4.0)",88020
month,202201,,7,"[100,200)","[2,3)",12212649
month,202201,,8,"[100,200)","[3,3.25)",1524323
month,202201,,9,"[100,200)","[3.25,3.5)",719844
month,202201,,10,"[100,200)","[3.5,3.75)",347401
month,202201,,11,"[100,200)","[3.75,4.0)",159851
month,202201,,12,"[100,200)","[4.0,4.25)",68936
month,202201,,13,"[100,200)","[4.25,4.5)",29001
month,202201,,14,"[100,200)","[4.5,4.75)",12835
month,202201,,15,"[100,200)","[4.75,5.0)",5965
month,202201,,16,"[100,200)",>=5,6166
month,202201,,17,"[200,300)","[2,3)",1812586
month,202201,,18,"[200,300)","[3,3.25)",804794
month,202201,,19,"[200,300)","[3.25,3.5)",377851
month,202201,,20,"[200,300)","[3.5,3.75)",180684
month,202201,,21,"[200,300)","[3.75,4.0)",86671
month,202201,,22,"[200,300)","[4.0,4.25)",36231
month,202201,,23,"[200,300)","[4.25,4.5)",14075
month,202201,,24,"[200,300)","[4.5,4.75)",5010
month,202201,,25,"[200,300)","[4.75,5.0)",1833
month,202201,,26,"[200,300)",>=5,1002
month,202201,,27,"[300,500)","[2,3)",356932
month,202201,,28,"[300,500)","[3,3.25)",617026
month,202201,,29,"[300,500)","[3.25,3.5)",404076
month,202201,,30,"[300,500)","[3.5,3.75)",162172
