rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
0,0.1,0.05,6949,0.0314159265359,221193.539909,6949,0.000224500496088
0.1,0.2,0.15,20054,0.0942477796077,212779.548584,27003,0.00087238263
0.2,0.3,0.25,31884,0.157079632679,202979.848222,58887,0.00190245513213
0.3,0.4,0.35,43080,0.219911485751,195896.998526,101967,0.00329423544174
0.4,0.5,0.45,53444,0.282743338823,189019.483969,155411,0.00502084423623
0.5,0.6,0.55,63665,0.345575191895,184229.080944,219076,0.00707766163204
0.6,0.7,0.65,74225,0.408407044967,181742.702323,293301,0.00947563966084
0.7,0.8,0.75,84865,0.471238898038,180089.123273,378166,0.0122173628729
0.8,0.9,0.85,95229,0.53407075111,178307.836185,473395,0.0152939145698
0.9,1,0.95,105567,0.596902604182,176857.998709,578962,0.0187044547728
1,1.1,1.05,116844,0.659734457254,177107.620673,695806,0.0224793196404
1.1,1.2,1.15,127162,0.722566310326,175986.616291,822968,0.0265875268765
1.2,1.3,1.25,138200,0.785398163397,175961.705082,961168,0.0310523374333
1.3,1.4,1.35,149059,0.848230016469,175729.456758,1110227,0.0358679683797
1.4,1.5,1.45,160132,0.911061869541,175764.133429,1270359,0.0410413333876
1.5,1.6,1.55,170622,0.973893722613,175195.707743,1440981,0.046553597547
1.6,1.7,1.65,181490,1.03672557568,175060.791647,1622471,0.0524169728578
1.7,1.8,1.75,192963,1.09955742876,175491.515908,1815434,0.0586510049814
1.8,1.9,1.85,203184,1.16238928183,174798.583552,2018618,0.0652152457062
1.9,2,1.95,213743,1.2252211349,174452.58975,2232361,0.0721206147572
2,2.1,2.05,223734,1.28805298797,173699.375794,2456095,0.0793487618276
2.1,2.2,2.15,234769,1.35088484104,173789.055045,2690864,0.086933415298
2.2,2.3,2.25,245293,1.41371669412,173509.304248,2936157,0.0948580663539
2.3,2.4,2.35,255394,1.47654854719,172966.883132,3191551,0.103109049186
2.4,2.5,2.45,265728,1.53938040026,172620.100889,3457279,0.111693891296
2.5,2.6,2.55,276825,1.60221225333,172776.733809,3734104,0.120637242833
2.6,2.7,2.65,287492,1.6650441064,172663.29396,4021596,0.129925211839
2.7,2.8,2.75,296905,1.72787595947,171832.357741,4318501,0.139517285488
2.8,2.9,2.85,308469,1.79070781255,172260.933827,4626970,0.149482955876
2.9,3,2.95,317178,1.85353966562,171120.157763,4944148,0.159729986866
3,3.1,3.05,326807,1.91637151869,170534.260613,5270955,0.170288100786
3.1,3.2,3.15,335958,1.97920337176,169744.051972,5606913,0.181141854947
3.2,3.3,3.25,345498,2.04203522483,169192.96778,5952411,0.192303816725
3.3,3.4,3.35,355993,2.10486707791,169128.494496,6308404,0.203804839189
3.4,3.5,3.45,366494,2.16769893098,169070.526706,6674898,0.215645116181
3.5,3.6,3.55,375919,2.23053078405,168533.428316,7050817,0.227789885498
3.6,3.7,3.65,384794,2.29336263712,167785.937458,7435611,0.240221378359
3.7,3.8,3.75,393207,2.35619449019,166882.233889,7828818,0.252924668986
3.8,3.9,3.85,403254,2.41902634326,166700.954342,8232072,0.265952546817
3.9,4,3.95,412493,2.48185819634,166203.290989,8644565,0.279278907896
4,4.1,4.05,420705,2.54469004941,165326.618107,9065270,0.292870573057
4.1,4.2,4.15,429706,2.60752190248,164794.780666,9494976,0.306753032429
4.2,4.3,4.25,437692,2.67035375555,163907.871416,9932668,0.320893494529
4.3,4.4,4.35,445855,2.73318560862,163126.499201,10378523,0.335297677675
4.4,4.5,4.45,453336,2.79601746169,162136.326475,10831859,0.349943548577
4.5,4.6,4.55,460662,2.85884931477,161135.460208,11292521,0.364826099667
4.6,4.7,4.65,467480,2.92168116784,160003.769455,11760001,0.379928919053
4.7,4.8,4.75,474923,2.98451302091,159129.143238,12234924,0.395272198532
4.8,4.9,4.85,481853,3.04734487398,158122.240812,12716777,0.410839364677
4.9,5,4.95,487323,3.11017672705,156686.594611,13204100,0.426583249446
5,5.1,5.05,493591,3.17300858013,155559.302011,13697691,0.442529633726
5.1,5.2,5.15,498255,3.2358404332,153980.089651,14195946,0.458626697286
5.2,5.3,5.25,503150,3.29867228627,152531.065937,14699096,0.474881903015
5.3,5.4,5.35,507931,3.36150413934,151102.297943,15207027,0.491291567927
5.4,5.5,5.45,511803,3.42433599241,149460.508879,15718830,0.507826325072
5.5,5.6,5.55,513303,3.48716784548,147197.675232,16232133,0.524409542534
5.6,5.7,5.65,515599,3.54999969856,145239.167262,16747732,0.541066936588
5.7,5.8,5.75,517241,3.61283155163,143167.759861,17264973,0.557777378537
5.8,5.9,5.85,518871,3.6756634047,141163.905089,17783844,0.574540480696
5.9,6,5.95,517190,3.73849525777,138341.756332,18301034,0.591249274993
6,6.1,6.05,515713,3.80132711084,135666.567218,18816747,0.607910352032
6.1,6.2,6.15,512494,3.86415896392,132627.566512,19329241,0.624467433229
6.2,6.3,6.25,507728,3.92699081699,129291.873514,19836969,0.640870539846
6.3,6.4,6.35,501072,3.98982267006,125587.536449,20338041,0.657058611881
6.4,6.5,6.45,492227,4.05265452313,121457.922749,20830268,0.67296092958
6.5,6.6,6.55,482368,4.1154863762,117208.017694,21312636,0.688544733767
6.6,6.7,6.65,468375,4.17831822927,112096.536046,21781011,0.703676467809
6.7,6.8,6.75,450169,4.24115008235,106143.143077,22231180,0.718220022827
6.8,6.9,6.85,430193,4.30398193542,99952.3247205,22661373,0.732118215648
6.9,7,6.95,407955,4.36681378849,93421.6615958,23069328,0.745297968114
7,7.1,7.05,385203,4.42964564156,86960.2291402,23454531,0.757742674488
7.1,7.2,7.15,361297,4.49247749463,80422.6622018,23815828,0.769415052634
7.2,7.3,7.25,338747,4.55530934771,74363.1165621,24154575,0.780358910678
7.3,7.4,7.35,318599,4.61814120078,68988.5792029,24473174,0.790651849742
7.4,7.5,7.45,297909,4.68097305385,63642.5368343,24771083,0.800276359497
7.5,7.6,7.55,281828,4.74380490692,59409.6944393,25052911,0.809381342345
7.6,7.7,7.65,266509,4.80663675999,55446.0453967,25319420,0.817991416127
7.7,7.8,7.75,252848,4.86946861306,51925.1729689,25572268,0.826160145647
7.8,7.9,7.85,240060,4.93230046614,48671.0008136,25812328,0.83391573481
7.9,8,7.95,229433,4.99513231921,45931.3157967,26041761,0.841327998779
8,8.1,8.05,218729,5.05796417228,43244.4739721,26260490,0.848394449924
8.1,8.2,8.15,209142,5.12079602535,40841.6970652,26469632,0.855151175029
8.2,8.3,8.25,201019,5.18362787842,38779.5969762,26670651,0.861645471362
8.3,8.4,8.35,191966,5.24645973149,36589.6261145,26862617,0.867847293528
8.4,8.5,8.45,185741,5.30929158457,34984.139982,27048358,0.873848005378
8.5,8.6,8.55,178085,5.37212343764,33149.8339655,27226443,0.879601375769
8.6,8.7,8.65,171366,5.43495529071,31530.342171,27397809,0.885137676246
8.7,8.8,8.75,164986,5.49778714378,30009.528504,27562795,0.89046785884
8.8,8.9,8.85,159416,5.56061899685,28668.7507434,27722211,0.895618092123
8.9,9,8.95,153844,5.62345084993,27357.5788436,27876055,0.900588311481
9,9.1,9.05,148868,5.686282703,26180.1967604,28024923,0.905397771814
9.1,9.2,9.15,143812,5.74911455607,25014.6346185,28168735,0.910043888571
9.2,9.3,9.25,139781,5.81194640914,24050.6347031,28308516,0.914559776302
9.3,9.4,9.35,135556,5.87477826221,23074.2325837,28444072,0.918939167473
9.4,9.5,9.45,131246,5.93761011528,22104.1795355,28575318,0.923179315999
9.5,9.6,9.55,127675,6.00044196836,21277.5993291,28702993,0.927304096664
9.6,9.7,9.65,123908,6.06327382143,20435.8245478,28826901,0.931307177319
9.7,9.8,9.75,120171,6.1261056745,19616.2140167,28947072,0.93518952717
9.8,9.9,9.85,117277,6.18893752757,18949.4561025,29064349,0.938978380916
9.9,10,9.95,114139,6.25176938064,18257.0714066,29178488,0.942665855678
10,10.1,10.05,111018,6.31460123372,17581.1576838,29289506,0.946252500674
10.1,10.2,10.15,108424,6.37743308679,17001.197586,29397930,0.949755341627
10.2,10.3,10.25,105588,6.44026493986,16394.977689,29503518,0.953166560275
10.3,10.4,10.35,102462,6.50309679293,15755.8780474,29605980,0.956476787621
10.4,10.5,10.45,100427,6.565928646,15295.1707846,29706407,0.959721270471
10.5,10.6,10.55,97212,6.62876049907,14665.1851449,29803619,0.962861886707
10.6,10.7,10.65,95872,6.69159235215,14327.232586,29899491,0.965959211726
10.7,10.8,10.75,93384,6.75442420522,13825.6048425,29992875,0.968976157233
10.8,10.9,10.85,90569,6.81725605829,13285.2571805,30083444,0.971902158878
10.9,11,10.95,87912,6.88008791136,12777.7437051,30171356,0.974742321148
11,11.1,11.05,86349,6.94291976443,12436.9865892,30257705,0.977531987767
11.1,11.2,11.15,84089,7.00575161751,12002.8520266,30341794,0.980248640842
11.2,11.3,11.25,81986,7.06858347058,11598.6463683,30423780,0.982897352551
11.3,11.4,11.35,80527,7.13141532365,11291.8679316,30504307,0.985498928526
11.4,11.5,11.45,78717,7.19424717672,10941.6590877,30583024,0.988042029052
11.5,11.6,11.55,77251,7.25707902979,10644.9164578,30660275,0.990537767694
11.6,11.7,11.65,75547,7.31991088286,10320.754065,30735822,0.992978455415
11.7,11.8,11.75,73547,7.38274273594,9962.01582943,30809369,0.995354529381
11.8,11.9,11.85,72418,7.44557458901,9726.31448846,30881787,0.997694128881
11.9,12,11.95,71374,7.50840644208,9505.8785843,30953161,1
