source_file_id,status,yyyymm,relative_path,obs_path,time_path,event_entries,time_entries,common_entries,entry_mismatch,selected_rows,parquet_relative_path,matched_mjd_min,matched_mjd_max,matched_mjd_start_utc_yyyymm,matched_mjd_end_utc_yyyymm,matched_span_seconds,matched_gap_count,matched_gap_seconds,rough_live_time_seconds,selected_mjd_min,selected_mjd_max
0,processed,202201,0101/Esg20220101_00.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_00.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_00.time.root,318133,318133,318133,False,199913,obs_events/yyyymm=202201/part-000000.parquet,59579.6669078,59579.7080534,202112,202112,3554.9835905,6,495.673131198,3059.3104593,59579.6669078,59579.7080534
1,processed,202201,0101/Esg20220101_01.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_01.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_01.time.root,155486,155486,155486,False,104565,obs_events/yyyymm=202201/part-000001.parquet,59579.7085167,59579.7495953,202112,202112,3549.19261218,5,422.142864671,3127.04974751,59579.7085167,59579.7495953
2,processed,202201,0101/Esg20220101_02.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_02.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_02.time.root,86920,86920,86920,False,59822,obs_events/yyyymm=202201/part-000002.parquet,59579.7500637,59579.7916164,202112,202112,3590.15430536,6,511.951802205,3078.20250315,59579.7500637,59579.7916164
3,processed,202201,0101/Esg20220101_03.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_03.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_03.time.root,89838,89838,89838,False,61572,obs_events/yyyymm=202201/part-000003.parquet,59579.7920873,59579.83305,202112,202112,3539.18375855,3,298.531596526,3240.65216202,59579.7920873,59579.83305
4,processed,202201,0101/Esg20220101_04.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_04.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_04.time.root,163844,163844,163844,False,109698,obs_events/yyyymm=202201/part-000004.parquet,59579.833532,59579.8745126,202112,202112,3540.72800183,5,420.903238398,3119.82476343,59579.833532,59579.8745125
5,processed,202201,0101/Esg20220101_05.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_05.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_05.time.root,284462,284462,284462,False,180900,obs_events/yyyymm=202201/part-000005.parquet,59579.8749576,59579.916358,202112,202112,3576.99036298,5,413.504111487,3163.48625149,59579.8749577,59579.9163578
6,processed,202201,0101/Esg20220101_06.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_06.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_06.time.root,209176,209176,209176,False,137229,obs_events/yyyymm=202201/part-000006.parquet,59579.916794,59579.9582573,202112,202112,3582.43337937,10,834.485277068,2747.9481023,59579.916794,59579.9582573
7,processed,202201,0101/Esg20220101_07.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_07.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_07.time.root,104053,104053,104053,False,71148,obs_events/yyyymm=202201/part-000007.parquet,59579.9586982,59579.9998184,202112,202112,3552.79066712,6,511.491641379,3041.29902574,59579.9586982,59579.9998184
8,processed,202201,0101/Esg20220101_08.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_08.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_08.time.root,52471,52471,52471,False,35970,obs_events/yyyymm=202201/part-000008.parquet,59580.0002753,59580.0414344,202201,202201,3556.14701395,6,516.17594508,3039.97106887,59580.0002753,59580.0414344
9,processed,202201,0101/Esg20220101_09.root,/mnt/mydisk/WCDA_observation_eval/0101/Esg20220101_09.root,/mnt/mydisk/WCDA_observation_eval/recovered_time/0101/Esg20220101_09.time.root,28109,28109,28109,False,18838,obs_events/yyyymm=202201/part-000009.parquet,59580.0419291,59580.0830678,202201,202201,3554.38573051,8,733.822747855,2820.56298265,59580.0419291,59580.0830677
