scope,yyyymm,source_file_id,cell_id,nhit_bin,predE_bin,count
global,,,1,"[125,200)","[2,2.5)",3939808
global,,,2,"[125,200)","[2.5,3)",9200327
global,,,3,"[125,200)","[3,3.25)",2149690
global,,,4,"[125,200)","[3.25,3.5)",1021240
global,,,5,"[125,200)","[3.5,3.75)",496152
global,,,6,"[125,200)","[3.75,4.0)",226753
global,,,7,"[125,200)","[4.0,4.25)",95276
global,,,8,"[125,200)","[4.25,4.5)",37999
global,,,9,"[125,200)","[4.5,4.75)",15749
global,,,10,"[125,200)","[4.75,5.0)",7028
global,,,11,"[125,200)","[5,6)",5737
global,,,12,"[125,200)",>=6,60
global,,,13,"[200,300)","[2,2.5)",200044
global,,,14,"[200,300)","[2.5,3)",3311312
global,,,15,"[200,300)","[3,3.25)",1555252
global,,,16,"[200,300)","[3.25,3.5)",732511
global,,,17,"[200,300)","[3.5,3.75)",349353
global,,,18,"[200,300)","[3.75,4.0)",166678
global,,,19,"[200,300)","[4.0,4.25)",69627
global,,,20,"[200,300)","[4.25,4.5)",26813
global,,,21,"[200,300)","[4.5,4.75)",9558
global,,,22,"[200,300)","[4.75,5.0)",3458
global,,,23,"[200,300)","[5,6)",1980
global,,,24,"[200,300)",>=6,2
global,,,25,"[300,500)","[2,2.5)",1038
global,,,26,"[300,500)","[2.5,3)",688852
global,,,27,"[300,500)","[3,3.25)",1191475
global,,,28,"[300,500)","[3.25,3.5)",782322
global,,,29,"[300,500)","[3.5,3.75)",313446
global,,,30,"[300,500)","[3.75,4.0)",133652
global,,,31,"[300,500)","[4.0,4.25)",52626
global,,,32,"[300,500)","[4.25,4.5)",20712
global,,,33,"[300,500)","[4.5,4.75)",8442
global,,,34,"[300,500)","[4.75,5.0)",3006
global,,,35,"[300,500)","[5,6)",1579
global,,,36,"[300,500)",>=6,0
global,,,37,"[500,800)","[2,2.5)",0
global,,,38,"[500,800)","[2.5,3)",4294
global,,,39,"[500,800)","[3,3.25)",166432
global,,,40,"[500,800)","[3.25,3.5)",477133
global,,,41,"[500,800)","[3.5,3.75)",280350
global,,,42,"[500,800)","[3.75,4.0)",90323
global,,,43,"[500,800)","[4.0,4.25)",26383
global,,,44,"[500,800)","[4.25,4.5)",6543
global,,,45,"[500,800)","[4.5,4.75)",2484
global,,,46,"[500,800)","[4.75,5.0)",1025
global,,,47,"[500,800)","[5,6)",568
global,,,48,"[500,800)",>=6,0
global,,,49,"[800,1100)","[2,2.5)",0
global,,,50,"[800,1100)","[2.5,3)",4
global,,,51,"[800,1100)","[3,3.25)",2366
global,,,52,"[800,1100)","[3.25,3.5)",52986
global,,,53,"[800,1100)","[3.5,3.75)",122657
global,,,54,"[800,1100)","[3.75,4.0)",74431
global,,,55,"[800,1100)","[4.0,4.25)",23556
global,,,56,"[800,1100)","[4.25,4.5)",5522
global,,,57,"[800,1100)","[4.5,4.75)",918
global,,,58,"[800,1100)","[4.75,5.0)",150
global,,,59,"[800,1100)","[5,6)",36
global,,,60,"[800,1100)",>=6,0
global,,,61,"[1100,2000)","[2,2.5)",0
global,,,62,"[1100,2000)","[2.5,3)",0
global,,,63,"[1100,2000)","[3,3.25)",11
global,,,64,"[1100,2000)","[3.25,3.5)",1544
global,,,65,"[1100,2000)","[3.5,3.75)",21507
global,,,66,"[1100,2000)","[3.75,4.0)",51102
global,,,67,"[1100,2000)","[4.0,4.25)",46341
global,,,68,"[1100,2000)","[4.25,4.5)",25304
global,,,69,"[1100,2000)","[4.5,4.75)",10148
global,,,70,"[1100,2000)","[4.75,5.0)",3881
global,,,71,"[1100,2000)","[5,6)",1640
global,,,72,"[1100,2000)",>=6,0
global,,,73,"[2000,3000)","[2,2.5)",0
global,,,74,"[2000,3000)","[2.5,3)",0
global,,,75,"[2000,3000)","[3,3.25)",0
global,,,76,"[2000,3000)","[3.25,3.5)",0
global,,,77,"[2000,3000)","[3.5,3.75)",0
global,,,78,"[2000,3000)","[3.75,4.0)",9
global,,,79,"[2000,3000)","[4.0,4.25)",310
global,,,80,"[2000,3000)","[4.25,4.5)",1492
global,,,81,"[2000,3000)","[4.5,4.75)",5442
global,,,82,"[2000,3000)","[4.75,5.0)",11221
global,,,83,"[2000,3000)","[5,6)",20659
global,,,84,"[2000,3000)",>=6,16
month,202201,,1,"[125,200)","[2,2.5)",2027126
month,202201,,2,"[125,200)","[2.5,3)",4753870
month,202201,,3,"[125,200)","[3,3.25)",1110094
month,202201,,4,"[125,200)","[3.25,3.5)",527839
month,202201,,5,"[125,200)","[3.5,3.75)",256398
month,202201,,6,"[125,200)","[3.75,4.0)",117405
month,202201,,7,"[125,200)","[4.0,4.25)",49448
month,202201,,8,"[125,200)","[4.25,4.5)",19860
month,202201,,9,"[125,200)","[4.5,4.75)",8178
month,202201,,10,"[125,200)","[4.75,5.0)",3561
month,202201,,11,"[125,200)","[5,6)",3031
month,202201,,12,"[125,200)",>=6,36
month,202201,,13,"[200,300)","[2,2.5)",102501
month,202201,,14,"[200,300)","[2.5,3)",1710085
month,202201,,15,"[200,300)","[3,3.25)",804794
month,202201,,16,"[200,300)","[3.25,3.5)",377851
month,202201,,17,"[200,300)","[3.5,3.75)",180684
month,202201,,18,"[200,300)","[3.75,4.0)",86671
month,202201,,19,"[200,300)","[4.0,4.25)",36231
month,202201,,20,"[200,300)","[4.25,4.5)",14075
month,202201,,21,"[200,300)","[4.5,4.75)",5010
month,202201,,22,"[200,300)","[4.75,5.0)",1833
month,202201,,23,"[200,300)","[5,6)",1001
month,202201,,24,"[200,300)",>=6,1
month,202201,,25,"[300,500)","[2,2.5)",533
month,202201,,26,"[300,500)","[2.5,3)",356399
month,202201,,27,"[300,500)","[3,3.25)",617026
month,202201,,28,"[300,500)","[3.25,3.5)",404076
month,202201,,29,"[300,500)","[3.5,3.75)",162172
month,202201,,30,"[300,500)","[3.75,4.0)",68907
month,202201,,31,"[300,500)","[4.0,4.25)",27196
