rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
0,0.1,0.05,3383,0.0314159265359,107684.234496,3383,0.000320144902712
0.1,0.2,0.15,9503,0.0942477796077,100829.961613,12886,0.00121944641335
0.2,0.3,0.25,14500,0.157079632679,92309.8669933,27386,0.00259163118702
0.3,0.4,0.35,18733,0.219911485751,85184.2728269,46119,0.00436439928116
0.4,0.5,0.45,22228,0.282743338823,78615.4683344,68347,0.00646791122248
0.5,0.6,0.55,25676,0.345575191895,74299.3148878,94023,0.00889771923964
0.6,0.7,0.65,29549,0.408407044967,72351.8371296,123572,0.0116940425415
0.7,0.8,0.75,33214,0.471238898038,70482.2970647,156786,0.0148371973741
0.8,0.9,0.85,37018,0.53407075111,69312.9139221,193804,0.0183403377846
0.9,1,0.95,40752,0.596902604182,68272.4446409,234556,0.0221968394326
1,1.1,1.05,45323,0.659734457254,68698.8522453,279879,0.0264859105014
1.1,1.2,1.15,49378,0.722566310326,68336.9806956,329257,0.0311587201396
1.2,1.3,1.25,53300,0.785398163397,67863.6677344,382557,0.0362026821007
1.3,1.4,1.35,58100,0.848230016469,68495.5718047,440657,0.0417008845387
1.4,1.5,1.45,61798,0.911061869541,67830.7391255,502455,0.0475490414106
1.5,1.6,1.55,66069,0.973893722613,67840.0511944,568524,0.0538013776735
1.6,1.7,1.65,70349,1.03672557568,67856.9157065,638873,0.0604587450282
1.7,1.8,1.75,74784,1.09955742876,68012.8186525,713657,0.0675358116568
1.8,1.9,1.85,78671,1.16238928183,67680.4244756,792328,0.0749807184381
1.9,2,1.95,83174,1.2252211349,67884.8883935,875502,0.0828517595667
2,2.1,2.05,86731,1.28805298797,67334.9627771,962233,0.0910594118154
2.1,2.2,2.15,91560,1.35088484104,67777.7980907,1053793,0.0997240489103
2.2,2.3,2.25,95406,1.41371669412,67485.9400028,1149199,0.108752646187
2.3,2.4,2.35,99505,1.47654854719,67390.2664356,1248704,0.118169145905
2.4,2.5,2.45,103436,1.53938040026,67193.2681374,1352140,0.127957649646
2.5,2.6,2.55,108095,1.60221225333,67466.0924452,1460235,0.13818705055
2.6,2.7,2.65,112510,1.6650441064,67571.7835746,1572745,0.14883425806
2.7,2.8,2.75,116281,1.72787595947,67297.076137,1689026,0.159838328244
2.8,2.9,2.85,120862,1.79070781255,67493.9815157,1809888,0.171275914183
2.9,3,2.95,124598,1.85353966562,67221.6528792,1934486,0.183067050626
3,3.1,3.05,128224,1.91637151869,66909.7817148,2062710,0.195201327896
3.1,3.2,3.15,132291,1.97920337176,66840.5288145,2195001,0.207720479337
3.2,3.3,3.25,136155,2.04203522483,66676.1270052,2331156,0.220605294362
3.3,3.4,3.35,140677,2.10486707791,66834.1490428,2471833,0.233918041769
3.4,3.5,3.45,144738,2.16769893098,66770.3424731,2616571,0.247615095547
3.5,3.6,3.55,148873,2.23053078405,66743.3065998,2765444,0.261703458568
3.6,3.7,3.65,152691,2.29336263712,66579.5271661,2918135,0.276153132035
3.7,3.8,3.75,156932,2.35619449019,66604.0094115,3075067,0.291004145891
3.8,3.9,3.85,160567,2.41902634326,66376.7058375,3235634,0.306199152274
3.9,4,3.95,164810,2.48185819634,66405.8890404,3400444,0.321795688312
4,4.1,4.05,168804,2.54469004941,66335.7802807,3569248,0.337770190279
4.1,4.2,4.15,172623,2.60752190248,66201.9367262,3741871,0.354106097327
4.2,4.3,4.25,175919,2.67035375555,65878.5374913,3917790,0.370753916168
4.3,4.4,4.35,179978,2.73318560862,65849.1686156,4097768,0.387785852113
4.4,4.5,4.45,183885,2.79601746169,65766.7566527,4281653,0.405187520879
4.5,4.6,4.55,187257,2.85884931477,65500.8289639,4468910,0.422908293579
4.6,4.7,4.65,189955,2.92168116784,65015.6499248,4658865,0.440884387282
4.7,4.8,4.75,194065,2.98451302091,65024.0084866,4852930,0.459249424392
4.8,4.9,4.85,197575,3.04734487398,64835.1296523,5050505,0.477946624851
4.9,5,4.95,200118,3.11017672705,64342.9674781,5250623,0.49688447813
5,5.1,5.05,203120,3.17300858013,64014.9545363,5453743,0.516106420973
5.1,5.2,5.15,205481,3.2358404332,63501.5861388,5659224,0.535551793351
5.2,5.3,5.25,208861,3.29867228627,63316.6867983,5868085,0.555317026731
5.3,5.4,5.35,210536,3.36150413934,62631.486166,6078621,0.575240771111
5.4,5.5,5.45,213144,3.42433599241,62243.8920924,6291765,0.595411319483
5.5,5.6,5.55,214217,3.48716784548,61430.0800798,6505982,0.615683409529
5.6,5.7,5.65,216249,3.54999969856,60915.2164401,6722231,0.63614779471
5.7,5.8,5.75,216872,3.61283155163,60028.2622926,6939103,0.656671136519
5.8,5.9,5.85,217991,3.6756634047,59306.5729907,7157094,0.67730037314
5.9,6,5.95,217671,3.73849525777,58224.227929,7374765,0.697899327062
6,6.1,6.05,216810,3.80132711084,57035.3441517,7591575,0.718416801598
6.1,6.2,6.15,215152,3.86415896392,55678.8688067,7806727,0.738777373903
6.2,6.3,6.25,213625,3.92699081699,54399.1595488,8020352,0.758993440957
6.3,6.4,6.35,209093,3.98982267006,52406.5897888,8229445,0.778780629293
6.4,6.5,6.45,204268,4.05265452313,50403.5068457,8433713,0.798111211317
6.5,6.6,6.55,198932,4.1154863762,48337.4215865,8632645,0.816936829345
6.6,6.7,6.65,189798,4.17831822927,45424.4960736,8822443,0.834898065598
6.7,6.8,6.75,177465,4.24115008235,41843.6029271,8999908,0.851692187726
6.8,6.9,6.85,164379,4.30398193542,38192.3071394,9164287,0.867247936755
6.9,7,6.95,148857,4.36681378849,34088.2408113,9313144,0.881334785641
7,7.1,7.05,133829,4.42964564156,30212.1232327,9446973,0.893999483301
7.1,7.2,7.15,116941,4.49247749463,26030.4030771,9563914,0.905066011551
7.2,7.3,7.25,102570,4.55530934771,22516.5827765,9666484,0.91477256274
7.3,7.4,7.35,88359,4.61814120078,19133.0226077,9754843,0.923134278217
7.4,7.5,7.45,76949,4.68097305385,16438.6761288,9831792,0.930416226227
7.5,7.6,7.55,67177,4.74380490692,14160.9955127,9898969,0.936773416333
7.6,7.7,7.65,59414,4.80663675999,12360.8258678,9958383,0.942395967102
7.7,7.8,7.75,51982,4.86946861306,10675.0867765,10010365,0.947315202199
7.8,7.9,7.85,46100,4.93230046614,9346.55143508,10056465,0.951677803444
7.9,8,7.95,41566,4.99513231921,8321.30108749,10098031,0.955611336707
8,8.1,8.05,37155,5.05796417228,7345.84088271,10135186,0.959127441897
8.1,8.2,8.15,32846,5.12079602535,6414.23712981,10168032,0.962235771627
8.2,8.3,8.25,29898,5.18362787842,5767.77513765,10197930,0.965065121997
8.3,8.4,8.35,26721,5.24645973149,5093.14878366,10224651,0.967593821951
8.4,8.5,8.45,24384,5.30929158457,4592.70311521,10249035,0.969901363573
8.5,8.6,8.55,21750,5.37212343764,4048.6783769,10270785,0.971959640734
8.6,8.7,8.65,19947,5.43495529071,3670.13138711,10290732,0.973847293815
8.7,8.8,8.75,18293,5.49778714378,3327.33871312,10309025,0.975578423199
8.8,8.9,8.85,16801,5.56061899685,3021.42621343,10325826,0.977168359501
8.9,9,8.95,15292,5.62345084993,2719.32669247,10341118,0.978615493953
9,9.1,9.05,14025,5.686282703,2466.46196339,10355143,0.979942727847
9.1,9.2,9.15,12915,5.74911455607,2246.43288528,10368058,0.981164918629
9.2,9.3,9.25,11793,5.81194640914,2029.09647987,10379851,0.982280930701
9.3,9.4,9.35,11268,5.87477826221,1918.02983825,10391119,0.98334726022
9.4,9.5,9.45,10358,5.93761011528,1744.47291063,10401477,0.984327473316
9.5,9.6,9.55,9863,6.00044196836,1643.7122552,10411340,0.985260842862
9.6,9.7,9.65,9206,6.06327382143,1518.32166436,10420546,0.986132038243
9.7,9.8,9.75,8739,6.1261056745,1426.51799762,10429285,0.986959039811
9.8,9.9,9.85,8494,6.18893752757,1372.44881891,10437779,0.987762856188
9.9,10,9.95,8109,6.25176938064,1297.07279752,10445888,0.988530238694
10,10.1,10.05,7574,6.31460123372,1199.44232734,10453462,0.989246992313
10.1,10.2,10.15,7461,6.37743308679,1169.9064339,10460923,0.989953052354
10.2,10.3,10.25,7358,6.44026493986,1142.49958173,10468281,0.990649365152
10.3,10.4,10.35,6861,6.50309679293,1055.03581116,10475142,0.991298645133
10.4,10.5,10.45,6764,6.565928646,1030.16654074,10481906,0.991938745672
10.5,10.6,10.55,6541,6.62876049907,986.76064717,10488447,0.992557742955
10.6,10.7,10.65,6427,6.69159235215,960.458985213,10494874,0.993165952027
10.7,10.8,10.75,6207,6.75442420522,918.953238857,10501081,0.993753341743
10.8,10.9,10.85,6025,6.81725605829,883.786665556,10507106,0.994323508175
10.9,11,10.95,5882,6.88008791136,854.930936316,10512988,0.994880142026
11,11.1,11.05,5686,6.94291976443,818.963806715,10518674,0.995418227724
11.1,11.2,11.15,5737,7.00575161751,818.898572662,10524411,0.995961139727
11.2,11.3,11.25,5514,7.06858347058,780.071427741,10529925,0.996482948475
11.3,11.4,11.35,5456,7.13141532365,765.065523797,10535381,0.996999268484
11.4,11.5,11.45,5542,7.19424717672,770.337724555,10540923,0.997523726967
11.5,11.6,11.55,5355,7.25707902979,737.900190699,10546278,0.998030488999
11.6,11.7,11.65,5318,7.31991088286,726.511577135,10551596,0.998533749594
11.7,11.8,11.75,5128,7.38274273594,694.592806958,10556724,0.999019029837
11.8,11.9,11.85,5229,7.44557458901,702.296369137,10561953,0.999513868056
11.9,12,11.95,5137,7.50840644208,684.166479216,10567090,1
