cell_id,nhit_bin,predE_bin,rho_bin_low_deg,rho_bin_high_deg,rho_bin_center_deg,count,annulus_area_sqdeg,density_per_sqdeg,cumulative_count_within_12deg,cumulative_fraction_within_12deg
1,"[125,200)","[2,2.5)",0,0.1,0.05,388,0.0314159265359,12350.4235839,388,0.000241989704211
1,"[125,200)","[2,2.5)",0.1,0.2,0.15,1072,0.0942477796077,11374.2732663,1460,0.000910579814816
1,"[125,200)","[2,2.5)",0.2,0.3,0.25,1833,0.157079632679,11669.2404275,3293,0.00205379406177
1,"[125,200)","[2,2.5)",0.3,0.4,0.35,2559,0.219911485751,11636.4999821,5852,0.00364980347692
1,"[125,200)","[2,2.5)",0.4,0.5,0.45,3154,0.282743338823,11154.9931225,9006,0.00561690535084
1,"[125,200)","[2,2.5)",0.5,0.6,0.55,3754,0.345575191895,10863.0482976,12760,0.00795821810757
1,"[125,200)","[2,2.5)",0.6,0.7,0.65,4463,0.408407044967,10927.8232464,17223,0.0107417233908
1,"[125,200)","[2,2.5)",0.7,0.8,0.75,4941,0.471238898038,10485.1276509,22164,0.0138233500107
1,"[125,200)","[2,2.5)",0.8,0.9,0.85,5640,0.53407075111,10560.3985769,27804,0.017340932309
1,"[125,200)","[2,2.5)",0.9,1,0.95,6303,0.596902604182,10559.5116453,34107,0.0212720176328
1,"[125,200)","[2,2.5)",1,1.1,1.05,7106,0.659734457254,10771.0002439,41213,0.0257039218548
1,"[125,200)","[2,2.5)",1.1,1.2,1.15,7615,0.722566310326,10538.8251447,48828,0.0304532816423
1,"[125,200)","[2,2.5)",1.2,1.3,1.25,8178,0.785398163397,10412.5529968,57006,0.0355537759749
1,"[125,200)","[2,2.5)",1.3,1.4,1.35,8779,0.848230016469,10349.787003,65785,0.0410291048751
1,"[125,200)","[2,2.5)",1.4,1.5,1.45,9423,0.911061869541,10342.8760604,75208,0.0469060867895
1,"[125,200)","[2,2.5)",1.5,1.6,1.55,10264,0.973893722613,10539.1376509,85472,0.0533075876246
1,"[125,200)","[2,2.5)",1.6,1.7,1.65,10610,1.03672557568,10234.1451285,96082,0.0599248834021
1,"[125,200)","[2,2.5)",1.7,1.8,1.75,11485,1.09955742876,10445.1115509,107567,0.0670879033837
1,"[125,200)","[2,2.5)",1.8,1.9,1.85,12124,1.16238928183,10430.240703,119691,0.0746494579555
1,"[125,200)","[2,2.5)",1.9,2,1.95,12664,1.2252211349,10336.0933298,132355,0.0825478023219
1,"[125,200)","[2,2.5)",2,2.1,2.05,13165,1.28805298797,10220.8528088,145520,0.0907586127753
1,"[125,200)","[2,2.5)",2.1,2.2,2.15,13934,1.35088484104,10314.7208235,159454,0.0994490368436
1,"[125,200)","[2,2.5)",2.2,2.3,2.25,14820,1.41371669412,10483.005585,174274,0.108692045649
1,"[125,200)","[2,2.5)",2.3,2.4,2.35,15416,1.47654854719,10440.5642668,189690,0.118306770598
1,"[125,200)","[2,2.5)",2.4,2.5,2.45,16038,1.53938040026,10418.4774584,205728,0.128309427495
1,"[125,200)","[2,2.5)",2.5,2.6,2.55,16473,1.60221225333,10281.4093237,222201,0.138583387282
1,"[125,200)","[2,2.5)",2.6,2.7,2.65,17308,1.6650441064,10394.9198303,239509,0.149378123881
1,"[125,200)","[2,2.5)",2.7,2.8,2.75,17994,1.72787595947,10413.9419854,257503,0.160600708256
1,"[125,200)","[2,2.5)",2.8,2.9,2.85,18420,1.79070781255,10286.4352693,275923,0.172088982358
1,"[125,200)","[2,2.5)",2.9,3,2.95,18937,1.85353966562,10216.6683299,294860,0.183899701504
1,"[125,200)","[2,2.5)",3,3.1,3.05,19750,1.91637151869,10305.9348396,314610,0.196217476397
1,"[125,200)","[2,2.5)",3.1,3.2,3.15,20058,1.97920337176,10134.3804715,334668,0.208727346209
1,"[125,200)","[2,2.5)",3.2,3.3,3.25,20821,2.04203522483,10196.2002157,355489,0.221713087527
