cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,max_p_on,r_opt_large_warning,r_opt_extreme_warning,background_form
1,"[30,60)","[2,3)",18102668,18102668,0,1217992,0.06728245803325786,43.476392586300896,1.5524269342422485,4.851115703582764,1.354568362236023,0.8573217391967773,0.24797916412353516,32282.543267512934,0.0053923060186207294,False,False,direct_expectation
2,"[60,100)","[2,3)",23097824,23097824,0,2066870,0.08948332102625771,43.476392586300896,3.452073812484741,6.211703777313232,1.0863629579544067,0.6875714659690857,0.487374871969223,20686.489116756493,0.0030149572994560003,False,False,direct_expectation
3,"[60,100)","[3,3.25)",1221585,1221585,0,90503,0.07408653511626288,43.476392586300896,0.2882896661758423,0.3311719596385956,1.3247969150543213,0.8384790420532227,0.3588121235370636,991.3768376594967,0.002798285335302353,False,False,direct_expectation
4,"[100,200)","[2,3)",23642432,23642432,0,2429907,0.10277737078825055,43.476392586300896,4.2045817375183105,6.3610944747924805,0.7923517823219299,0.501488447189331,0.6310978531837463,10889.16457960063,0.0016193361952900887,False,False,direct_expectation
5,"[100,200)","[3,3.25)",2951242,2951242,0,276665,0.0937452774120184,43.476392586300896,0.9729859828948975,0.7996211051940918,0.8389869928359985,0.5310044288635254,0.6328651309013367,930.1919888958997,0.0008353314478881657,False,False,direct_expectation
6,"[200,300)","[2,3)",3511356,3511356,0,381250,0.108576287907008,43.476392586300896,0.45396459102630615,0.9405632019042969,0.5577100515365601,0.3529810607433319,0.6482003927230835,936.2297734019793,0.0009547556401230395,False,False,direct_expectation
7,"[200,300)","[3,3.25)",1555252,1555252,0,157016,0.10095855848441282,43.476392586300896,0.485237717628479,0.4146050214767456,0.5468682050704956,0.34611910581588745,0.702869176864624,247.00232975897762,0.0004878288018517196,False,False,direct_expectation
8,"[300,500)","[3,3.25)",1191475,1191475,0,128869,0.10815921441910237,43.476392586300896,0.18494626879692078,0.31742754578590393,0.39609426259994507,0.25069257616996765,0.6196183562278748,143.8767002809198,0.0004661589628085494,False,False,direct_expectation
9,"[300,500)","[3.25,3.5)",782322,782322,0,77057,0.09849780525154604,43.476392586300896,0.2309708297252655,0.20849937200546265,0.4156150817871094,0.2630475163459778,0.7103378176689148,76.24774934735399,0.0003896742418874055,False,False,direct_expectation
10,"[500,800)","[3.25,3.5)",477133,477133,0,51406,0.10773935150157293,43.476392586300896,0.06520384550094604,0.12734784185886383,0.3107539117336273,0.19667969644069672,0.590565025806427,33.82950568030833,0.0002888493472710252,False,False,direct_expectation
11,"[500,800)","[3.5,3.75)",280350,280350,0,27400,0.09773497413946852,43.476392586300896,0.07874827086925507,0.07647205889225006,0.32525408267974854,0.2058570235967636,0.7030451893806458,14.289016889365485,0.00023092448827810585,False,False,direct_expectation
12,"[500,800)","[3.75,4.0)",90323,90323,0,7777,0.08610210024024889,43.476392586300896,0.016153816133737564,0.02395298331975937,0.5331345796585083,0.33742696046829224,0.7524763941764832,15.748934163969352,0.0007827404187992215,False,False,direct_expectation
13,"[800,1100)","[3.5,3.75)",122657,122657,0,13199,0.10760902353718092,43.476392586300896,0.019270069897174835,0.03242870047688484,0.2622322738170624,0.16596980392932892,0.6843349933624268,6.735797891104994,0.0002414031623629853,False,False,direct_expectation
14,"[800,1100)","[3.75,4.0)",74431,74431,0,7432,0.09985086858970053,43.476392586300896,0.021486051380634308,0.019691605120897293,0.29693174362182617,0.18793147802352905,0.7769456505775452,3.6786995726270106,0.00028620398370549083,False,False,direct_expectation
15,"[800,1100)","[4.0,4.25)",23556,23556,0,2130,0.09042282221090168,43.476392586300896,0.004996314644813538,0.007148833479732275,0.5141045451164246,0.32538262009620667,0.8465465307235718,3.3266418908351625,0.0006571619305759668,False,False,direct_expectation
16,"[1100,2000)","[3.75,4.0)",51102,51102,0,5561,0.10882157254119212,43.476392586300896,0.00733273895457387,0.013480206951498985,0.2172287553548813,0.1374865472316742,0.7136972546577454,2.101219868311091,0.00035779803874902427,False,False,direct_expectation
17,"[1100,2000)","[4.0,4.25)",46341,46341,0,4787,0.10329945404717206,43.476392586300896,0.01076916977763176,0.012214206159114838,0.23240472376346588,0.1470915973186493,0.7426062822341919,1.6920705970551353,0.0002908867609221488,False,False,direct_expectation
18,"[1100,2000)","[4.25,4.5)",25304,25304,0,2397,0.0947281062282643,43.476392586300896,0.0061057088896632195,0.006657980848103762,0.29243433475494385,0.1850850135087967,0.8714531660079956,1.2217743314067775,0.0004395519499666989,False,False,direct_expectation
