cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
1,"[30,60)","[2,3)",18102668,4973803,13128865,610023,0.2251559884621134,43.47639258630079,0.0,4.819204352211818,1.354568362236023,0.8573217391967773,0.24797916412353516,132380.59375,,,0.0,576,8056,1900226.0,2709335,1580460,crab_roi_local,dec_sideband,False,False,direct_expectation
2,"[60,100)","[2,3)",23097824,7618076,15479748,734847,0.1480380869496898,43.47639258630079,0.0,6.148990521586242,1.0863629579544067,0.6875714659690857,0.487374871969223,169831.0955169455,,,0.0,376,8880,3887899.0,4963905,2132611,crab_roi_local,dec_sideband,False,False,direct_expectation
3,"[60,100)","[3,3.25)",1221585,316954,904631,42749,0.2230169288155046,43.47639258630079,0.0,0.3252044255905634,1.3247969150543213,0.8384790420532227,0.3588121235370636,9388.568701124144,,,0.0,548,8176,135998.0,191685,92955,crab_roi_local,dec_sideband,False,False,direct_expectation
4,"[100,200)","[2,3)",23642432,8726563,14915869,740144,0.1200239676906449,43.47639258630079,0.0,6.293973418242656,0.7923517823219299,0.501488447189331,0.6310978531837463,116452.02347083927,,,0.0,208,9100,4974938.0,6166635,2321498,crab_roi_local,dec_sideband,False,False,direct_expectation
5,"[100,200)","[3,3.25)",2951242,936513,2014729,78403,0.12009362042371206,43.47639258630079,0.0,0.7856653113690374,0.8389869928359985,0.5310044288635254,0.6328651309013367,12745.121621621623,,,0.0,216,9100,527593.0,652849,251409,crab_roi_local,dec_sideband,False,False,direct_expectation
6,"[200,300)","[2,3)",3511356,1381469,2129887,118888,0.11789438611383261,43.47639258630079,0.0,0.9347761400344458,0.5577100515365601,0.3529810607433319,0.6482003927230835,8710.000711237552,,,0.0,96,9100,810520.0,1008428,360777,crab_roi_local,dec_sideband,False,False,direct_expectation
7,"[200,300)","[3,3.25)",1555252,548846,1006406,46337,0.11711288198735786,43.47639258630079,0.0,0.4140316337451548,0.5468682050704956,0.34611910581588745,0.702869176864624,3068.2773826458033,,,0.0,88,9100,318899.0,395661,146945,crab_roi_local,dec_sideband,False,False,direct_expectation
8,"[300,500)","[3,3.25)",1191475,461238,730237,40922,0.12107494622606062,43.47639258630079,0.0,0.31718868763165603,0.39609426259994507,0.25069257616996765,0.6196183562278748,1556.2972972972973,,,0.0,52,9100,269950.0,337989,120918,crab_roi_local,dec_sideband,False,False,direct_expectation
9,"[300,500)","[3.25,3.5)",782322,272242,510080,22991,0.11641366319989468,43.47639258630079,0.0,0.20826596318460094,0.4156150817871094,0.2630475163459778,0.7103378176689148,906.8648648648648,,,0.0,52,9100,158557.0,197494,72925,crab_roi_local,dec_sideband,False,False,direct_expectation
10,"[500,800)","[3.25,3.5)",477133,186586,290547,16640,0.1214704937658773,43.47639258630079,0.0,0.1270200298753687,0.3107539117336273,0.19667969644069672,0.590565025806427,383.6216216216216,,,0.0,32,9100,109261.0,136988,49035,crab_roi_local,dec_sideband,False,False,direct_expectation
11,"[500,800)","[3.5,3.75)",280350,97387,182963,8501,0.12015547703180213,43.47639258630079,0.0,0.07463341536963408,0.32525408267974854,0.2058570235967636,0.7030451893806458,192.67567567567568,,,0.0,32,9100,56424.0,70750,26244,crab_roi_local,dec_sideband,False,False,direct_expectation
12,"[500,800)","[3.75,4.0)",90323,26650,63673,2235,0.11623673809028501,43.47639258630079,0.0,0.02404535037072038,0.5331345796585083,0.33742696046829224,0.7524763941764832,148.86913229018495,,,0.0,88,9100,15460.0,19228,7253,crab_roi_local,dec_sideband,False,False,direct_expectation
13,"[800,1100)","[3.5,3.75)",122657,47830,74827,4310,0.12249886311959982,43.47639258630079,0.0,0.032653150807894445,0.2622322738170624,0.16596980392932892,0.6843349933624268,73.21621621621621,,,0.0,24,9100,27954.0,35184,12498,crab_roi_local,dec_sideband,False,False,direct_expectation
14,"[800,1100)","[3.75,4.0)",74431,26734,47697,2289,0.11704249117962878,43.47639258630079,0.0,0.01981465931648737,0.29693174362182617,0.18793147802352905,0.7769456505775452,56.270270270270274,,,0.0,32,9100,15650.0,19557,7095,crab_roi_local,dec_sideband,False,False,direct_expectation
15,"[800,1100)","[4.0,4.25)",23556,7545,16011,679,0.12218823105992442,43.47639258630079,0.0,0.00627096391099376,0.5141045451164246,0.32538262009620667,0.8465465307235718,38.04409672830726,,,0.0,80,9100,4417.0,5557,1960,crab_roi_local,dec_sideband,False,False,direct_expectation
16,"[1100,2000)","[3.75,4.0)",51102,20073,31029,1810,0.12282844733984799,43.47639258630079,0.0,0.013604126242978565,0.2172287553548813,0.1374865472316742,0.7136972546577454,19.56756756756757,,,0.0,16,9100,11766.0,14736,5280,crab_roi_local,dec_sideband,False,False,direct_expectation
17,"[1100,2000)","[4.0,4.25)",46341,17290,29051,1523,0.12013883410901632,43.47639258630079,0.0,0.012336675946653159,0.23240472376346588,0.1470915973186493,0.7426062822341919,16.864864864864867,,,0.0,16,9100,10103.0,12677,4563,crab_roi_local,dec_sideband,False,False,direct_expectation
18,"[1100,2000)","[4.25,4.5)",25304,9040,16264,722,0.10862043026929442,43.47639258630079,0.0,0.006736307981142218,0.29243433475494385,0.1850850135087967,0.8714531660079956,19.43243243243243,,,0.0,32,9100,5354.0,6647,2367,crab_roi_local,dec_sideband,False,False,direct_expectation
