cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
1,"[30,60)","[2,3)",65843,41418,24425,4935,0.2230810957417955,43.47639258630079,0.0,0.017528403667497118,1.354568362236023,0.8573217391967773,0.24797916412353516,1077.3333333333335,,,0.0,148,2024,15476.0,22122,13619,crab_roi_local,dec_sideband,False,False,direct_expectation
2,"[60,100)","[2,3)",55598,44333,11265,4314,0.15036074030183683,43.47639258630079,0.0,0.014801029526381008,1.0863629579544067,0.6875714659690857,0.487374871969223,907.1783625730994,,,0.0,88,2224,22431.0,28691,12700,crab_roi_local,dec_sideband,False,False,direct_expectation
3,"[60,100)","[3,3.25)",2176,1418,758,208,0.25334957369062117,43.47639258630079,0.0,0.0005792841513976236,1.3247969150543213,0.8384790420532227,0.3588121235370636,40.625,,,0.0,140,2052,544.0,821,400,crab_roi_local,dec_sideband,False,False,direct_expectation
4,"[100,200)","[2,3)",49040,43690,5350,3706,0.11999352436457827,43.47639258630079,0.0,0.013055190617894973,0.7923517823219299,0.501488447189331,0.6310978531837463,580.9842105263158,,,0.0,52,2284,24988.0,30885,11701,crab_roi_local,dec_sideband,False,False,direct_expectation
5,"[100,200)","[3,3.25)",3140,2270,870,181,0.11853307138179436,43.47639258630079,0.0,0.0008359155493513501,0.8389869928359985,0.5310044288635254,0.6328651309013367,25.826315789473682,,,0.0,52,2284,1246.0,1527,635,crab_roi_local,dec_sideband,False,False,direct_expectation
6,"[200,300)","[2,3)",8194,7649,545,647,0.11526812756101906,43.47639258630079,0.0,0.0021813668826066762,0.5577100515365601,0.3529810607433319,0.6482003927230835,49.78947368421052,,,0.0,24,2284,4588.0,5613,1978,crab_roi_local,dec_sideband,False,False,direct_expectation
7,"[200,300)","[3,3.25)",1972,1641,331,146,0.12717770034843207,43.47639258630079,0.0,0.0005249762622040963,0.5468682050704956,0.34611910581588745,0.702869176864624,10.368421052631579,,,0.0,24,2284,912.0,1148,463,crab_roi_local,dec_sideband,False,False,direct_expectation
8,"[300,500)","[3,3.25)",2339,2129,210,164,0.10697977821265492,43.47639258630079,0.0,0.0006226772197238242,0.39609426259994507,0.25069257616996765,0.6196183562278748,8.368421052631579,,,0.0,12,2284,1259.0,1533,589,crab_roi_local,dec_sideband,False,False,direct_expectation
9,"[300,500)","[3.25,3.5)",861,673,188,45,0.09394572025052192,43.47639258630079,0.0,0.0002292112382138575,0.4156150817871094,0.2630475163459778,0.7103378176689148,1.631578947368421,,,0.0,12,2284,399.0,479,194,crab_roi_local,dec_sideband,False,False,direct_expectation
10,"[500,800)","[3.25,3.5)",948,879,69,81,0.12597200622083982,43.47639258630079,0.0,0.0002523719556640382,0.3107539117336273,0.19667969644069672,0.590565025806427,1.1052631578947367,,,0.0,4,2284,513.0,643,235,crab_roi_local,dec_sideband,False,False,direct_expectation
11,"[500,800)","[3.5,3.75)",267,190,77,15,0.11194029850746269,43.47639258630079,0.0,7.107944320917532e-05,0.32525408267974854,0.2058570235967636,0.7030451893806458,0.3684210526315789,,,0.0,12,2284,110.0,134,53,crab_roi_local,dec_sideband,False,False,direct_expectation
12,"[500,800)","[3.75,4.0)",36,23,13,2,0.125,43.47639258630079,0.0,9.583745151798918e-06,0.5331345796585083,0.33742696046829224,0.7524763941764832,0.21052631578947367,,,0.0,24,2284,13.0,16,7,crab_roi_local,dec_sideband,False,False,direct_expectation
13,"[800,1100)","[3.5,3.75)",228,215,13,23,0.1402439024390244,43.47639258630079,0.0,6.069705262805982e-05,0.2622322738170624,0.16596980392932892,0.6843349933624268,0.10526315789473684,,,0.0,4,2284,126.0,164,51,crab_roi_local,dec_sideband,False,False,direct_expectation
14,"[800,1100)","[3.75,4.0)",103,82,21,9,0.13636363636363635,43.47639258630079,0.0,2.742015973986913e-05,0.29693174362182617,0.18793147802352905,0.7769456505775452,0.05263157894736842,,,0.0,4,2284,52.0,66,15,crab_roi_local,dec_sideband,False,False,direct_expectation
15,"[800,1100)","[4.0,4.25)",12,9,3,1,0.16666666666666666,43.47639258630079,0.0,3.1945817172663062e-06,0.5141045451164246,0.32538262009620667,0.8465465307235718,0.05263157894736842,,,0.0,24,2284,4.0,6,3,crab_roi_local,dec_sideband,False,False,direct_expectation
16,"[1100,2000)","[3.75,4.0)",116,105,11,12,0.15789473684210525,43.47639258630079,0.0,3.0880956600240965e-05,0.2172287553548813,0.1374865472316742,0.7136972546577454,0.05263157894736842,,,0.0,4,2284,61.0,76,28,crab_roi_local,dec_sideband,False,False,direct_expectation
17,"[1100,2000)","[4.0,4.25)",76,68,8,8,0.1951219512195122,43.47639258630079,0.0,2.023235087601994e-05,0.23240472376346588,0.1470915973186493,0.7426062822341919,0.0,,,0.0,4,2284,31.0,41,26,crab_roi_local,dec_sideband,False,False,direct_expectation
18,"[1100,2000)","[4.25,4.5)",29,25,4,1,0.05555555555555555,43.47639258630079,0.0,7.720239150060241e-06,0.29243433475494385,0.1850850135087967,0.8714531660079956,0.05263157894736842,,,0.0,4,2284,17.0,18,7,crab_roi_local,dec_sideband,False,False,direct_expectation
