cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form
1,"[30,60)","[2,3)",18102668,4973803,13128865,610023,0.2251559884621134,43.47639258630079,0.0,4.819204352211818,1.354568362236023,0.8573217391967773,0.24797916412353516,132380.59375,,,0.0,576,8056,1900226.0,2709335,1580460,crab_roi_local,dec_sideband,False,False,direct_expectation
2,"[60,100)","[2,3)",23097824,7618076,15479748,734847,0.1480380869496898,43.47639258630079,0.0,6.148990521586242,1.0863629579544067,0.6875714659690857,0.487374871969223,169831.0955169455,,,0.0,376,8880,3887899.0,4963905,2132611,crab_roi_local,dec_sideband,False,False,direct_expectation
3,"[60,100)","[3,3.25)",1221585,316954,904631,42749,0.2230169288155046,43.47639258630079,0.0,0.3252044255905634,1.3247969150543213,0.8384790420532227,0.3588121235370636,9388.568701124144,,,0.0,548,8176,135998.0,191685,92955,crab_roi_local,dec_sideband,False,False,direct_expectation
4,"[60,100)","[3.25,3.5)",628353,153212,475141,26050,0.2894959103840683,43.47639258630079,0.0,0.1672770838157863,1.5100826025009155,0.9557484984397888,0.29800868034362793,5650.992866265281,,,0.0,716,7512,57907.0,89984,45451,crab_roi_local,dec_sideband,False,False,direct_expectation
5,"[60,100)","[3.5,3.75)",324690,73692,250998,14660,0.3530488392255081,43.47639258630079,0.0,0.08643739481493308,1.670278787612915,1.057138442993164,0.25336918234825134,3094.2739743589736,,,0.0,880,6860,24038.0,41524,22452,crab_roi_local,dec_sideband,False,False,direct_expectation
6,"[60,100)","[3.75,4.0)",169774,35599,134175,7782,0.40994574092609176,43.47639258630079,0.0,0.04519640970559749,1.8247636556625366,1.1549136638641357,0.1803823560476303,1632.286184829663,,,0.0,1044,6204,9870.0,18983,11352,crab_roi_local,dec_sideband,False,False,direct_expectation
7,"[100,200)","[2,3)",23642432,8726563,14915869,740144,0.1200239676906449,43.47639258630079,0.0,6.293973418242656,0.7923517823219299,0.501488447189331,0.6310978531837463,116452.02347083927,,,0.0,208,9100,4974938.0,6166635,2321498,crab_roi_local,dec_sideband,False,False,direct_expectation
8,"[100,200)","[3,3.25)",2951242,936513,2014729,78403,0.12009362042371206,43.47639258630079,0.0,0.7856653113690374,0.8389869928359985,0.5310044288635254,0.6328651309013367,12745.121621621623,,,0.0,216,9100,527593.0,652849,251409,crab_roi_local,dec_sideband,False,False,direct_expectation
9,"[100,200)","[3.25,3.5)",1394005,415171,978834,43200,0.1521233889710543,43.47639258630079,0.0,0.37110524056481814,1.1128045320510864,0.7043066620826721,0.5655199289321899,10028.910896610896,,,0.0,392,8804,221298.0,283980,111929,crab_roi_local,dec_sideband,False,False,direct_expectation
10,"[100,200)","[3.5,3.75)",672737,192510,480227,30342,0.23831478412491458,43.47639258630079,0.0,0.17909277672738194,1.3699218034744263,0.8670390844345093,0.5326126217842102,6730.6208333333325,,,0.0,592,8016,88580.0,127319,52889,crab_roi_local,dec_sideband,False,False,direct_expectation
11,"[100,200)","[3.75,4.0)",309043,82449,226594,17312,0.3322968252140197,43.47639258630079,0.0,0.08227192647076093,1.5923786163330078,1.007834553718567,0.470247358083725,3513.4697720797717,,,0.0,804,7176,31454.0,52098,23124,crab_roi_local,dec_sideband,False,False,direct_expectation
12,"[100,200)","[4.0,4.25)",133239,32082,101157,8163,0.4238978033961676,43.47639258630079,0.0,0.035470239452237116,1.8035391569137573,1.141480565071106,0.3838907778263092,1604.9138904573692,,,0.0,1020,6276,9854.0,19257,9239,crab_roi_local,dec_sideband,False,False,direct_expectation
13,"[100,200)","[4.25,4.5)",55775,12068,43707,3356,0.4956431841677743,43.47639258630079,0.0,0.014848149606710687,1.9834980964660645,1.2553786039352417,0.28803837299346924,654.1687306501548,,,0.0,1240,5396,2942.0,6771,3685,crab_roi_local,dec_sideband,False,False,direct_expectation
