cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
1,"[125,200)","[2,2.5)",3939808,1558143,2381665,82113,0.07357406732081369,43.47639258630079,0.0,1.0488365505282944,0.7816073894500732,0.4946882128715515,0.5589009523391724,19968.864147618202,,,0.0,192,3760,384902.0,1116059,409773,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3775.3677718197023,3754,23.48478824589098,1.009034297892131
2,"[125,200)","[2.5,3)",9200327,3379918,5820409,164432,0.06806580069377179,43.47639258630079,0.0,2.4492663689226304,0.7211480140686035,0.4564227759838104,0.6565228700637817,36471.56728338443,,,0.0,164,3760,828325.0,2415780,895221,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3718.309566341707,3754,23.391366783971204,0.9962079689932187
3,"[125,200)","[3,3.25)",2149690,698726,1450964,36941,0.07500832500832501,43.47639258630079,0.0,0.5722800309825172,0.7878195643424988,0.49862000346183777,0.6549341678619385,8608.263008837717,,,0.0,192,3760,170611.0,492492,186901,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3811.92525835566,3754,23.35637453424609,1.0198135445104484
4,"[125,200)","[3.25,3.5)",1021240,310849,710391,29421,0.13664483767590915,43.47639258630079,0.0,0.2718695527450869,1.0632951259613037,0.6729716062545776,0.5925980806350708,7164.275581530781,,,0.0,360,4400,87661.0,215310,83383,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,4646.731657124918,4394,34.44729766773486,1.050980379972292
5,"[125,200)","[3.5,3.75)",496152,145873,350279,22259,0.2277764702270704,43.47639258630079,0.0,0.1320831756820927,1.339789867401123,0.8479682803153992,0.571363091468811,5085.154746523416,,,0.0,556,5032,44605.0,97723,39840,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,5985.321623967464,5026,48.787426199302615,1.1493684823223158
6,"[125,200)","[3.75,4.0)",226753,62631,164122,12788,0.31791964996022276,43.47639258630079,0.0,0.06036508234460723,1.5549670457839966,0.9841563105583191,0.5086243748664856,2426.282236218536,,,0.0,756,5648,19146.0,40224,17345,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,6272.250190216909,5642,68.16202417194339,1.3792923417995513
7,"[125,200)","[4.0,4.25)",95276,23882,71394,6130,0.41980550609505546,43.47639258630079,0.0,0.02536391397452205,1.7794854640960693,1.1262567043304443,0.42438438534736633,1065.5017717471724,,,0.0,1004,6280,7138.0,14602,6780,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,3619.932122008343,6274,88.0691653897333,1.1183909477265188
8,"[125,200)","[4.25,4.5)",37999,8573,29426,2403,0.4933278587559023,43.47639258630079,0.0,0.010115909222866865,1.9745076894760132,1.2496883869171143,0.32057854533195496,488.0169542182233,,,0.0,1224,4928,1784.0,4871,2609,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,1307.7446035569403,4922,127.36291718135055,0.5999661187616523
9,"[125,200)","[4.5,4.75)",15749,3274,12475,839,0.49851455733808675,43.47639258630079,0.0,0.004192622288768922,2.0433428287506104,1.2932549715042114,0.255362868309021,235.67978766344356,,,0.0,1304,4928,670.0,1683,1093,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,589.3089733497459,4922,127.26230159426281,0.36951337941126233
10,"[125,200)","[4.75,5.0)",7028,1310,5718,373,0.5567164179104478,43.47639258630079,0.0,0.0018709600257456333,2.217029094696045,1.4031829833984375,0.1933191567659378,160.8739489451114,,,0.0,1544,4928,279.0,670,418,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,263.1856163529542,4922,127.17468455706795,0.23599507184222163
