cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
1,"[125,200)","[2,2.5)",1993738,775980,1217758,40803,0.0733732300908826,43.47639258630079,0.0,0.5307632469849243,0.7816073894500732,0.4946882128715515,0.5589009523391724,9813.896539495072,,,0.0,192,3760,192015.0,556102,204101,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3842.976538644477,3754,23.460917684096348,1.0167117214753565
2,"[125,200)","[2.5,3)",4681507,1696199,2985308,82591,0.0681280881637232,43.47639258630079,0.0,1.2462880559545195,0.7211480140686035,0.4564227759838104,0.6565228700637817,18208.521364582615,,,0.0,164,3760,415520.0,1212290,449550,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3870.001099640482,3754,23.400253797103137,1.0127469151275068
3,"[125,200)","[3,3.25)",1095106,351130,743976,18527,0.07481394437916176,43.47639258630079,0.0,0.29153380050571964,0.7878195643424988,0.49862000346183777,0.6549341678619385,4213.7732932433,,,0.0,192,3760,85713.0,247641,93936,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3870.5996945105107,3754,23.316312856862517,1.0394801906538131
4,"[125,200)","[3.25,3.5)",520747,156707,364040,14905,0.13722529622434793,43.47639258630079,0.0,0.1386307371267731,1.0632951259613037,0.6729716062545776,0.5925980806350708,3434.6283238330425,,,0.0,360,4400,44224.0,108617,41959,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,5038.797529949462,4394,34.56519880678077,1.1322969988337392
5,"[125,200)","[3.5,3.75)",252819,73642,179177,11125,0.22493378353787985,43.47639258630079,0.0,0.06730424626479586,1.339789867401123,0.8479682803153992,0.571363091468811,2279.5062377845625,,,0.0,556,5032,22678.0,49459,20056,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,6070.578718193228,5026,49.324433952388844,1.3237974004586783
6,"[125,200)","[3.75,4.0)",115823,31613,84210,6444,0.31711037842625855,43.47639258630079,0.0,0.030833836519911284,1.5549670457839966,0.9841563105583191,0.5086243748664856,1154.0135849719536,,,0.0,756,5648,9683.0,20321,8749,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,4227.158708185607,5642,67.06396502707436,1.2985783489383904
7,"[125,200)","[4.0,4.25)",48786,11968,36818,3060,0.41587387877140525,43.47639258630079,0.0,0.012987571971546168,1.7794854640960693,1.1262567043304443,0.42438438534736633,602.9020488854994,,,0.0,1004,6280,3643.0,7358,3364,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,2348.6829230748353,6274,87.25480895475552,0.7756946563020518
8,"[125,200)","[4.25,4.5)",19596,4347,15249,1198,0.48957907642010623,43.47639258630079,0.0,0.005216751944295878,1.9745076894760132,1.2496883869171143,0.32057854533195496,278.79964181430444,,,0.0,1224,4928,906.0,2447,1364,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,760.0300642535267,4922,127.21946893355943,0.42423459669200153
9,"[125,200)","[4.5,4.75)",8063,1679,6384,443,0.5068649885583524,43.47639258630079,0.0,0.002146492698859852,2.0433428287506104,1.2932549715042114,0.255362868309021,100.49261602867153,,,0.0,1304,4928,332.0,874,543,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,310.82933617562793,4922,127.23468073229806,0.2600171966798118
10,"[125,200)","[4.75,5.0)",3523,625,2898,166,0.5253164556962026,43.47639258630079,0.0,0.0009378759491607665,2.217029094696045,1.4031829833984375,0.1933191567659378,85.64401766269614,,,0.0,1544,4928,140.0,316,204,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,135.689202045476,4922,127.17007569757713,0.16713314182892147
11,"[125,200)","[5,6)",2979,493,2486,138,0.6052631578947368,43.47639258630079,0.0,0.0007930549113113605,2.265471935272217,1.4338430166244507,0.11356125771999359,41.01603851908361,,,0.0,1624,4928,91.0,228,165,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,89.06216645037358,4922,127.17686181055885,0.13443466770276105
12,"[125,200)",>=6,36,1,35,0,0.0,43.47639258630079,0.0,9.583745151798918e-06,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,1,0,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
13,"[200,300)","[2,2.5)",100825,40896,59929,2058,0.06835846675081379,43.47639258630079,0.0,0.02684114180361461,0.6385640501976013,0.4041544497013092,0.5630002617835999,245.5098366126983,,,0.0,124,3760,10230.0,30106,10435,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3641.1563619195176,3754,23.629470043819325,1.3546582134853848
14,"[200,300)","[2.5,3)",1682867,650507,1032360,32516,0.06854073743054442,43.47639258630079,0.0,0.4480046792325664,0.5542443990707397,0.35078760981559753,0.64971524477005,3988.549251107438,,,0.0,96,3760,159728.0,474404,170360,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3817.289799342488,3754,23.33458841036677,1.0248296272217863
15,"[200,300)","[3,3.25)",793385,276280,517105,13569,0.0680160603918856,43.47639258630079,0.0,0.21121110131277737,0.5468682050704956,0.34611910581588745,0.702869176864624,1479.8531843000048,,,0.0,88,3760,67261.0,199497,73698,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4031.8584538796977,3754,23.326206512246788,1.0447707429397413
16,"[200,300)","[3.25,3.5)",372940,116902,256038,5598,0.06696572761528799,43.47639258630079,0.0,0.0992822754697747,0.72874516248703,0.4612311124801636,0.6853578090667725,1053.2660228696864,,,0.0,164,3760,28419.0,83595,31302,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4770.191263600353,3754,23.48423304982879,1.2122164698067455
