cell_id,nhit_bin,predE_bin,selected_events,grid_events,out_of_grid_events,source_masked_events,source_masked_fraction,live_time_days,median_rate_hz,mean_rate_hz,r_opt_deg,sigma_deg,containment_r_opt,B_on,N_off,alpha,max_p_on,on_pixels,off_pixels,off_counts,fiducial_events,edge_diagnostic_events,background_mode,background_method,r_opt_large_warning,r_opt_extreme_warning,background_form,annulus_inner_deg,annulus_outer_deg,surface_fit_chi2,surface_fit_ndof,surface_condition_number,annulus_residual_rms
1,"[125,200)","[2,2.5)",1946070,782163,1163907,41310,0.07377352189543125,43.47639258630079,0.0,0.5180733035433701,0.7816073894500732,0.4946882128715515,0.5589009523391724,9971.543382249602,,,0.0,192,3760,192887.0,559957,205672,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3915.322092631686,3754,23.52365198867658,1.0341559235406161
2,"[125,200)","[2.5,3)",4518820,1683719,2835101,81841,0.06800305777364166,43.47639258630079,0.0,1.2029783129681109,0.7211480140686035,0.4564227759838104,0.6565228700637817,18072.26712906482,,,0.0,164,3760,412805.0,1203490,445671,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3794.5671768712737,3754,23.377423039128566,1.0085577503747496
3,"[125,200)","[3,3.25)",1054584,347596,706988,18414,0.07520492054351421,43.47639258630079,0.0,0.28074623047679753,0.7878195643424988,0.49862000346183777,0.6549341678619385,4213.596317503437,,,0.0,192,3760,84898.0,244851,92965,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3779.4498258131584,3754,23.422360305945304,1.0272916960032221
4,"[125,200)","[3.25,3.5)",500493,154142,346351,14516,0.1360539116905514,43.47639258630079,0.0,0.1332388156183138,1.0632951259613037,0.6729716062545776,0.5925980806350708,3371.5059302977425,,,0.0,360,4400,43437.0,106693,41424,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,4947.080937091332,4394,34.575459018719414,1.124534795655021
5,"[125,200)","[3.5,3.75)",243333,72231,171102,11134,0.230689540858611,43.47639258630079,0.0,0.06477892941729685,1.339789867401123,0.8479682803153992,0.571363091468811,2042.4485434660082,,,0.0,556,5032,21927.0,48264,19784,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,6270.15478397589,5026,48.581271843525094,1.3627274672015117
6,"[125,200)","[3.75,4.0)",110930,31018,79912,6344,0.3187459177008491,43.47639258630079,0.0,0.029531245824695948,1.5549670457839966,0.9841563105583191,0.5086243748664856,1110.3982089945994,,,0.0,756,5648,9463.0,19903,8596,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,4103.197627143121,5642,66.49963612878851,1.2963764546635546
7,"[125,200)","[4.0,4.25)",46490,11914,34576,3070,0.4237990060739923,43.47639258630079,0.0,0.012376342002975882,1.7794854640960693,1.1262567043304443,0.42438438534736633,602.6825473280883,,,0.0,1004,6280,3495.0,7244,3416,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,2269.4465091210927,6274,87.46946389923836,0.7552245468235614
8,"[125,200)","[4.25,4.5)",18403,4226,14177,1205,0.4971122112211221,43.47639258630079,0.0,0.004899157278570986,1.9745076894760132,1.2496883869171143,0.32057854533195496,254.34052069184258,,,0.0,1224,4928,878.0,2424,1245,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,742.430731330933,4922,127.27925100981905,0.4195207919329047
9,"[125,200)","[4.5,4.75)",7686,1595,6091,396,0.4894932014833127,43.47639258630079,0.0,0.0020461295899090693,2.0433428287506104,1.2932549715042114,0.255362868309021,145.8202758628104,,,0.0,1304,4928,338.0,809,550,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,315.4773354284057,4922,127.16863404108038,0.26108240638011115
10,"[125,200)","[4.75,5.0)",3505,685,2820,207,0.5847457627118644,43.47639258630079,0.0,0.000933084076584867,2.217029094696045,1.4031829833984375,0.1933191567659378,78.58719484466684,,,0.0,1544,4928,139.0,354,214,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,135.08406493195702,4922,127.17073103372493,0.16909206032529944
11,"[125,200)","[5,6)",2758,454,2304,122,0.5754716981132075,43.47639258630079,0.0,0.0007342213646850394,2.265471935272217,1.4338430166244507,0.11356125771999359,54.94624145172392,,,0.0,1624,4928,91.0,212,154,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,89.18496900969409,4922,127.16140775889264,0.13891587948270867
12,"[125,200)",>=6,24,3,21,1,1.0,43.47639258630079,0.0,6.3891634345326125e-06,1.5800000429153442,1.0,0.7129790186882019,0.0,,,0.0,788,5648,0.0,1,1,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,0.0,5642,65.46315528356043,0.0
13,"[200,300)","[2,2.5)",99219,41635,57584,2018,0.06610974610974611,43.47639258630079,0.0,0.02641360028378714,0.6385640501976013,0.4041544497013092,0.5630002617835999,247.09873747677923,,,0.0,124,3760,10431.0,30525,10733,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3700.417286233983,3754,23.568295303412377,1.3512824292854995
14,"[200,300)","[2.5,3)",1628445,648431,980014,32364,0.06836602991594722,43.47639258630079,0.0,0.4335167187144775,0.5542443990707397,0.35078760981559753,0.64971524477005,3976.592979315135,,,0.0,96,3760,159681.0,473393,169249,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3999.748299756946,3754,23.309667611799334,1.0460710999670522
15,"[200,300)","[3,3.25)",761867,272566,489301,13385,0.0682337228033686,43.47639258630079,0.0,0.2028205324323774,0.5468682050704956,0.34611910581588745,0.702869176864624,1467.8364665728677,,,0.0,88,3760,66151.0,196164,73247,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,3908.9494234946064,3754,23.29326583971126,1.0501739956387774
16,"[200,300)","[3.25,3.5)",359571,115573,243998,5540,0.06694459549271947,43.47639258630079,0.0,0.09572324522159692,0.72874516248703,0.4612311124801636,0.6853578090667725,1081.0378217656325,,,0.0,164,3760,27949.0,82755,30826,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.0,4.0,4621.021655474989,3754,23.61290255395825,1.1983535018654852
17,"[200,300)","[3.5,3.75)",171023,52578,118445,4792,0.1292689506339358,43.47639258630079,0.0,0.04552891241933629,1.0330716371536255,0.6538428068161011,0.6527048945426941,831.506577808208,,,0.0,332,4400,14989.0,37070,13937,crab_roi_local,annulus_quadratic,False,False,direct_expectation,2.5,4.5,4869.0966208879745,4394,34.459566586476036,1.3615510089658451
18,"[200,300)","[3.75,4.0)",81239,24424,56815,3550,0.21480002420281963,43.47639258630079,0.0,0.021627052010749787,1.3009943962097168,0.8234142065048218,0.6388174891471863,655.2797929194747,,,0.0,540,5032,7555.0,16527,6655,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.0,5.0,3399.815739624369,5026,48.424380184300915,1.2540671150969092
19,"[200,300)","[4.0,4.25)",33921,9856,24065,1937,0.3083412925819803,43.47639258630079,0.0,0.009030283869282531,1.526131510734558,0.965906023979187,0.5858429074287415,379.44236668855285,,,0.0,732,5648,2964.0,6282,2768,crab_roi_local,annulus_quadratic,False,False,direct_expectation,3.5,5.5,1971.7592517751161,5642,65.65169552987804,0.7320898524692669
20,"[200,300)","[4.25,4.5)",12920,3439,9481,863,0.40497419052088224,43.47639258630079,0.0,0.00343949964892339,1.7472426891326904,1.1058497428894043,0.5253807306289673,203.0893770279156,,,0.0,952,6280,1047.0,2131,938,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.0,6.0,891.384570720905,6274,87.11732074768452,0.40178432317029467
21,"[200,300)","[4.5,4.75)",4609,1153,3456,313,0.4602941176470588,43.47639258630079,0.0,0.0012269855945733672,1.9039727449417114,1.2050460577011108,0.44638746976852417,113.83750847487542,,,0.0,1148,4928,259.0,680,340,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,245.18591195823325,4922,127.17799640737871,0.22811602109886467
22,"[200,300)","[4.75,5.0)",1644,350,1294,108,0.5966850828729282,43.47639258630079,0.0,0.00043765769526548395,2.1119091510772705,1.3366514444351196,0.35407647490501404,22.758579610252184,,,0.0,1396,4928,56.0,181,114,crab_roi_local,annulus_quadratic,False,False,direct_expectation,4.5,6.5,55.313164654942234,4922,127.1787424412686,0.10780943680726363
