cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
1,"[30,60)","[2,3)",1.354568362236023,0.8573217391967773,0.24797916412353516,1289,132380.59375,nan,nan,-131091.59375,35.90264614203248,365.60852526985747,-500.24231142717616,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
2,"[60,100)","[2,3)",1.0863629579544067,0.6875714659690857,0.487374871969223,1153,169831.0955169455,nan,nan,-168678.0955169455,33.95585369269929,413.50223157432356,-570.8271463193018,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
3,"[60,100)","[3,3.25)",1.3247969150543213,0.8384790420532227,0.3588121235370636,63,9388.568701124144,nan,nan,-9325.568701124144,7.937253933193772,97.21917866925304,-134.24089955400123,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
4,"[100,200)","[2,3)",0.7923517823219299,0.501488447189331,0.6310978531837463,633,116452.02347083927,nan,nan,-115819.02347083927,25.15949125081825,342.17688915360617,-474.37975866109116,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
5,"[100,200)","[3,3.25)",0.8389869928359985,0.5310044288635254,0.6328651309013367,41,12745.121621621623,nan,nan,-12704.121621621623,6.4031242374328485,113.07573400876787,-157.91649070390804,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
6,"[200,300)","[2,3)",0.5577100515365601,0.3529810607433319,0.6482003927230835,77,8710.000711237552,nan,nan,-8633.000711237552,8.774964387392123,93.73900314830296,-128.59947307865974,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
7,"[200,300)","[3,3.25)",0.5468682050704956,0.34611910581588745,0.702869176864624,18,3068.2773826458033,nan,nan,-3050.2773826458033,4.242640687119285,55.55427420681332,-76.91273478467357,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
8,"[300,500)","[3,3.25)",0.39609426259994507,0.25069257616996765,0.6196183562278748,12,1556.2972972972973,nan,nan,-1544.2972972972973,3.4641016151377544,39.60173351379075,-54.514500824563875,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
9,"[300,500)","[3.25,3.5)",0.4156150817871094,0.2630475163459778,0.7103378176689148,4,906.8648648648648,nan,nan,-902.8648648648648,2.0,30.18053784916473,-41.98023507601166,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
10,"[500,800)","[3.25,3.5)",0.3107539117336273,0.19667969644069672,0.590565025806427,5,383.6216216216216,nan,nan,-378.6216216216216,2.23606797749979,19.71348831692711,-26.71780408834486,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
11,"[500,800)","[3.5,3.75)",0.32525408267974854,0.2058570235967636,0.7030451893806458,0,192.67567567567568,nan,nan,-192.67567567567568,0.0,13.88076639367134,-19.630368090062685,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
12,"[500,800)","[3.75,4.0)",0.5331345796585083,0.33742696046829224,0.7524763941764832,0,148.86913229018495,nan,nan,-148.86913229018495,0.0,12.20119388790232,-17.255093873415174,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
13,"[800,1100)","[3.5,3.75)",0.2622322738170624,0.16596980392932892,0.6843349933624268,2,73.21621621621621,nan,nan,-71.21621621621621,1.4142135623730951,8.672728302916921,-11.315094053383238,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
14,"[800,1100)","[3.75,4.0)",0.29693174362182617,0.18793147802352905,0.7769456505775452,1,56.270270270270274,nan,nan,-55.270270270270274,1.0,7.567712353827296,-10.123250854714565,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
15,"[800,1100)","[4.0,4.25)",0.5141045451164246,0.32538262009620667,0.8465465307235718,1,38.04409672830726,nan,nan,-37.04409672830726,1.0,6.2485275648193515,-8.173781352734188,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
16,"[1100,2000)","[3.75,4.0)",0.2172287553548813,0.1374865472316742,0.7136972546577454,1,19.56756756756757,nan,nan,-18.56756756756757,1.0,4.535148020469405,-5.58456696402256,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
17,"[1100,2000)","[4.0,4.25)",0.23240472376346588,0.1470915973186493,0.7426062822341919,0,16.864864864864867,nan,nan,-16.864864864864867,0.0,4.10668538664272,-5.807730170189532,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
18,"[1100,2000)","[4.25,4.5)",0.29243433475494385,0.1850850135087967,0.8714531660079956,0,19.43243243243243,nan,nan,-19.43243243243243,0.0,4.408223273886253,-6.234169139898666,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
