cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,excess,excess_err_stat,excess_err_conservative,known_b_sigma,alpha,N_off,li_ma_sigma,statistic_note
1,"[30,60)","[2,3)",1.354568362236023,0.8573217391967773,0.24797916412353516,1289,1077.3333333333335,211.66666666666652,35.90264614203248,48.6449723335653,6.253224815710404,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
2,"[60,100)","[2,3)",1.0863629579544067,0.6875714659690857,0.487374871969223,1153,907.1783625730994,245.82163742690057,33.95585369269929,45.389187727619664,7.829261395722676,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
3,"[60,100)","[3,3.25)",1.3247969150543213,0.8384790420532227,0.3588121235370636,63,40.625,22.375,7.937253933193772,10.179636535751166,3.2454024100942416,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
4,"[100,200)","[2,3)",0.7923517823219299,0.501488447189331,0.6310978531837463,633,580.9842105263158,52.01578947368421,25.15949125081825,34.84227619611434,2.1269515910069945,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
5,"[100,200)","[3,3.25)",0.8389869928359985,0.5310044288635254,0.6328651309013367,41,25.826315789473682,15.173684210526318,6.4031242374328485,8.17473643547446,2.7479512380114017,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
6,"[200,300)","[2,3)",0.5577100515365601,0.3529810607433319,0.6482003927230835,77,49.78947368421052,27.21052631578948,8.774964387392123,11.260083200590062,3.566963623522245,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
7,"[200,300)","[3,3.25)",0.5468682050704956,0.34611910581588745,0.702869176864624,18,10.368421052631579,7.631578947368421,4.242640687119285,5.326201371768775,2.1435238288736977,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
8,"[300,500)","[3,3.25)",0.39609426259994507,0.25069257616996765,0.6196183562278748,12,8.368421052631579,3.6315789473684212,3.4641016151377544,4.513138714091511,1.177894879386179,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
9,"[300,500)","[3.25,3.5)",0.4156150817871094,0.2630475163459778,0.7103378176689148,4,1.631578947368421,2.3684210526315788,2.0,2.373094803704315,1.5611300333880973,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
10,"[500,800)","[3.25,3.5)",0.3107539117336273,0.19667969644069672,0.590565025806427,5,1.1052631578947367,3.8947368421052633,2.23606797749979,2.470883072485369,2.7026044576594357,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
11,"[500,800)","[3.5,3.75)",0.32525408267974854,0.2058570235967636,0.7030451893806458,0,0.3684210526315789,-0.3684210526315789,0.0,0.6069769786668839,-0.8583950752789521,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
12,"[500,800)","[3.75,4.0)",0.5331345796585083,0.33742696046829224,0.7524763941764832,0,0.21052631578947367,-0.21052631578947367,0.0,0.45883146774112354,-0.6488856845230502,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
13,"[800,1100)","[3.5,3.75)",0.2622322738170624,0.16596980392932892,0.6843349933624268,2,0.10526315789473684,1.8947368421052633,1.4142135623730951,1.4509525002200232,2.826354937451281,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
14,"[800,1100)","[3.75,4.0)",0.29693174362182617,0.18793147802352905,0.7769456505775452,1,0.05263157894736842,0.9473684210526316,1.0,1.025978352085154,1.998534742311881,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
15,"[800,1100)","[4.0,4.25)",0.5141045451164246,0.32538262009620667,0.8465465307235718,1,0.05263157894736842,0.9473684210526316,1.0,1.025978352085154,1.998534742311881,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
16,"[1100,2000)","[3.75,4.0)",0.2172287553548813,0.1374865472316742,0.7136972546577454,1,0.05263157894736842,0.9473684210526316,1.0,1.025978352085154,1.998534742311881,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
17,"[1100,2000)","[4.0,4.25)",0.23240472376346588,0.1470915973186493,0.7426062822341919,0,0.0,0.0,0.0,0.0,0.0,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
18,"[1100,2000)","[4.25,4.5)",0.29243433475494385,0.1850850135087967,0.8714531660079956,0,0.05263157894736842,-0.05263157894736842,0.0,0.22941573387056177,-0.3244428422615251,,,,known-background Poisson; Li-Ma undefined for direct_expectation background
