cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
1,"[30,60)","[2,3)",1.354568362236023,0.8573217391967773,0.24797916412353516,155030,132380.59375,nan,nan,22649.40625,393.73849189531876,536.1068864974595,60.5913824999949,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
2,"[60,100)","[2,3)",1.0863629579544067,0.6875714659690857,0.487374871969223,185722,169831.0955169455,nan,nan,15890.904483054503,430.9547540055684,596.2827311912911,37.98122374505982,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
3,"[60,100)","[3,3.25)",1.3247969150543213,0.8384790420532227,0.3588121235370636,11105,9388.568701124144,nan,nan,1716.4312988758556,105.38026380684383,143.15574980113144,17.212037395679168,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
4,"[60,100)","[3.25,3.5)",1.5100826025009155,0.9557484984397888,0.29800868034362793,6738,5650.992866265281,nan,nan,1087.007133734719,82.08532146492453,111.30585279429506,14.030104703649448,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
5,"[60,100)","[3.5,3.75)",1.670278787612915,1.057138442993164,0.25336918234825134,3790,3094.2739743589736,nan,nan,695.7260256410264,61.56297588648554,82.97152508155418,12.077597908985204,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
6,"[60,100)","[3.75,4.0)",1.8247636556625366,1.1549136638641357,0.1803823560476303,2184,1632.286184829663,nan,nan,551.713815170337,46.73328578219169,61.77609719648582,12.97810231843064,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
7,"[100,200)","[2,3)",0.7923517823219299,0.501488447189331,0.6310978531837463,121656,116452.02347083927,nan,nan,5203.976529160733,348.7922017476882,487.96313740982447,15.138202660986144,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
8,"[100,200)","[3,3.25)",0.8389869928359985,0.5310044288635254,0.6328651309013367,14285,12745.121621621623,nan,nan,1539.8783783783765,119.5198728245642,164.40839887798197,13.378304022338423,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
9,"[100,200)","[3.25,3.5)",1.1128045320510864,0.7043066620826721,0.5655199289321899,11127,10028.910896610896,nan,nan,1098.089103389104,105.48459603183775,145.4507163839728,10.7735654480089,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
10,"[100,200)","[3.5,3.75)",1.3699218034744263,0.8670390844345093,0.5326126217842102,7866,6730.6208333333325,nan,nan,1135.3791666666675,88.6904729945669,120.81647583559675,13.475228738012742,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
