cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
1,"[125,200)","[2,2.5)",0.7816073894500732,0.4946882128715515,0.5589009523391724,21284,19968.864147618202,nan,nan,1315.135852381798,145.89036979869508,203.10801103752212,9.2072120378026,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
2,"[125,200)","[2.5,3)",0.7211480140686035,0.4564227759838104,0.6565228700637817,40293,36471.56728338443,nan,nan,3821.432716615571,200.73116349984124,277.0641934342733,19.675077005561107,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
3,"[125,200)","[3,3.25)",0.7878195643424988,0.49862000346183777,0.6549341678619385,9462,8608.263008837717,nan,nan,853.7369911622827,97.27281223445738,134.4256783834016,9.055525925805183,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
4,"[125,200)","[3.25,3.5)",1.0632951259613037,0.6729716062545776,0.5925980806350708,7577,7164.275581530781,nan,nan,412.724418469219,87.04596486914255,121.41365483968754,4.83038740934761,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
5,"[125,200)","[3.5,3.75)",1.339789867401123,0.8479682803153992,0.571363091468811,5697,5085.154746523416,nan,nan,611.8452534765838,75.47847375245475,103.83715494235874,8.416077814720134,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
6,"[125,200)","[3.75,4.0)",1.5549670457839966,0.9841563105583191,0.5086243748664856,3290,2426.282236218536,nan,nan,863.7177637814639,57.358521598799946,75.60609919985646,16.623925989299114,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
7,"[125,200)","[4.0,4.25)",1.7794854640960693,1.1262567043304443,0.42438438534736633,1697,1065.5017717471724,nan,nan,631.4982282528276,41.19465984809196,52.55950695875269,17.79398661152053,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
8,"[125,200)","[4.25,4.5)",1.9745076894760132,1.2496883869171143,0.32057854533195496,653,488.0169542182233,nan,nan,164.9830457817767,25.553864678361276,33.778942467434106,7.097629649138236,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
9,"[125,200)","[4.5,4.75)",2.0433428287506104,1.2932549715042114,0.255362868309021,239,235.67978766344356,nan,nan,3.3202123365564375,15.459624833740307,21.787147304395855,0.21576934058774674,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
10,"[125,200)","[4.75,5.0)",2.217029094696045,1.4031829833984375,0.1933191567659378,88,160.8739489451114,nan,nan,-72.87394894511141,9.38083151964686,15.775739251937178,-6.290457687075808,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
