cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
1,"[125,200)","[2,2.5)",0.7816073894500732,0.4946882128715515,0.5589009523391724,606,996.2718254372742,nan,nan,-390.2718254372742,24.61706725018234,40.02838774466534,-13.342030857214331,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
2,"[125,200)","[2.5,3)",0.7211480140686035,0.4564227759838104,0.6565228700637817,1169,2212.6134182074325,nan,nan,-1043.6134182074325,34.19064199455752,58.1516415779248,-24.40333593202152,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
3,"[125,200)","[3,3.25)",0.7878195643424988,0.49862000346183777,0.6549341678619385,390,566.8623703685353,nan,nan,-176.86237036853527,19.748417658131498,30.93319204945612,-7.875804409475447,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
4,"[125,200)","[3.25,3.5)",1.0632951259613037,0.6729716062545776,0.5925980806350708,503,673.7021974462117,nan,nan,-170.7021974462117,22.427661492005804,34.30309311776726,-6.888628838555536,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
5,"[125,200)","[3.5,3.75)",1.339789867401123,0.8479682803153992,0.571363091468811,702,621.4684329318575,nan,nan,80.53156706814252,26.49528259898354,36.37950567190073,3.164152265462946,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
6,"[125,200)","[3.75,4.0)",1.5549670457839966,0.9841563105583191,0.5086243748664856,639,486.0644679269013,nan,nan,152.93553207309873,25.278449319529077,33.541980679842105,6.613825797191375,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
7,"[125,200)","[4.0,4.25)",1.7794854640960693,1.1262567043304443,0.42438438534736633,378,377.2623248870349,nan,nan,0.7376751129651211,19.44222209522358,27.482036403567964,0.03796662332712331,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
8,"[125,200)","[4.25,4.5)",1.9745076894760132,1.2496883869171143,0.32057854533195496,238,196.65300086724142,nan,nan,41.34699913275858,15.427248620541512,20.84833328751345,2.853250998448398,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
9,"[125,200)","[4.5,4.75)",2.0433428287506104,1.2932549715042114,0.255362868309021,110,73.54229140939754,nan,nan,36.457708590602465,10.488088481701515,13.547778098618148,3.9573885073393145,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
10,"[125,200)","[4.75,5.0)",2.217029094696045,1.4031829833984375,0.1933191567659378,44,57.76548047905044,nan,nan,-13.765480479050439,6.6332495807108,10.087887810590006,-1.891350801739922,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
11,"[125,200)","[5,6)",2.265471935272217,1.4338430166244507,0.11356125771999359,37,64.07959068278637,nan,nan,-27.079590682786375,6.082762530298219,10.053834625792607,-3.676654618084607,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
12,"[125,200)",>=6,1.5800000429153442,1.0,0.7129790186882019,1,0.0,nan,nan,1.0,1.0,1.0,nan,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
13,"[200,300)","[2,2.5)",0.6385640501976013,0.4041544497013092,0.5630002617835999,5,15.073027879982234,nan,nan,-10.073027879982234,2.23606797749979,4.480293280576868,-3.0185038925601546,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
14,"[200,300)","[2.5,3)",0.5542443990707397,0.35078760981559753,0.64971524477005,96,219.61429745602385,nan,nan,-123.61429745602385,9.797958971132712,17.76553679053982,-9.39914183969992,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
15,"[200,300)","[3,3.25)",0.5468682050704956,0.34611910581588745,0.702869176864624,50,108.48730666739172,nan,nan,-58.48730666739172,7.0710678118654755,12.589174185282834,-6.285984106564942,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
16,"[200,300)","[3.25,3.5)",0.72874516248703,0.4612311124801636,0.6853578090667725,53,106.50626543230005,nan,nan,-53.506265432300054,7.280109889280518,12.6295789887193,-5.747509847019104,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
17,"[200,300)","[3.5,3.75)",1.0330716371536255,0.6538428068161011,0.6527048945426941,109,162.10444390539533,nan,nan,-53.10444390539533,10.44030650891055,16.4652495852749,-4.436915862610859,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
