cell_id,nhit_bin,predE_bin,r_opt_deg,sigma_deg,containment_r_opt,N_on,B_on,N_off,alpha,excess,excess_err_stat,excess_err_conservative,known_b_sigma,li_ma_sigma,background_mode,background_form,statistic_kind,statistic_note
1,"[125,200)","[2,2.5)",0.7816073894500732,0.4946882128715515,0.5589009523391724,10714,9971.543382249602,nan,nan,742.4566177503984,103.50845376103345,143.82469670487612,7.345635368135406,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
2,"[125,200)","[2.5,3)",0.7211480140686035,0.4564227759838104,0.6565228700637817,20195,18072.26712906482,nan,nan,2122.7328709351787,142.10911300827965,195.62021145337928,15.495348718545038,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
3,"[125,200)","[3,3.25)",0.7878195643424988,0.49862000346183777,0.6549341678619385,4715,4213.596317503437,nan,nan,501.4036824965633,68.66585760041157,94.49124995206401,7.578269925077209,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
4,"[125,200)","[3.25,3.5)",1.0632951259613037,0.6729716062545776,0.5925980806350708,3727,3371.5059302977425,nan,nan,355.49406970225755,61.04916051838878,84.2526315927149,6.019258600790604,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
5,"[125,200)","[3.5,3.75)",1.339789867401123,0.8479682803153992,0.571363091468811,2872,2042.4485434660082,nan,nan,829.5514565339918,53.59104402789705,70.10312791499398,17.285626601243585,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
6,"[125,200)","[3.75,4.0)",1.5549670457839966,0.9841563105583191,0.5086243748664856,1643,1110.3982089945994,nan,nan,532.6017910054006,40.53393639902249,52.47283305668372,14.908658962111009,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
7,"[125,200)","[4.0,4.25)",1.7794854640960693,1.1262567043304443,0.42438438534736633,816,602.6825473280883,nan,nan,213.31745267191172,28.5657137141714,37.66540252443996,8.240137045443742,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
8,"[125,200)","[4.25,4.5)",1.9745076894760132,1.2496883869171143,0.32057854533195496,352,254.34052069184258,nan,nan,97.65947930815742,18.76166303929372,24.623982632625506,5.783674586702572,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
9,"[125,200)","[4.5,4.75)",2.0433428287506104,1.2932549715042114,0.255362868309021,100,145.8202758628104,nan,nan,-45.820275862810405,10.0,15.67865669828925,-4.024874369120999,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
10,"[125,200)","[4.75,5.0)",2.217029094696045,1.4031829833984375,0.1933191567659378,46,78.58719484466684,nan,nan,-32.58719484466684,6.782329983125268,11.161863412740134,-3.9877551657370107,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
11,"[125,200)","[5,6)",2.265471935272217,1.4338430166244507,0.11356125771999359,28,54.94624145172392,nan,nan,-26.94624145172392,5.291502622129181,9.107482717618733,-4.017466844213316,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
12,"[125,200)",>=6,1.5800000429153442,1.0,0.7129790186882019,0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,crab_roi_local,direct_expectation,known_background_poisson,known-background Poisson diagnostic; Li-Ma undefined for direct_expectation background
