cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,error_sqrt_n,pl_model,pl_pull,logpar_model,logpar_pull,preferred_model,preferred_counts,preferred_pull
1,"[30,60)","[2,3)",155030,132380.59375,22649.40625,536.1068864974595,393.73849189531876,446.20288096975304,41.41562798062559,405.8551910921738,41.490888513354754,pl,446.20288096975304,41.41562798062559
2,"[60,100)","[2,3)",185722,169831.0955169455,15890.904483054503,596.2827311912911,430.9547540055684,3251.3008557911553,21.197333020211993,3000.8087062323575,21.617422579167272,pl,3251.3008557911553,21.197333020211993
3,"[60,100)","[3,3.25)",11105,9388.568701124144,1716.4312988758556,143.15574980113144,105.38026380684383,89.13299134890514,11.367327611971959,87.33093164823607,11.379915717606362,pl,89.13299134890514,11.367327611971959
4,"[100,200)","[2,3)",121656,116452.02347083927,5203.976529160733,487.96313740982447,348.7922017476882,9566.881382769452,-8.94105418857584,9116.979407013021,-8.019054264268908,pl,9566.881382769452,-8.94105418857584
5,"[100,200)","[3,3.25)",14285,12745.121621621623,1539.8783783783765,164.40839887798197,119.5198728245642,642.9204686616204,5.4556696363331545,648.3747271697266,5.422494576267312,pl,642.9204686616204,5.4556696363331545
6,"[200,300)","[2,3)",11259,8710.000711237552,2548.9992887624485,141.31171469923345,106.10843510296436,3236.627413790456,-4.866037656478438,3211.507464763074,-4.688274977136198,pl,3236.627413790456,-4.866037656478438
7,"[200,300)","[3,3.25)",4457,3068.2773826458033,1388.7226173541967,86.74835665674482,66.76076692189807,923.2362983505432,5.365938179619236,945.0872004733685,5.114049810029858,pl,923.2362983505432,5.365938179619236
8,"[300,500)","[3,3.25)",3067,1556.2972972972973,1510.7027027027027,67.99483287204475,55.380501984001555,1350.1111464517119,2.36182000113447,1393.6285344936184,1.7218097797136862,pl,1350.1111464517119,2.36182000113447
9,"[300,500)","[3.25,3.5)",1706,906.8648648648648,799.1351351351352,51.11618985081796,41.30375285612676,738.2489369798111,1.1911333441130845,761.8582779883532,0.7292573498841394,pl,738.2489369798111,1.1911333441130845
10,"[500,800)","[3.25,3.5)",1155,383.6216216216216,771.3783783783783,39.22526764244728,33.98529093593286,684.0968697542806,2.225134814112696,708.4861718890468,1.6033595248505916,pl,684.0968697542806,2.225134814112696
11,"[500,800)","[3.5,3.75)",559,192.67567567567568,366.3243243243243,27.41670431827421,23.643180835073778,392.4757409671631,-0.95384975302841,400.5272340914589,-1.2475208314639459,pl,392.4757409671631,-0.95384975302841
12,"[500,800)","[3.75,4.0)",238,148.86913229018495,89.13086770981505,19.6689891018879,15.427248620541512,98.59019308623772,-0.4809258537600557,97.24589490649342,-0.41257978001012063,pl,98.59019308623772,-0.4809258537600557
13,"[800,1100)","[3.5,3.75)",280,73.21621621621621,206.7837837837838,18.79404736123159,16.73320053068151,226.16313459586254,-1.031143023085837,228.32871610179907,-1.1463700130105137,pl,226.16313459586254,-1.031143023085837
14,"[800,1100)","[3.75,4.0)",152,56.270270270270274,95.72972972972973,14.43157199581079,12.328828005937952,113.61421400340522,-1.2392609951893683,111.28414867299487,-1.0778048952519033,pl,113.61421400340522,-1.2392609951893683
15,"[800,1100)","[4.0,4.25)",105,38.04409672830726,66.95590327169273,11.96010437781825,10.246950765959598,25.867914565864595,3.4354205789400782,24.235505263942606,3.5719084598443227,pl,25.867914565864595,3.4354205789400782
16,"[1100,2000)","[3.75,4.0)",131,19.56756756756757,111.43243243243244,12.270597685832895,11.445523142259598,125.19010768133217,-1.1211903120891782,119.52758415224237,-0.6597194307133261,pl,125.19010768133217,-1.1211903120891782
17,"[1100,2000)","[4.0,4.25)",93,16.864864864864867,76.13513513513513,10.481644187095117,9.643650760992955,81.73977074397506,-0.5347095845650144,74.4264103905213,0.16302067825557318,pl,81.73977074397506,-0.5347095845650144
18,"[1100,2000)","[4.25,4.5)",44,19.43243243243243,24.56756756756757,7.964448030619098,6.6332495807108,34.46924654864295,-1.243234803342134,29.579674265366478,-0.6293099884047212,pl,34.46924654864295,-1.243234803342134
