cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,error_sqrt_n,pl_model,pl_pull,logpar_model,logpar_pull,preferred_model,preferred_counts,preferred_pull
1,"[30,60)","[2,3)",155030,132380.59375,22649.40625,536.1068864974595,393.73849189531876,446.20340785504385,41.41562699782662,405.8949395818624,41.490814370509945,pl,446.20340785504385,41.41562699782662
2,"[60,100)","[2,3)",185722,169831.0955169455,15890.904483054503,596.2827311912911,430.9547540055684,3251.3041540091986,21.19732748891305,3001.0886631759818,21.616953075475518,pl,3251.3041540091986,21.19732748891305
3,"[60,100)","[3,3.25)",11105,9388.568701124144,1716.4312988758556,143.15574980113144,105.38026380684383,89.13293194155764,11.36732802695597,87.33612644511345,11.379879429878594,pl,89.13293194155764,11.36732802695597
4,"[100,200)","[2,3)",121656,116452.02347083927,5203.976529160733,487.96313740982447,348.7922017476882,9566.885559634273,-8.941062748371653,9117.707412803433,-8.020546192110581,pl,9566.885559634273,-8.941062748371653
5,"[100,200)","[3,3.25)",14285,12745.121621621623,1539.8783783783765,164.40839887798197,119.5198728245642,642.9196075720818,5.4556748738364975,648.4047357979629,5.422312051357142,pl,642.9196075720818,5.4556748738364975
6,"[200,300)","[2,3)",11259,8710.000711237552,2548.9992887624485,141.31171469923345,106.10843510296436,3236.6260236714184,-4.8660278192258035,3211.704955660291,-4.68967253216295,pl,3236.6260236714184,-4.8660278192258035
7,"[200,300)","[3,3.25)",4457,3068.2773826458033,1388.7226173541967,86.74835665674482,66.76076692189807,923.2347258385881,5.365956306901592,945.1243364657191,5.11362172131692,pl,923.2347258385881,5.365956306901592
8,"[300,500)","[3,3.25)",3067,1556.2972972972973,1510.7027027027027,67.99483287204475,55.380501984001555,1350.1084726655165,2.361859324507768,1393.6763875840354,1.7211060043178845,pl,1350.1084726655165,2.361859324507768
9,"[300,500)","[3.25,3.5)",1706,906.8648648648648,799.1351351351352,51.11618985081796,41.30375285612676,738.2468922149478,1.191173346407255,761.8768254179863,0.7288945014463495,pl,738.2468922149478,1.191173346407255
10,"[500,800)","[3.25,3.5)",1155,383.6216216216216,771.3783783783783,39.22526764244728,33.98529093593286,684.0946725183886,2.225190829941882,708.4991677037863,1.60302821252258,pl,684.0946725183886,2.225190829941882
11,"[500,800)","[3.5,3.75)",559,192.67567567567568,366.3243243243243,27.41670431827421,23.643180835073778,392.4741665927674,-0.9537923291171536,400.53166904336115,-1.247682592405405,pl,392.4741665927674,-0.9537923291171536
12,"[500,800)","[3.75,4.0)",238,148.86913229018495,89.13086770981505,19.6689891018879,15.427248620541512,98.58975038058355,-0.48090334596100853,97.24699410777497,-0.4126356650012533,pl,98.58975038058355,-0.48090334596100853
13,"[800,1100)","[3.5,3.75)",280,73.21621621621621,206.7837837837838,18.79404736123159,16.73320053068151,226.16208169080892,-1.0310869997592278,228.32991781183523,-1.1464339540027364,pl,226.16208169080892,-1.0310869997592278
14,"[800,1100)","[3.75,4.0)",152,56.270270270270274,95.72972972972973,14.43157199581079,12.328828005937952,113.61361554239589,-1.239219526317543,111.28451698799064,-1.0778304167263395,pl,113.61361554239589,-1.239219526317543
15,"[800,1100)","[4.0,4.25)",105,38.04409672830726,66.95590327169273,11.96010437781825,10.246950765959598,25.867760002350252,3.4354335021980584,24.235584768500935,3.5719018123640147,pl,25.867760002350252,3.4354335021980584
16,"[1100,2000)","[3.75,4.0)",131,19.56756756756757,111.43243243243244,12.270597685832895,11.445523142259598,125.18935485437827,-1.1211289599877423,119.52746825034173,-0.6597099852157546,pl,125.18935485437827,-1.1211289599877423
17,"[1100,2000)","[4.0,4.25)",93,16.864864864864867,76.13513513513513,10.481644187095117,9.643650760992955,81.73921872874388,-0.5346569196184349,74.42634772233313,0.16302665710650968,pl,81.73921872874388,-0.5346569196184349
18,"[1100,2000)","[4.25,4.5)",44,19.43243243243243,24.56756756756757,7.964448030619098,6.6332495807108,34.46899003179528,-1.2432025956051151,29.579739706552743,-0.6293182050678238,pl,34.46899003179528,-1.2432025956051151
