cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,error_sqrt_n,pl_model,pl_pull,logpar_model,logpar_pull,preferred_model,preferred_counts,preferred_pull
2,"[125,200)","[2.5,3)",40293,36471.56728338443,3821.432716615571,277.0641934342733,200.73116349984124,4342.634520175482,-1.8811590090350436,3775.4539624403424,0.1659498241375452,logpar,3775.4539624403424,0.1659498241375452
3,"[125,200)","[3,3.25)",9462,8608.263008837717,853.7369911622827,134.4256783834016,97.27281223445738,566.7248328994895,2.1350991991589052,560.7291823338131,2.179701172812896,logpar,560.7291823338131,2.179701172812896
4,"[125,200)","[3.25,3.5)",7577,7164.275581530781,412.724418469219,121.41365483968754,87.04596486914255,212.8927488081578,1.6458747570437235,216.10809688150468,1.6193921667815954,logpar,216.10809688150468,1.6193921667815954
14,"[200,300)","[2.5,3)",10510,8063.048695781249,2446.951304218751,136.28297287548892,102.51829105091443,3092.4281443140017,-4.736298500656956,2837.2891588620037,-2.864171850726164,logpar,2837.2891588620037,-2.864171850726164
15,"[200,300)","[3,3.25)",4457,3054.242916298109,1402.7570837018911,86.66742707787112,66.76076692189807,981.4982331613078,4.860636397594683,1010.7251215066299,4.52340602938424,logpar,1010.7251215066299,4.52340602938424
16,"[200,300)","[3.25,3.5)",2918,2326.62977858909,591.3702214109098,72.41981620101704,54.01851534427802,293.87704332182454,4.10789744706515,307.5959785935335,3.9184612403558003,logpar,307.5959785935335,3.9184612403558003
17,"[200,300)","[3.5,3.75)",2441,1941.0854659134725,499.9145340865275,66.19732219594289,49.4064773081425,130.17847746502076,5.585362736080088,133.72377040547002,5.531806295685789,logpar,133.72377040547002,5.531806295685789
27,"[300,500)","[3,3.25)",3067,1490.2521433497482,1576.7478566502518,67.50742287593081,55.380501984001555,1443.3514040386553,1.9760264416664295,1530.3112708121919,0.6878737753536214,logpar,1530.3112708121919,0.6878737753536214
28,"[300,500)","[3.25,3.5)",1706,851.5580776600565,854.4419223399435,50.5723054414178,41.30375285612676,801.5611285437076,1.0456472833237207,870.3057431173404,-0.3136859322297121,logpar,870.3057431173404,-0.3136859322297121
29,"[300,500)","[3.5,3.75)",1088,610.0835700288637,477.91642997113627,41.20780957572076,32.984845004941285,221.61201263124153,6.219802022452239,233.88217648111726,5.922038953359016,logpar,233.88217648111726,5.922038953359016
