cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,error_sqrt_n,pl_model,pl_pull,logpar_model,logpar_pull,preferred_model,preferred_counts,preferred_pull
1,"[125,200)","[2,2.5)",21284,19968.864147618202,1315.135852381798,203.10801103752212,145.89036979869508,2010.205138176212,-3.4221657838301955,1378.848259277422,-0.3136873162716052,logpar,1378.848259277422,-0.3136873162716052
2,"[125,200)","[2.5,3)",40293,36471.56728338443,3821.432716615571,277.0641934342733,200.73116349984124,4173.556925369108,-1.270912001976431,3697.5349426884904,0.44718075039339966,logpar,3697.5349426884904,0.44718075039339966
3,"[125,200)","[3,3.25)",9462,8608.263008837717,853.7369911622827,134.4256783834016,97.27281223445738,542.3748994184072,2.3162396908708587,548.706937831917,2.2691353095528046,logpar,548.706937831917,2.2691353095528046
4,"[125,200)","[3.25,3.5)",7577,7164.275581530781,412.724418469219,121.41365483968754,87.04596486914255,203.1654007744092,1.7259921709095067,208.26670149628723,1.683976297747516,logpar,208.26670149628723,1.683976297747516
14,"[200,300)","[2.5,3)",10510,8063.048695781249,2446.951304218751,136.28297287548892,102.51829105091443,2968.3551046221996,-3.8258910075275105,2788.960588637783,-2.5095525670070264,logpar,2788.960588637783,-2.5095525670070264
15,"[200,300)","[3,3.25)",4457,3054.242916298109,1402.7570837018911,86.66742707787112,66.76076692189807,938.3535886533355,5.358454850993636,991.6221177389472,4.743823369690404,logpar,991.6221177389472,4.743823369690404
16,"[200,300)","[3.25,3.5)",2918,2326.62977858909,591.3702214109098,72.41981620101704,54.01851534427802,280.24259731377947,4.296166994314478,297.2728826780904,4.061006422834434,logpar,297.2728826780904,4.061006422834434
17,"[200,300)","[3.5,3.75)",2441,1941.0854659134725,499.9145340865275,66.19732219594289,49.4064773081425,123.69101389914812,5.6833646393394055,125.45101021200128,5.656777516862705,logpar,125.45101021200128,5.656777516862705
26,"[300,500)","[2.5,3)",1834,949.5708691528525,884.4291308471475,52.759557135677824,42.82522621072771,958.9980058650189,-1.4133718906341115,957.4901817444087,-1.3847927250294305,logpar,957.4901817444087,-1.3847927250294305
27,"[300,500)","[3,3.25)",3067,1490.2521433497482,1576.7478566502518,67.50742287593081,55.380501984001555,1378.578269260424,2.9355229239610567,1502.0434561897555,1.1066101663781858,logpar,1502.0434561897555,1.1066101663781858
28,"[300,500)","[3.25,3.5)",1706,851.5580776600565,854.4419223399435,50.5723054414178,41.30375285612676,763.5001063653801,1.7982533163315844,842.4076344574096,0.23796201849002654,logpar,842.4076344574096,0.23796201849002654
29,"[300,500)","[3.5,3.75)",1088,610.0835700288637,477.91642997113627,41.20780957572076,32.984845004941285,210.52529777613782,6.488846045157001,220.66508689417287,6.242781301060306,logpar,220.66508689417287,6.242781301060306
30,"[300,500)","[3.75,4.0)",891,536.9471529856024,354.05284701439757,37.788188008762766,29.8496231131986,76.3509164031247,7.3489083558829575,70.73978591177361,7.497397362290196,logpar,70.73978591177361,7.497397362290196
39,"[500,800)","[3,3.25)",432,110.51010961433096,321.489890385669,23.29184641917276,20.784609690826528,295.5859667005329,1.1121455645445624,329.31743839077467,-0.3360638681982027,logpar,329.31743839077467,-0.3360638681982027
40,"[500,800)","[3.25,3.5)",1155,360.0880298770054,794.9119701229946,38.92413171641733,33.98529093593286,712.5796431663571,2.1152000912049016,797.6891277111608,-0.07134796502075574,logpar,797.6891277111608,-0.07134796502075574
41,"[500,800)","[3.5,3.75)",559,154.4964650825501,404.5035349174499,26.711354609651494,23.643180835073778,414.2005949920806,-0.36303138557888476,443.0325790154466,-1.4424219460616634,logpar,443.0325790154466,-1.4424219460616634
42,"[500,800)","[3.75,4.0)",238,109.83451948073461,128.16548051926537,18.650322235305605,15.427248620541512,104.91131543589574,1.2468505793078906,99.61293961960992,1.5309408888177096,logpar,99.61293961960992,1.5309408888177096
43,"[500,800)","[4.0,4.25)",175,121.18543312390679,53.81456687609321,17.21003873104029,13.228756555322953,25.69427347433558,1.633947130580214,20.135190687052486,1.9569610920338074,logpar,20.135190687052486,1.9569610920338074
52,"[800,1100)","[3.25,3.5)",174,22.37649626174378,151.6235037382562,14.013439844012026,13.19090595827292,161.74841314935028,-0.7225142094872927,177.06038854711156,-1.815177793033064,logpar,177.06038854711156,-1.815177793033064
53,"[800,1100)","[3.5,3.75)",280,50.460266367343735,229.53973363265627,18.17856612517455,16.73320053068151,241.1733010294287,-0.6399606721820437,248.60787459078705,-1.048935368545064,logpar,248.60787459078705,-1.048935368545064
54,"[800,1100)","[3.75,4.0)",152,37.899577126808786,114.1004228731912,13.780405550157397,12.328828005937952,122.40328256303297,-0.6025119986216178,113.25823746280906,0.06111470430364249,logpar,113.25823746280906,0.06111470430364249
55,"[800,1100)","[4.0,4.25)",105,31.320230774983372,73.67976922501663,11.675625498232776,10.246950765959598,28.1980194474007,3.8954443840717614,22.204387412927765,4.408790074662825,logpar,22.204387412927765,4.408790074662825
65,"[1100,2000)","[3.5,3.75)",54,7.28742134727984,46.71257865272016,7.828628318376077,7.3484692283495345,94.66793911307539,-6.125640215641608,90.4757361967073,-5.590143734536769,logpar,90.4757361967073,-5.590143734536769
66,"[1100,2000)","[3.75,4.0)",131,14.748509627078077,116.25149037292192,12.072634742552186,11.445523142259598,136.51712541713104,-1.67864227456325,115.0430475124203,0.10009769087457308,logpar,115.0430475124203,0.10009769087457308
67,"[1100,2000)","[4.0,4.25)",93,12.890655576140784,80.10934442385921,10.290318536184426,9.643650760992955,90.2236079566968,-0.9828911998469464,63.74541929923885,1.5902253236456165,logpar,63.74541929923885,1.5902253236456165
68,"[1100,2000)","[4.25,4.5)",44,16.286184165563817,27.713815834436183,7.764417825282448,6.6332495807108,38.48796611379992,-1.3876314389317148,21.790889649748575,0.7628293991857849,logpar,21.790889649748575,0.7628293991857849
69,"[1100,2000)","[4.5,4.75)",46,17.126581818554335,28.873418181445665,7.945223836906946,6.782329983125268,8.486753875922792,2.5659018202638006,3.911278360462793,3.141779304571558,logpar,3.911278360462793,3.141779304571558
81,"[2000,3000)","[4.5,4.75)",6,1.7318701009309354,4.268129899069065,2.780624048829855,2.449489742783178,10.676985109099444,-2.3048262179590084,3.2867186783170004,0.3529463902770541,logpar,3.2867186783170004,0.3529463902770541
82,"[2000,3000)","[4.75,5.0)",11,6.022163523135932,4.977836476864068,4.125792472136223,3.3166247903554,5.820079360197574,-0.2041408745160212,1.2939363821030407,0.8928951515715972,logpar,1.2939363821030407,0.8928951515715972
83,"[2000,3000)","[5,6)",21,10.785819420021896,10.214180579978104,5.6378913983883985,4.58257569495584,2.291883596499339,1.4051879370616056,0.506288956314676,1.7219011395711608,logpar,0.506288956314676,1.7219011395711608
