cell_id,nhit_bin,predE_bin,N_on,B_on,excess,error_conservative,error_sqrt_n,pl_model,pl_pull,logpar_model,logpar_pull,preferred_model,preferred_counts,preferred_pull
1,"[125,200)","[2,2.5)",21284,19968.864147618202,1315.135852381798,203.10801103752212,145.89036979869508,2041.352401584296,-3.575518983681727,1351.2973777524799,-0.17804086203178543,logpar,1351.2973777524799,-0.17804086203178543
2,"[125,200)","[2.5,3)",40293,36471.56728338443,3821.432716615571,277.0641934342733,200.73116349984124,4306.496852145173,-1.750728340306708,3726.374613972597,0.34309053604042783,logpar,3726.374613972597,0.34309053604042783
3,"[125,200)","[3,3.25)",9462,8608.263008837717,853.7369911622827,134.4256783834016,97.27281223445738,567.996569916956,2.125638677681458,572.7780071110559,2.090069303945716,logpar,572.7780071110559,2.090069303945716
4,"[125,200)","[3.25,3.5)",7577,7164.275581530781,412.724418469219,121.41365483968754,87.04596486914255,214.92061669655035,1.6291726168184735,224.2933689672809,1.5519757621227954,logpar,224.2933689672809,1.5519757621227954
5,"[125,200)","[3.5,3.75)",5697,5085.154746523416,611.8452534765838,103.83715494235874,75.47847375245475,121.1773559283873,4.7253596058229075,128.3670084396978,4.6561199149309385,logpar,128.3670084396978,4.6561199149309385
6,"[125,200)","[3.75,4.0)",3290,2426.282236218536,863.7177637814639,75.60609919985646,57.358521598799946,66.904836724877,10.539003274726541,65.84906629587742,10.552967365456956,logpar,65.84906629587742,10.552967365456956
7,"[125,200)","[4.0,4.25)",1697,1065.5017717471724,631.4982282528276,52.55950695875269,41.19465984809196,28.447161532518983,11.47368195811972,24.62055915554507,11.546487100298412,logpar,24.62055915554507,11.546487100298412
8,"[125,200)","[4.25,4.5)",653,488.0169542182233,164.9830457817767,33.778942467434106,25.553864678361276,10.484231656935858,4.573820340106603,7.670337943258648,4.657123531625699,logpar,7.670337943258648,4.657123531625699
9,"[125,200)","[4.5,4.75)",239,235.67978766344356,3.3202123365564375,21.787147304395855,15.459624833740307,4.280097005231382,-0.04405738187125006,2.56207207502344,0.034797591944496206,logpar,2.56207207502344,0.034797591944496206
10,"[125,200)","[4.75,5.0)",88,160.8739489451114,-72.87394894511141,15.775739251937178,9.38083151964686,1.9169809808840221,-4.740882739730342,0.9331159193131875,-4.678517037188065,logpar,0.9331159193131875,-4.678517037188065
11,"[125,200)","[5,6)",59,99.28482101642764,-40.28482101642764,12.581129560434057,7.681145747868608,1.3533812896914987,-3.30957582990526,0.4282530101080263,-3.2360428235770464,logpar,0.4282530101080263,-3.2360428235770464
13,"[200,300)","[2,2.5)",792,558.6119151417124,233.38808485828758,36.750672308703585,28.142494558940577,230.21885199709126,0.08623605126390457,158.51051482336,2.037447625609681,logpar,158.51051482336,2.037447625609681
14,"[200,300)","[2.5,3)",10510,8063.048695781249,2446.951304218751,136.28297287548892,102.51829105091443,3076.1663237201574,-4.616974565680123,2829.6619114383993,-2.8082055971093403,logpar,2829.6619114383993,-2.8082055971093403
15,"[200,300)","[3,3.25)",4457,3054.242916298109,1402.7570837018911,86.66742707787112,66.76076692189807,986.2143054051691,4.806220656838656,1039.321260540467,4.193453473989429,logpar,1039.321260540467,4.193453473989429
16,"[200,300)","[3.25,3.5)",2918,2326.62977858909,591.3702214109098,72.41981620101704,54.01851534427802,297.208353153877,4.06189747072158,320.68963473544966,3.7376591225270026,logpar,320.68963473544966,3.7376591225270026
17,"[200,300)","[3.5,3.75)",2441,1941.0854659134725,499.9145340865275,66.19732219594289,49.4064773081425,132.86355433928296,5.544801021720792,140.97171887218397,5.422316240404397,logpar,140.97171887218397,5.422316240404397
18,"[200,300)","[3.75,4.0)",1846,1299.7191272601517,546.2808727398483,56.08671079016982,42.96510211788167,81.51213041884102,8.286610781291639,80.8914993505143,8.297676344944472,logpar,80.8914993505143,8.297676344944472
19,"[200,300)","[4.0,4.25)",1065,720.0236054694769,344.97639453052307,42.24953970719062,32.63433774416144,45.435967379343325,7.089791491863277,39.010364342734256,7.241878427748059,logpar,39.010364342734256,7.241878427748059
20,"[200,300)","[4.25,4.5)",460,387.720727202619,72.279272797381,29.115644028642386,21.447610589527216,22.010570024121364,1.7265186620570034,15.550542329240756,1.9483934620279602,logpar,15.550542329240756,1.9483934620279602
21,"[200,300)","[4.5,4.75)",168,175.71196750169543,-7.711967501695426,18.539470529162784,12.96148139681572,9.955159174456792,-0.9529466684801834,5.506162895332469,-0.7129723783770219,logpar,5.506162895332469,-0.7129723783770219
22,"[200,300)","[4.75,5.0)",61,48.721994318786635,12.278005681213365,10.4748266963605,7.810249675906654,4.126292082886347,0.7782194240177116,1.730275621388986,1.0069598634495032,logpar,1.730275621388986,1.0069598634495032
23,"[200,300)","[5,6)",35,26.654963854808067,8.345036145191933,7.852067489190861,5.916079783099616,2.625949109001298,0.7283542893720053,0.6645749997932617,0.978145075290244,logpar,0.6645749997932617,0.978145075290244
26,"[300,500)","[2.5,3)",1834,949.5708691528525,884.4291308471475,52.759557135677824,42.82522621072771,998.9196871403941,-2.170043922067424,980.0688914736589,-1.812747600980839,logpar,980.0688914736589,-1.812747600980839
27,"[300,500)","[3,3.25)",3067,1490.2521433497482,1576.7478566502518,67.50742287593081,55.380501984001555,1453.7448632328494,1.8220661992010077,1582.99544054201,-0.09254662118031748,logpar,1582.99544054201,-0.09254662118031748
28,"[300,500)","[3.25,3.5)",1706,851.5580776600565,854.4419223399435,50.5723054414178,41.30375285612676,812.9136435430689,0.821166415776325,913.081628008931,-1.159522097265565,logpar,913.081628008931,-1.159522097265565
29,"[300,500)","[3.5,3.75)",1088,610.0835700288637,477.91642997113627,41.20780957572076,32.984845004941285,226.28217921194806,6.106469947081309,247.19298625801522,5.599022274871437,logpar,247.19298625801522,5.599022274871437
30,"[300,500)","[3.75,4.0)",891,536.9471529856024,354.05284701439757,37.788188008762766,29.8496231131986,83.18643061744834,7.168018120745498,83.03852406171903,7.171932215692178,logpar,83.03852406171903,7.171932215692178
31,"[300,500)","[4.0,4.25)",538,406.91601937599114,131.08398062400886,30.739486322578507,23.194827009486403,47.45577995105839,2.720546459214076,40.755824414650036,2.938505714163862,logpar,40.755824414650036,2.938505714163862
32,"[300,500)","[4.25,4.5)",319,222.44199632697683,96.55800367302317,23.268906212518388,17.86057109949175,29.3764760903017,2.887180298426688,20.474285890361028,3.2697590977323214,logpar,20.474285890361028,3.2697590977323214
33,"[300,500)","[4.5,4.75)",144,120.89331216301878,23.106687836981223,16.27554337535367,12.0,16.651337486913036,0.3966288683082393,9.13821141004865,0.85824946699385,logpar,9.13821141004865,0.85824946699385
34,"[300,500)","[4.75,5.0)",58,46.962567108077366,11.037432891922634,10.245124065040763,7.615773105863909,8.429483675912794,0.2545551619925126,3.4367750196413276,0.7418805105754535,logpar,3.4367750196413276,0.7418805105754535
35,"[300,500)","[5,6)",24,54.30968478794906,-30.30968478794906,8.849275947101495,4.898979485566356,6.138620273552387,-4.118789523502177,1.3922688008184407,-3.582434741358835,logpar,1.3922688008184407,-3.582434741358835
39,"[500,800)","[3,3.25)",4177,2586.993289517338,1590.0067104826621,82.24349998338676,64.6297145282261,377.968870243822,14.737187017620512,423.306607134068,14.185924767115559,logpar,423.306607134068,14.185924767115559
40,"[500,800)","[3.25,3.5)",1155,360.0880298770054,794.9119701229946,38.92413171641733,33.98529093593286,762.667325801433,0.8283972666745846,875.1249348132044,-2.0607515480268956,logpar,875.1249348132044,-2.0607515480268956
41,"[500,800)","[3.5,3.75)",559,154.4964650825501,404.5035349174499,26.711354609651494,23.643180835073778,447.700297559222,-1.6171685514655267,501.9065177354385,-3.6465010569997243,logpar,501.9065177354385,-3.6465010569997243
42,"[500,800)","[3.75,4.0)",238,109.83451948073461,128.16548051926537,18.650322235305605,15.427248620541512,114.15345317888315,0.7513021578714089,116.33499995240405,0.6343311615531168,logpar,116.33499995240405,0.6343311615531168
43,"[500,800)","[4.0,4.25)",175,121.18543312390679,53.81456687609321,17.21003873104029,13.228756555322953,28.42060028768193,1.475532216125135,24.852877647730693,1.6828369581834102,logpar,24.852877647730693,1.6828369581834102
44,"[500,800)","[4.25,4.5)",74,67.14068054165396,6.859319458346036,11.880264329620532,8.602325267042627,12.861500596746103,-0.5052228613664005,8.645327870227703,-0.15033406347943726,logpar,8.645327870227703,-0.15033406347943726
45,"[500,800)","[4.5,4.75)",43,25.153487848449448,17.846512151550552,8.255512573332407,6.557438524302,9.355733852842492,1.0284980155121592,4.806870655130345,1.5795071935983556,logpar,4.806870655130345,1.5795071935983556
46,"[500,800)","[4.75,5.0)",18,21.598778611504176,-3.5987786115041764,6.292756042586124,4.242640687119285,6.029100118085866,-1.5299939588367213,2.2339451359358113,-0.9268949420519602,logpar,2.2339451359358113,-0.9268949420519602
