grouping,group_label,cell_ids,n_cells,is_single_cell_point,N0,N0_err,effective_energy_tev,true_energy_p16_tev,true_energy_p84_tev,E2_dnde,E2_dnde_err,chi2,ndof,chi2_over_ndof,ratio_to_stage_f_pl,ratio_to_stage_f_pl_err,ratio_to_stage_f_model,ratio_to_stage_f_model_err,ratio_to_full_array_pl_ref,ratio_to_full_array_pl_ref_err,observed_excess_total,model_counts_total,expected_stage_f_counts_total
nhit,"[100,200)",7;8;9,3,False,3.105625433334535e-12,2.2635583533007097e-13,0.549650721426221,0.27720258546550586,1.0639888468037624,6.49049860878783e-11,4.730648514567906e-12,70.2155926385935,2,35.10779631929675,1.0164897401678048,0.07408761590192237,1.0164897401678048,0.07408761590192237,1.0577348085480094,0.0770937935968361,7841.944010928213,7255.114528399584,7137.420321824292
nhit,"[200,300)",17;18;19;20;21,5,False,3.3884897297168113e-12,1.367715499837077e-13,0.8712133185841259,0.4696832047090686,1.6143066291296564,6.260348675337364e-11,2.526900359930858e-12,36.42496411171828,4,9.10624102792957,1.1090729126412628,0.044766144626788656,1.1090729126412628,0.044766144626788656,1.401920134845043,0.05658650463495715,4871.715205282694,4556.272254084042,4108.180988058987
nhit,"[300,500)",28;29;30;31;32,5,False,3.140414813308857e-12,1.1042533514403127e-13,1.6223417605608579,1.030673970739476,2.710473400972862,4.337460968580866e-11,1.5251666088819675e-12,16.627420652393326,4,4.1568551630983315,1.0278765118728292,0.036142871263125716,1.0278765118728292,0.036142871263125716,1.4916696081077103,0.05245106974447959,2883.902671150252,2697.432770456298,2624.2770792976626
nhit,"[500,800)",38;39;40;41;42,5,False,2.7822041216757864e-12,1.149528026124699e-13,2.7418183669720566,1.7985476465261756,4.343998678418959,2.6894006349900865e-11,1.1111842511169018e-12,3.9104325639976825,4,0.9776081409994206,0.9106320145309609,0.037624738387607,0.9106320145309609,0.037624738387607,1.3284372198390042,0.05488726737390928,1268.5131567244568,1245.1893699899904,1367.3902851212079
nhit,"[800,1100)",47;48;49,3,False,2.67014463929751e-12,1.99391223419226e-13,5.02184030835752,3.4904836821304217,7.45466178277688,1.507005417075774e-11,1.1253459808424233e-12,17.06781928649302,2,8.53390964324651,0.8739542771247051,0.06526193748598057,0.8739542771247051,0.06526193748598057,1.1301837407364979,0.08439569731071002,369.46941678520625,330.53019455165537,378.20078601719774
nhit,"[1100,2000)",55;56;57,3,False,3.4259822609788258e-12,2.871045868895294e-13,9.96804781028237,6.837893559229996,15.424524411670713,8.923037332082522e-12,7.477694721908645e-13,2.3516659051689737,2,1.1758329525844868,1.121344441896431,0.09397104486453571,1.121344441896431,0.09397104486453571,1.0739709379149005,0.0900010446561164,212.13513513513513,206.17998153646914,183.86855441827953
nhit,"[2000,3000)",64;65,2,False,1.6442191815736987e-11,1.5982664858074218e-11,58.255287868556465,1.1788827459408402,88.73201694433672,2.6248100345197046e-12,2.5514517509573446e-12,0.5431969247371871,1,0.5431969247371871,5.381627516046734,5.231221600130082,5.381627516046734,5.231221600130082,1.068115242858943,1.0382635203219013,9.35135135135135,6.051260774734239,1.1244295070015191
predE,"[2,3)",7;17,2,False,2.796649692324969e-12,1.3372847747086218e-13,0.5602758252368925,0.29623614149164584,0.9652126902572873,5.823993798797672e-11,2.7848815876023396e-12,1.7606371898498412,1,1.7606371898498412,0.9153601360224174,0.04377012883084223,0.9153601360224174,0.04377012883084223,0.9617385967965797,0.0459878255855669,7752.975817923181,8182.883634078111,8939.523704446869
predE,"[3,3.25)",8;18;28,3,False,3.5108512333427947e-12,1.2456262416098771e-13,1.2770841444163923,0.8301772172468086,1.8735412117552208,5.516223244031294e-11,1.957118650339821e-12,43.2183972694999,2,21.60919863474995,1.1491225630892148,0.04077009033638453,1.1491225630892148,0.04077009033638453,1.6083188044095338,0.05706206200425278,4439.303698435276,3496.4637142623924,3042.7247941792752
predE,"[3.25,3.5)",9;19;29;38,4,False,3.0145094516711556e-12,1.1492126420990748e-13,2.1135986462173317,1.3803527235243267,3.0455991005269545,3.522671658429627e-11,1.3429378373941351e-12,40.98608514920872,3,13.662028383069574,0.9866669355462255,0.03761441568021225,0.9866669355462255,0.03761441568021225,1.4540406476606318,0.05543196733024573,3137.261222877013,2153.8204454969564,2182.9255323171305
predE,"[3.5,3.75)",20;30;39;47,4,False,2.6878628248558216e-12,1.4150088482235303e-13,3.632742300288404,2.382421290055425,5.27487234678989,2.0575314819407045e-11,1.0831747905887795e-12,18.276697902421375,3,6.0922326341404585,0.8797535450084291,0.04631408414637826,0.8797535450084291,0.04631408414637826,1.2340910383368215,0.06496796349172455,1151.1368554789608,910.2873973371336,1034.7072796716175
predE,"[3.75,4.0)",21;31;40;48;55,5,False,3.025377626578945e-12,2.3814861113387523e-13,6.45475917265637,4.012362437656845,9.556482229828037,1.3126741438473007e-11,1.0332975344373133e-12,11.997647555171396,4,2.999411888792849,0.990224154059939,0.07794746180735579,0.990224154059939,0.07794746180735579,1.1706120832051878,0.09214705607084431,663.0553531228402,445.23711186987975,449.6326513995832
predE,"[4.0,4.25)",32;41;49;56,4,False,4.766083802337462e-12,5.197046189077936e-13,10.958645925523903,6.83999490546101,15.753954965008209,1.100361307689165e-11,1.199858999107436e-12,12.377285713073572,3,4.125761904357858,1.5599676747411948,0.1701024236108148,1.5599676747411948,0.1701024236108148,1.4138600075757912,0.15417051124148912,269.8786349683215,196.8745770199547,126.20426705483948
predE,"[4.25,4.5)",42;57,2,False,4.1796758442616e-12,1.312856484232135e-12,18.22498915183838,12.541994215342557,25.42713670413671,4.772771855449531e-12,1.4991508221361909e-12,0.03115015751081778,1,0.03115015751081778,1.3680328501036814,0.42970576303590863,1.3680328501036814,0.42970576303590863,0.8711038617031892,0.273617954092496,34.06801320036614,32.31264270665894,23.619785668311998
predE,"[4.75,5.0)",64,1,True,1.285273471908325e-11,1.670822511680239e-11,60.812161872581534,42.91408221962242,85.25534442102672,1.889678274082783e-12,2.4565332352831577e-12,1.0560004881757393e-32,0,,4.206776784738981,5.4687018032976615,4.206776784738981,5.4687018032976615,0.7921001897989682,1.0297099080846077,3.3243243243243237,3.324324324324324,0.7902307382659454
