grouping,group_label,cell_ids,n_cells,is_single_cell_point,N0,N0_err,effective_energy_tev,true_energy_p16_tev,true_energy_p84_tev,E2_dnde,E2_dnde_err,chi2,ndof,chi2_over_ndof,ratio_to_stage_f_pl,ratio_to_stage_f_pl_err,ratio_to_stage_f_model,ratio_to_stage_f_model_err,ratio_to_full_array_pl_ref,ratio_to_full_array_pl_ref_err,observed_excess_total,model_counts_total,expected_stage_f_counts_total
nhit,"[125,200)",2;3;4,3,False,3.38918060797084e-12,2.2075365948333096e-13,0.6578085928800371,0.3601569579319478,1.19479077107691,7.292098391136513e-11,4.749694959808248e-12,6.41848129134612,2,3.20924064567306,1.0690215994848964,0.06963052650484333,1.0690215994848964,0.06963052650484333,1.3451788982012387,0.08761798168539311,5087.894126247073,4866.497664475819,4552.291241655662
nhit,"[200,300)",14;15;16;17,4,False,3.2825863649483217e-12,1.3034923137099625e-13,0.8501695268840063,0.46733451011749544,1.5449120899351043,6.311871747754852e-11,2.506400561513038e-12,73.87860450376454,3,24.626201501254844,1.0353994467132743,0.041114995018007645,1.0353994467132743,0.041114995018007645,1.3898112609519293,0.05518844273231821,4940.99314341808,4441.174080775678,4289.334029367643
nhit,"[300,500)",27;28;29;30;31,5,False,3.404798959201558e-12,1.0886271815119465e-13,1.61692974589853,1.0178413182100696,2.7544664108294876,4.640687998354431e-11,1.4837819079660476e-12,93.27412667469426,4,23.318531668673565,1.0739479686417102,0.03433767938143026,1.0739479686417102,0.03433767938143026,1.5922751114350406,0.050910317687586415,3394.243036599738,2954.9584820636337,2751.491290402976
nhit,"[500,800)",40;41;42;43;44,5,False,2.9537479490031618e-12,1.1193948691400146e-13,2.775718515199458,1.8044218594625705,4.478109317590271,2.813490150394733e-11,1.0662407534775276e-12,7.449014592469566,4,1.8622536481173915,0.9316766269381886,0.03530815946039842,0.9316766269381886,0.03530815946039842,1.4015651246335301,0.05311573080600317,1388.2548718941493,1343.4336110838858,1441.9526821219856
nhit,"[800,1100)",53;54;55;56;57,5,False,2.849416002436427e-12,1.7989412200646803e-13,5.157505478336316,3.5449410180862886,7.745437553442536,1.665350025259778e-11,1.0513967787483192e-12,25.017703637672835,4,6.254425909418209,0.898768051887973,0.056742535819129816,0.898768051887973,0.056742535819129816,1.2721190651128742,0.08031355972960472,440.3342692058682,383.64836599941754,426.8602618812682
nhit,"[1100,2000)",66;67;68;69;70,5,False,2.9773664025837283e-12,2.290126019074574e-13,10.550194926743002,7.0394702268022815,16.997742411873062,8.927261051602057e-12,6.86665665186634e-13,10.266645896131743,4,2.566661474032936,0.9391264031362101,0.0722355773597694,0.9391264031362101,0.0722355773597694,1.1173952227669912,0.08594763046387784,251.54645576308792,229.35080120113687,244.21717932242183
nhit,"[2000,3000)",80;81;82;83,4,False,3.159253198157034e-12,1.626885205041223e-12,39.40099724550234,23.51532101483452,66.62287193719973,2.075593074784493e-12,1.0688448988586155e-12,3.457778574708659,3,1.1525928582362197,0.9964974717277342,0.5131551325359305,0.9964974717277342,0.5131551325359305,0.6448831544635666,0.3320882490802312,22.28381890402175,12.672350020086483,12.716891291369839
predE,"[2.5,3)",2;14,2,False,2.876589795583364e-12,1.2741504110547997e-13,0.6388126032406743,0.3724136622768735,1.0276489488157086,6.263530575964618e-11,2.774354574389765e-12,2.9152446438358224,1,2.9152446438358224,0.9073392598506561,0.040189487311673516,0.9073392598506561,0.040189487311673516,1.1323110406903356,0.05015433831242167,6268.384020834322,6000.001449264997,6612.743121302356
predE,"[3,3.25)",3;15;27,3,False,3.5382786299947627e-12,1.227311249745866e-13,1.2635864661290925,0.8183829362521603,1.860881379197783,5.561479447545856e-11,1.929092365236809e-12,16.69877233502362,2,8.34938616751181,1.1160503726370823,0.03871207784511262,1.1160503726370823,0.03871207784511262,1.6096690909772735,0.055834070470802175,3833.2419315144257,3461.7266254239453,3101.7655746526334
predE,"[3.25,3.5)",4;16;28;40,4,False,3.152493726822561e-12,1.142064506036339e-13,2.11502492463948,1.3711277931719292,3.054123815496881,3.6243956295864764e-11,1.3130219956237605e-12,18.803321078148393,3,6.267773692716131,0.994365386810024,0.03602320932931526,0.994365386810024,0.03602320932931526,1.496725396263718,0.05422237436389286,2653.448532343067,2210.1658775819496,2222.6898752703746
predE,"[3.5,3.75)",17;29;41;53,4,False,2.9883661386610852e-12,1.3294922428438054e-13,3.674499896808448,2.3918403253601648,5.368894952410249,2.305286500079227e-11,1.02559739241359e-12,75.06542107943011,3,25.021807026476704,0.9425959601812588,0.04193508957902886,0.9425959601812588,0.04193508957902886,1.3936397793551711,0.06200154833776159,1611.8742326077697,1045.5894737739734,1109.265812653079
predE,"[3.75,4.0)",30;42;54;66,4,False,3.128944541742691e-12,2.0227949171161678e-13,6.74993627104941,4.196022858543255,9.879653435651823,1.4414627929220286e-11,9.318744937264966e-13,57.0193644311346,3,19.006454810378198,0.9869374594102738,0.06380337042646178,0.9869374594102738,0.06380337042646178,1.3257421147537003,0.08570635801799886,712.5702407797761,442.46618009652445,448.3224097714479
predE,"[4.0,4.25)",31;43;55;67,4,False,4.0138999005619085e-12,3.9341505157147587e-13,11.388804484154388,7.187947866841169,16.522953220961043,1.1133522792352672e-11,1.0912318573047763e-12,24.295317684254996,3,8.098439228084999,1.2660717111915794,0.12409170131071122,1.2660717111915794,0.12409170131071122,1.4690661744117393,0.1439878320551036,338.68766114897795,209.54509624765598,165.5080785672401
predE,"[4.25,4.5)",44;56;68;80,4,False,3.238788157140197e-12,8.473146271714687e-13,19.671933348411347,13.060507524115861,28.775143080108286,4.9636816308434694e-12,1.2985721345077606e-12,3.033791029978528,3,1.0112636766595093,1.0215845352106248,0.2672615427680346,1.0215845352106248,0.2672615427680346,0.9549864742212729,0.24983851030043353,54.38029880417518,45.343646707108604,44.385604073146915
predE,"[4.5,4.75)",57;69;81,3,False,4.892428742223974e-12,1.6744436256202911e-12,34.88127736518177,20.204245799561587,54.09831685626225,3.757363237410177e-12,1.285965162399389e-12,10.673794775066215,2,5.336897387533107,1.543178899075995,0.5281560972873635,1.543178899075995,0.5281560972873635,1.073274389367579,0.3673303290670146,39.17239999223635,16.717052863675022,10.832867708134582
predE,"[4.75,5.0)",70;82,2,False,7.473794011576847e-12,6.276213575805272e-12,60.557884782348076,40.038246774179115,87.28555327482434,2.7593197141047553e-12,2.317173824007702e-12,0.051540551461554826,1,0.051540551461554826,2.3573978942538734,1.9796548639918037,2.3573978942538734,1.9796548639918037,1.1532903198691615,0.968490214099502,3.5762234272889923,6.179546956538856,2.621342358708906
predE,"[5,6)",83,1,True,4.442730396866445e-11,2.4522409109302923e-11,77.11379824073504,0.4155650109829282,127.56166586808814,1.165618277492674e-11,6.433829134920519e-12,9.927205522650245e-32,0,,14.013342174118796,7.734903518448183,14.013342174118796,7.734903518448183,5.755941031716386,3.177089946496151,10.214180579978104,10.214180579978102,0.7288896862050971
