dataset,label,energy_tev,energy_range_tev,e2_dnde,e2_dnde_err,is_upper_limit,ts,source,source_doi,source_url
magic_joint_crab,MAGIC,0.127012252,,5.887053774122135e-11,6.128537760213022e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,0.210012728,,6.218103415431535e-11,3.9677273186347064e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,0.3459757157,,5.231570491122267e-11,2.7534417281983655e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,0.5699616255,,4.28866571524348e-11,2.274405906733502e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,0.9400384471,,3.1367952155517456e-11,2.032235354644424e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,1.550049675,,2.3736459010174278e-11,1.7778938598601482e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,2.5541453979,,1.754675446103154e-11,1.891801400469057e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,4.2115854476,,1.2063588739117761e-11,1.9514078121301574e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
magic_joint_crab,MAGIC,6.9429752385,,5.54358352975456e-12,2.5548057019036516e-12,False,,"open-gamma-ray-astro/joint-crab data/other/crab_mwl.fits.gz, paper=magic, component=nebula",10.1086/525270,https://github.com/open-gamma-ray-astro/joint-crab
hess_2024_stereo,H.E.S.S.,0.604296,,5.35379e-11,1.85923e-12,False,,"H.E.S.S. 2024 official auxiliary data, Crab2024_flux_points_hess_stereo.ecsv",10.1051/0004-6361/202348651,https://hess-experiment.eu/publications/2024/06/PUB25655/
hess_2024_stereo,H.E.S.S.,0.697831,,4.64278e-11,1.59802e-12,False,,"H.E.S.S. 2024 official auxiliary data, Crab2024_flux_points_hess_stereo.ecsv",10.1051/0004-6361/202348651,https://hess-experiment.eu/publications/2024/06/PUB25655/
hess_2024_stereo,H.E.S.S.,0.805842,,4.35452e-11,1.21373e-12,False,,"H.E.S.S. 2024 official auxiliary data, Crab2024_flux_points_hess_stereo.ecsv",10.1051/0004-6361/202348651,https://hess-experiment.eu/publications/2024/06/PUB25655/
hess_2024_stereo,H.E.S.S.,0.930572,,3.91649e-11,1.11401e-12,False,,"H.E.S.S. 2024 official auxiliary data, Crab2024_flux_points_hess_stereo.ecsv",10.1051/0004-6361/202348651,https://hess-experiment.eu/publications/2024/06/PUB25655/
