run,spectrum,nhit_bin,cells,total_excess,total_expected_counts,total_observed_over_expected,valid_ratio_cells,median_observed_over_expected,cells_observed_over_expected_gt_1,cells_observed_over_expected_gt_1p5
active_psfborrow_30cell,official_pass5,"[1100,2000)",5,299.66064746538314,258.81921413236535,1.157799077900494,5,1.2059516890796915,4,1
active_psfborrow_30cell,official_pass5,"[125,200)",4,6403.029978628871,3684.400102246001,1.7378758552106215,4,1.9567093136515554,4,4
active_psfborrow_30cell,official_pass5,"[200,300)",4,4940.99314341808,2781.055156207994,1.7766613266869509,4,2.414602514785115,4,3
active_psfborrow_30cell,official_pass5,"[2000,3000)",3,19.460146955911235,8.785939840552071,2.21491921286459,3,1.9083738913412704,2,2
active_psfborrow_30cell,official_pass5,"[300,500)",5,4147.588186822876,2506.7238217863387,1.654585220268592,5,1.5033793504201889,5,3
active_psfborrow_30cell,official_pass5,"[500,800)",5,1702.8854428214722,1247.827823234303,1.3646798148863872,5,1.377143185966722,5,2
active_psfborrow_30cell,official_pass5,"[800,1100)",4,568.9434294691202,437.4865444423602,1.3004821215571805,4,1.2146175255549665,4,1
active_psfborrow_30cell,tutorial_v099,"[1100,2000)",5,299.66064746538314,281.03891883915844,1.0662603197562188,5,1.1044742476361076,4,1
active_psfborrow_30cell,tutorial_v099,"[125,200)",4,6403.029978628871,3928.665822068038,1.6298230159108658,4,1.8441634231471153,4,3
active_psfborrow_30cell,tutorial_v099,"[200,300)",4,4940.99314341808,2950.7824855508607,1.6744687782351673,4,2.2808392538681956,4,3
active_psfborrow_30cell,tutorial_v099,"[2000,3000)",3,19.460146955911235,9.724929031192595,2.0010579916308946,3,1.71902423075759,2,2
active_psfborrow_30cell,tutorial_v099,"[300,500)",5,4147.588186822876,2653.7786053740715,1.5628990973187231,5,1.424702908174817,5,2
active_psfborrow_30cell,tutorial_v099,"[500,800)",5,1702.8854428214722,1327.9312492306094,1.2823596430975683,5,1.3054816903658217,5,2
active_psfborrow_30cell,tutorial_v099,"[800,1100)",4,568.9434294691202,471.6258264214456,1.2063449404077196,4,1.1225542805034605,4,1
legacy_nominal_stagef31,official_pass5,"[1100,2000)",5,251.54645576308792,186.41655134786998,1.3493783354766589,4,1.275000659758355,4,1
legacy_nominal_stagef31,official_pass5,"[125,200)",3,5087.894126247073,2857.784255047269,1.78036327174142,3,2.2764534883852847,3,3
legacy_nominal_stagef31,official_pass5,"[200,300)",4,4940.99314341808,2781.055156207994,1.7766613266869509,4,2.414602514785115,4,3
legacy_nominal_stagef31,official_pass5,"[2000,3000)",4,22.28381890402175,13.390014668193846,1.6642116873071038,4,1.3608676583374737,2,2
legacy_nominal_stagef31,official_pass5,"[300,500)",5,3394.243036599738,1906.5288281544445,1.7803261018011611,5,2.903527487847141,5,4
legacy_nominal_stagef31,official_pass5,"[500,800)",5,1388.2548718941493,1021.2227250411286,1.3594046018102848,5,1.3618525849380925,5,2
legacy_nominal_stagef31,official_pass5,"[800,1100)",5,440.3342692058682,307.6955080635817,1.4310714900487864,5,3.791189875349483,5,3
legacy_nominal_stagef31,tutorial_v099,"[1100,2000)",5,251.54645576308792,202.52518894566165,1.242050221370631,4,1.1707009017133094,4,1
legacy_nominal_stagef31,tutorial_v099,"[125,200)",3,5087.894126247073,3040.0199396876133,1.6736384060592362,3,2.150898184557199,3,3
legacy_nominal_stagef31,tutorial_v099,"[200,300)",4,4940.99314341808,2950.7824855508607,1.6744687782351673,4,2.2808392538681956,4,3
legacy_nominal_stagef31,tutorial_v099,"[2000,3000)",4,22.28381890402175,14.780348681770704,1.5076653050482784,4,1.227676242659599,2,2
legacy_nominal_stagef31,tutorial_v099,"[300,500)",5,3394.243036599738,2018.5921586712982,1.681490251519622,5,2.712733043750854,5,3
legacy_nominal_stagef31,tutorial_v099,"[500,800)",5,1388.2548718941493,1089.1392702907244,1.2746348513570553,5,1.284311130476828,4,2
legacy_nominal_stagef31,tutorial_v099,"[800,1100)",5,440.3342692058682,332.81679254655313,1.3230530401926037,5,3.49378698710075,5,3
