fake_source,selector,cell_id,nhit_bin,predE_bin,N_on,B_on,excess,excess_over_sqrt_N_plus_B
offsource_ra93p63,active_psfborrow_30cell,1,"[125,200)","[2,2.5)",606,996.2718254372742,-390.2718254372742,-9.749876211021926
offsource_ra93p63,active_psfborrow_30cell,2,"[125,200)","[2.5,3)",1169,2212.6134182074325,-1043.6134182074325,-17.946413719189025
offsource_ra93p63,active_psfborrow_30cell,3,"[125,200)","[3,3.25)",390,566.8623703685353,-176.86237036853527,-5.717559639036506
offsource_ra93p63,active_psfborrow_30cell,4,"[125,200)","[3.25,3.5)",503,673.7021974462117,-170.7021974462117,-4.976291696500005
offsource_ra93p63,active_psfborrow_30cell,14,"[200,300)","[2.5,3)",96,219.61429745602385,-123.61429745602385,-6.958095266890482
offsource_ra93p63,active_psfborrow_30cell,15,"[200,300)","[3,3.25)",50,108.48730666739172,-58.48730666739172,-4.64584140362164
offsource_ra93p63,active_psfborrow_30cell,16,"[200,300)","[3.25,3.5)",53,106.50626543230005,-53.506265432300054,-4.2365834585691005
offsource_ra93p63,active_psfborrow_30cell,17,"[200,300)","[3.5,3.75)",109,162.10444390539533,-53.10444390539533,-3.2252437857296354
offsource_ra93p63,active_psfborrow_30cell,26,"[300,500)","[2.5,3)",5,18.993724548039296,-13.993724548039296,-2.8568305843791957
offsource_ra93p63,active_psfborrow_30cell,27,"[300,500)","[3,3.25)",13,31.47069801143626,-18.47069801143626,-2.7697867586884173
offsource_ra93p63,active_psfborrow_30cell,28,"[300,500)","[3.25,3.5)",11,24.66923083527851,-13.669230835278508,-2.288743929397506
offsource_ra93p63,active_psfborrow_30cell,29,"[300,500)","[3.5,3.75)",7,23.386094455162535,-16.386094455162535,-2.972610532205885
offsource_ra93p63,active_psfborrow_30cell,30,"[300,500)","[3.75,4.0)",34,71.05762064547915,-37.05762064547915,-3.6154615802782057
offsource_ra93p63,active_psfborrow_30cell,39,"[500,800)","[3,3.25)",20,345.49706993907495,-325.49706993907495,-17.02570615310706
offsource_ra93p63,active_psfborrow_30cell,40,"[500,800)","[3.25,3.5)",2,5.638737332589081,-3.6387373325890806,-1.3165577632390137
offsource_ra93p63,active_psfborrow_30cell,41,"[500,800)","[3.5,3.75)",1,1.9823825650084066,-0.9823825650084066,-0.5688515820530415
offsource_ra93p63,active_psfborrow_30cell,42,"[500,800)","[3.75,4.0)",0,6.007912398972515,-6.007912398972515,-2.4511043223356515
offsource_ra93p63,active_psfborrow_30cell,43,"[500,800)","[4.0,4.25)",3,21.083501805617985,-18.083501805617985,-3.684874629820833
offsource_ra93p63,active_psfborrow_30cell,52,"[800,1100)","[3.25,3.5)",8,187.7466937130161,-179.7466937130161,-12.847354060334977
offsource_ra93p63,active_psfborrow_30cell,53,"[800,1100)","[3.5,3.75)",0,2.8459896638996836,-2.8459896638996836,-1.6870061244404786
offsource_ra93p63,active_psfborrow_30cell,54,"[800,1100)","[3.75,4.0)",1,1.1592143182385672,-0.15921431823856724,-0.10835132979672689
offsource_ra93p63,active_psfborrow_30cell,55,"[800,1100)","[4.0,4.25)",0,1.3657909450585706,-1.3657909450585706,-1.1686705887710918
offsource_ra93p63,active_psfborrow_30cell,65,"[1100,2000)","[3.5,3.75)",2,66.07755623175146,-64.07755623175146,-7.766117581807557
offsource_ra93p63,active_psfborrow_30cell,66,"[1100,2000)","[3.75,4.0)",0,0.5036050461743868,-0.5036050461743868,-0.7096513553671175
offsource_ra93p63,active_psfborrow_30cell,67,"[1100,2000)","[4.0,4.25)",0,0.34075308512599234,-0.34075308512599234,-0.5837405974625993
offsource_ra93p63,active_psfborrow_30cell,68,"[1100,2000)","[4.25,4.5)",0,0.16423360325340047,-0.16423360325340047,-0.405257453051021
offsource_ra93p63,active_psfborrow_30cell,69,"[1100,2000)","[4.5,4.75)",0,1.5163908827192816,-1.5163908827192816,-1.231418240371354
offsource_ra93p63,active_psfborrow_30cell,81,"[2000,3000)","[4.5,4.75)",0,0.08796486708043656,-0.08796486708043656,-0.29658871704843487
offsource_ra93p63,active_psfborrow_30cell,82,"[2000,3000)","[4.75,5.0)",0,0.2181597943296217,-0.2181597943296217,-0.467075790776638
offsource_ra93p63,active_psfborrow_30cell,83,"[2000,3000)","[5,6)",1,0.4157959563330902,0.5842040436669098,0.4909804785841245
offsource_ra93p63,legacy_nominal_stagef31,2,"[125,200)","[2.5,3)",1169,2212.6134182074325,-1043.6134182074325,-17.946413719189025
offsource_ra93p63,legacy_nominal_stagef31,3,"[125,200)","[3,3.25)",390,566.8623703685353,-176.86237036853527,-5.717559639036506
offsource_ra93p63,legacy_nominal_stagef31,4,"[125,200)","[3.25,3.5)",503,673.7021974462117,-170.7021974462117,-4.976291696500005
offsource_ra93p63,legacy_nominal_stagef31,14,"[200,300)","[2.5,3)",96,219.61429745602385,-123.61429745602385,-6.958095266890482
offsource_ra93p63,legacy_nominal_stagef31,15,"[200,300)","[3,3.25)",50,108.48730666739172,-58.48730666739172,-4.64584140362164
offsource_ra93p63,legacy_nominal_stagef31,16,"[200,300)","[3.25,3.5)",53,106.50626543230005,-53.506265432300054,-4.2365834585691005
offsource_ra93p63,legacy_nominal_stagef31,17,"[200,300)","[3.5,3.75)",109,162.10444390539533,-53.10444390539533,-3.2252437857296354
offsource_ra93p63,legacy_nominal_stagef31,27,"[300,500)","[3,3.25)",13,31.47069801143626,-18.47069801143626,-2.7697867586884173
offsource_ra93p63,legacy_nominal_stagef31,28,"[300,500)","[3.25,3.5)",11,24.66923083527851,-13.669230835278508,-2.288743929397506
offsource_ra93p63,legacy_nominal_stagef31,29,"[300,500)","[3.5,3.75)",7,23.386094455162535,-16.386094455162535,-2.972610532205885
offsource_ra93p63,legacy_nominal_stagef31,30,"[300,500)","[3.75,4.0)",34,71.05762064547915,-37.05762064547915,-3.6154615802782057
offsource_ra93p63,legacy_nominal_stagef31,31,"[300,500)","[4.0,4.25)",44,67.47764877922262,-23.47764877922262,-2.223620663931633
offsource_ra93p63,legacy_nominal_stagef31,40,"[500,800)","[3.25,3.5)",2,5.638737332589081,-3.6387373325890806,-1.3165577632390137
offsource_ra93p63,legacy_nominal_stagef31,41,"[500,800)","[3.5,3.75)",1,1.9823825650084066,-0.9823825650084066,-0.5688515820530415
offsource_ra93p63,legacy_nominal_stagef31,42,"[500,800)","[3.75,4.0)",0,6.007912398972515,-6.007912398972515,-2.4511043223356515
offsource_ra93p63,legacy_nominal_stagef31,43,"[500,800)","[4.0,4.25)",3,21.083501805617985,-18.083501805617985,-3.684874629820833
offsource_ra93p63,legacy_nominal_stagef31,44,"[500,800)","[4.25,4.5)",6,13.108850735565728,-7.108850735565728,-1.6262305352523794
offsource_ra93p63,legacy_nominal_stagef31,53,"[800,1100)","[3.5,3.75)",0,2.8459896638996836,-2.8459896638996836,-1.6870061244404786
offsource_ra93p63,legacy_nominal_stagef31,54,"[800,1100)","[3.75,4.0)",1,1.1592143182385672,-0.15921431823856724,-0.10835132979672689
offsource_ra93p63,legacy_nominal_stagef31,55,"[800,1100)","[4.0,4.25)",0,1.3657909450585706,-1.3657909450585706,-1.1686705887710918
offsource_ra93p63,legacy_nominal_stagef31,56,"[800,1100)","[4.25,4.5)",1,0.47237248699848594,0.527627513001514,0.4348290862385909
offsource_ra93p63,legacy_nominal_stagef31,57,"[800,1100)","[4.5,4.75)",0,2.4171856282791633,-2.4171856282791633,-1.5547300821297447
offsource_ra93p63,legacy_nominal_stagef31,66,"[1100,2000)","[3.75,4.0)",0,0.5036050461743868,-0.5036050461743868,-0.7096513553671175
offsource_ra93p63,legacy_nominal_stagef31,67,"[1100,2000)","[4.0,4.25)",0,0.34075308512599234,-0.34075308512599234,-0.5837405974625993
offsource_ra93p63,legacy_nominal_stagef31,68,"[1100,2000)","[4.25,4.5)",0,0.16423360325340047,-0.16423360325340047,-0.405257453051021
offsource_ra93p63,legacy_nominal_stagef31,69,"[1100,2000)","[4.5,4.75)",0,1.5163908827192816,-1.5163908827192816,-1.231418240371354
offsource_ra93p63,legacy_nominal_stagef31,70,"[1100,2000)","[4.75,5.0)",0,10.16600347142754,-10.16600347142754,-3.188417079277355
offsource_ra93p63,legacy_nominal_stagef31,80,"[2000,3000)","[4.25,4.5)",0,9.601814971580126,-9.601814971580126,-3.0986795529031594
offsource_ra93p63,legacy_nominal_stagef31,81,"[2000,3000)","[4.5,4.75)",0,0.08796486708043656,-0.08796486708043656,-0.29658871704843487
offsource_ra93p63,legacy_nominal_stagef31,82,"[2000,3000)","[4.75,5.0)",0,0.2181597943296217,-0.2181597943296217,-0.467075790776638
offsource_ra93p63,legacy_nominal_stagef31,83,"[2000,3000)","[5,6)",1,0.4157959563330902,0.5842040436669098,0.4909804785841245
offsource_ra73p63,active_psfborrow_30cell,1,"[125,200)","[2,2.5)",921,1497.5995949472042,-576.5995949472042,-11.724446387276119
offsource_ra73p63,active_psfborrow_30cell,2,"[125,200)","[2.5,3)",1324,2516.118045240358,-1192.1180452403578,-19.237426546946264
offsource_ra73p63,active_psfborrow_30cell,3,"[125,200)","[3,3.25)",453,577.2763612334079,-124.2763612334079,-3.8717888166091803
offsource_ra73p63,active_psfborrow_30cell,4,"[125,200)","[3.25,3.5)",532,656.206827891872,-124.20682789187197,-3.6032919270171124
offsource_ra73p63,active_psfborrow_30cell,14,"[200,300)","[2.5,3)",136,297.5150144344016,-161.51501443440162,-7.757304312843132
offsource_ra73p63,active_psfborrow_30cell,15,"[200,300)","[3,3.25)",55,125.05771800474358,-70.05771800474358,-5.220956996160319
offsource_ra73p63,active_psfborrow_30cell,16,"[200,300)","[3.25,3.5)",88,109.99203529276814,-21.992035292768136,-1.5629373283590584
offsource_ra73p63,active_psfborrow_30cell,17,"[200,300)","[3.5,3.75)",153,192.4703880180553,-39.4703880180553,-2.123567068844556
offsource_ra73p63,active_psfborrow_30cell,26,"[300,500)","[2.5,3)",4,17.586986477322547,-13.586986477322547,-2.9243350758997986
offsource_ra73p63,active_psfborrow_30cell,27,"[300,500)","[3,3.25)",19,30.883801826690117,-11.883801826690117,-1.682579635619649
offsource_ra73p63,active_psfborrow_30cell,28,"[300,500)","[3.25,3.5)",12,19.319055069896834,-7.319055069896834,-1.3078281761233352
offsource_ra73p63,active_psfborrow_30cell,29,"[300,500)","[3.5,3.75)",14,20.33224946179938,-6.332249461799378,-1.0807043162382959
offsource_ra73p63,active_psfborrow_30cell,30,"[300,500)","[3.75,4.0)",45,70.96701141585696,-25.96701141585696,-2.411319378279965
offsource_ra73p63,active_psfborrow_30cell,39,"[500,800)","[3,3.25)",23,306.9417453926966,-283.9417453926966,-15.631858454155132
offsource_ra73p63,active_psfborrow_30cell,40,"[500,800)","[3.25,3.5)",1,1.8425920462917995,-0.8425920462917995,-0.49975838212595963
offsource_ra73p63,active_psfborrow_30cell,41,"[500,800)","[3.5,3.75)",0,1.0617378030843145,-1.0617378030843145,-1.0304066202642113
offsource_ra73p63,active_psfborrow_30cell,42,"[500,800)","[3.75,4.0)",0,2.9029240072198865,-2.9029240072198865,-1.7037969383761338
offsource_ra73p63,active_psfborrow_30cell,43,"[500,800)","[4.0,4.25)",4,8.598646027582303,-4.598646027582303,-1.2955913648489683
offsource_ra73p63,active_psfborrow_30cell,52,"[800,1100)","[3.25,3.5)",6,146.97186320562366,-140.97186320562366,-11.397947744703048
offsource_ra73p63,active_psfborrow_30cell,53,"[800,1100)","[3.5,3.75)",2,0.34998586714235946,1.6500141328576405,1.0763537763889421
offsource_ra73p63,active_psfborrow_30cell,54,"[800,1100)","[3.75,4.0)",1,0.3852075586058716,0.6147924413941284,0.5223614191037147
offsource_ra73p63,active_psfborrow_30cell,55,"[800,1100)","[4.0,4.25)",0,1.9389948416194454,-1.9389948416194454,-1.3924779501376117
offsource_ra73p63,active_psfborrow_30cell,65,"[1100,2000)","[3.5,3.75)",0,59.40652392358821,-59.40652392358821,-7.707562774547361
offsource_ra73p63,active_psfborrow_30cell,66,"[1100,2000)","[3.75,4.0)",0,0.0,0.0,
offsource_ra73p63,active_psfborrow_30cell,67,"[1100,2000)","[4.0,4.25)",0,0.07209725376912288,-0.07209725376912288,-0.26850931784413534
offsource_ra73p63,active_psfborrow_30cell,68,"[1100,2000)","[4.25,4.5)",0,0.019887225086212268,-0.019887225086212268,-0.14102207304607411
offsource_ra73p63,active_psfborrow_30cell,69,"[1100,2000)","[4.5,4.75)",0,0.2643881103359974,-0.2643881103359974,-0.5141868437990197
offsource_ra73p63,active_psfborrow_30cell,81,"[2000,3000)","[4.5,4.75)",0,0.0,0.0,
offsource_ra73p63,active_psfborrow_30cell,82,"[2000,3000)","[4.75,5.0)",0,0.0,0.0,
offsource_ra73p63,active_psfborrow_30cell,83,"[2000,3000)","[5,6)",0,0.048217996263883456,-0.048217996263883456,-0.21958596554398338
offsource_ra73p63,legacy_nominal_stagef31,2,"[125,200)","[2.5,3)",1324,2516.118045240358,-1192.1180452403578,-19.237426546946264
offsource_ra73p63,legacy_nominal_stagef31,3,"[125,200)","[3,3.25)",453,577.2763612334079,-124.2763612334079,-3.8717888166091803
offsource_ra73p63,legacy_nominal_stagef31,4,"[125,200)","[3.25,3.5)",532,656.206827891872,-124.20682789187197,-3.6032919270171124
offsource_ra73p63,legacy_nominal_stagef31,14,"[200,300)","[2.5,3)",136,297.5150144344016,-161.51501443440162,-7.757304312843132
offsource_ra73p63,legacy_nominal_stagef31,15,"[200,300)","[3,3.25)",55,125.05771800474358,-70.05771800474358,-5.220956996160319
offsource_ra73p63,legacy_nominal_stagef31,16,"[200,300)","[3.25,3.5)",88,109.99203529276814,-21.992035292768136,-1.5629373283590584
offsource_ra73p63,legacy_nominal_stagef31,17,"[200,300)","[3.5,3.75)",153,192.4703880180553,-39.4703880180553,-2.123567068844556
offsource_ra73p63,legacy_nominal_stagef31,27,"[300,500)","[3,3.25)",19,30.883801826690117,-11.883801826690117,-1.682579635619649
offsource_ra73p63,legacy_nominal_stagef31,28,"[300,500)","[3.25,3.5)",12,19.319055069896834,-7.319055069896834,-1.3078281761233352
offsource_ra73p63,legacy_nominal_stagef31,29,"[300,500)","[3.5,3.75)",14,20.33224946179938,-6.332249461799378,-1.0807043162382959
offsource_ra73p63,legacy_nominal_stagef31,30,"[300,500)","[3.75,4.0)",45,70.96701141585696,-25.96701141585696,-2.411319378279965
offsource_ra73p63,legacy_nominal_stagef31,31,"[300,500)","[4.0,4.25)",62,84.81745848194524,-22.817458481945238,-1.8831218304870208
offsource_ra73p63,legacy_nominal_stagef31,40,"[500,800)","[3.25,3.5)",1,1.8425920462917995,-0.8425920462917995,-0.49975838212595963
offsource_ra73p63,legacy_nominal_stagef31,41,"[500,800)","[3.5,3.75)",0,1.0617378030843145,-1.0617378030843145,-1.0304066202642113
offsource_ra73p63,legacy_nominal_stagef31,42,"[500,800)","[3.75,4.0)",0,2.9029240072198865,-2.9029240072198865,-1.7037969383761338
offsource_ra73p63,legacy_nominal_stagef31,43,"[500,800)","[4.0,4.25)",4,8.598646027582303,-4.598646027582303,-1.2955913648489683
offsource_ra73p63,legacy_nominal_stagef31,44,"[500,800)","[4.25,4.5)",9,10.465436105465248,-1.4654361054652476,-0.33215042955285246
offsource_ra73p63,legacy_nominal_stagef31,53,"[800,1100)","[3.5,3.75)",2,0.34998586714235946,1.6500141328576405,1.0763537763889421
offsource_ra73p63,legacy_nominal_stagef31,54,"[800,1100)","[3.75,4.0)",1,0.3852075586058716,0.6147924413941284,0.5223614191037147
offsource_ra73p63,legacy_nominal_stagef31,55,"[800,1100)","[4.0,4.25)",0,1.9389948416194454,-1.9389948416194454,-1.3924779501376117
offsource_ra73p63,legacy_nominal_stagef31,56,"[800,1100)","[4.25,4.5)",1,4.185716212948916,-3.1857162129489156,-1.39895167484126
offsource_ra73p63,legacy_nominal_stagef31,57,"[800,1100)","[4.5,4.75)",0,2.944756142570207,-2.944756142570207,-1.716029178822495
offsource_ra73p63,legacy_nominal_stagef31,66,"[1100,2000)","[3.75,4.0)",0,0.0,0.0,
offsource_ra73p63,legacy_nominal_stagef31,67,"[1100,2000)","[4.0,4.25)",0,0.07209725376912288,-0.07209725376912288,-0.26850931784413534
offsource_ra73p63,legacy_nominal_stagef31,68,"[1100,2000)","[4.25,4.5)",0,0.019887225086212268,-0.019887225086212268,-0.14102207304607411
offsource_ra73p63,legacy_nominal_stagef31,69,"[1100,2000)","[4.5,4.75)",0,0.2643881103359974,-0.2643881103359974,-0.5141868437990197
offsource_ra73p63,legacy_nominal_stagef31,70,"[1100,2000)","[4.75,5.0)",2,23.628762222979326,-21.628762222979326,-4.272360098157259
offsource_ra73p63,legacy_nominal_stagef31,80,"[2000,3000)","[4.25,4.5)",0,6.2702250357185045,-6.2702250357185045,-2.504041740011237
offsource_ra73p63,legacy_nominal_stagef31,81,"[2000,3000)","[4.5,4.75)",0,0.0,0.0,
offsource_ra73p63,legacy_nominal_stagef31,82,"[2000,3000)","[4.75,5.0)",0,0.0,0.0,
offsource_ra73p63,legacy_nominal_stagef31,83,"[2000,3000)","[5,6)",0,0.048217996263883456,-0.048217996263883456,-0.21958596554398338
