cell_id,nhit_bin,predE_bin,N_on,B_on,excess,significance,fit_reliable,unreliable_reason,fit_status,fit_reason,fit_radius_deg,sigma_obs_deg,sigma_mc_deg,sigma_obs_over_mc,r68_obs_deg,r68_mc_deg,r68_obs_over_mc,r90_mc_deg,profile_residual_rms,fit_chi2_over_ndof,psf_risk_cell
1,"[125,200)","[2,2.5)",21284.0,20166.67190957375,1117.3280904262501,5.488010454006563,1,,fit,,2.0,0.36829810901001114,0.4946882128715515,0.7445055277790533,0.5559799472781378,1.28752601146698,0.4318203611627745,47.496299743652344,0.3424102304375436,0.6059168757346768,0
2,"[125,200)","[2.5,3)",40293.0,36636.0245684182,3656.975431581799,13.184902717218803,1,,fit,,2.0,0.39126807563959953,0.4564227759838104,0.8572492351991611,0.5906552294022499,0.7636242508888245,0.7734893551570077,29.68386459350586,0.1682463453718618,1.0137062283019647,0
3,"[125,200)","[3,3.25)",9462.0,8804.991049714441,657.008950285559,4.861136071680439,0,significance_lt_5,fit,,2.0,0.36173526140155726,0.49862000346183777,0.7254728227710241,0.5460727238141057,0.8450322151184082,0.6462152732693018,21.646221160888672,0.3445239080338471,0.5477150939906672,0
4,"[125,200)","[3.25,3.5)",7577.0,7565.296596467235,11.70340353276515,0.09510783714282157,0,excess_lt_100;significance_lt_5,fit,,2.5,0.332202447163515,0.6729716062545776,0.49363516094295146,0.5014902182259614,1.4702430963516235,0.3410934011323696,27.53646469116211,0.7420304077648998,0.9120291387845114,0
15,"[200,300)","[2.5,3)",10510.0,8162.742535233186,2347.2574647668143,17.177370154139428,1,,fit,,2.0,0.3420467185761958,0.35078760981559753,0.9750820981277056,0.5163510534220096,0.5932815074920654,0.8703306051198896,38.71220397949219,0.19666056027970624,1.484187620070838,0
16,"[200,300)","[3,3.25)",4457.0,3144.754703328159,1312.245296671841,15.050748514398297,1,,fit,,2.0,0.332202447163515,0.34611910581588745,0.9597922841630846,0.5014902182259614,0.5222606658935547,0.9602297300485834,6.4036359786987305,0.15482734510066606,0.5482934853676651,0
17,"[200,300)","[3.25,3.5)",2918.0,2503.606544448994,414.3934555510059,5.627932624887293,1,,fit,,2.0,0.292825361512792,0.4612311124801636,0.6348777296010917,0.4420468774417691,0.7182450294494629,0.6154541407416345,23.379953384399414,0.3302132799287775,0.5025655972000579,0
18,"[200,300)","[3.5,3.75)",2441.0,2335.539146149385,105.46085385061497,1.5259300040213366,0,significance_lt_5,fit,,2.5,0.17469410456062293,0.6538428068161011,0.26718058643376214,0.2637168550891922,1.114518165588379,0.23661961126490047,17.23309898376465,0.49562107368761527,0.4301319891095085,0
28,"[300,500)","[2.5,3)",1834.0,1008.1763978151656,825.8236021848344,15.490369474131597,1,,fit,,2.0,0.2698553948832036,0.2667159140110016,1.0117708794536815,0.407371595317657,0.5243837237358093,0.7768578178122393,43.05885696411133,0.16550602390278568,0.6528810624488255,0
29,"[300,500)","[3,3.25)",3067.0,1545.4190467047654,1521.5809532952346,22.404264170309965,1,,fit,,2.0,0.28298109010011124,0.25069257616996765,1.1287972481014046,0.42718604224572104,0.44647330045700073,0.9568008698582028,42.435791015625,0.14844935351867916,2.37606484853001,0
