tau,npts,chi2,ndof,chi2_ndof,max_abs_pull,max_overlap,group_index,nhit,cells,predE,E50,p16,p84,sigma68,excess,err,model,pull,obs_model_ratio
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,1,"[125,200)",1;2;3,"[2,2.5)..[3,3.25)",0.45435295115526136,0.234950561728035,0.8316294933395774,0.27447669764528837,5431.312467886768,369.6575273575708,5891.726151963702,-1.2455141583836185,0.921854194814625
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,2,"[200,300)",14;15;16,"[2.5,3)..[3.25,3.5)",0.7235823223998752,0.41197641234508603,1.256455756398081,0.24213742455278475,4073.896226117965,178.03399611838753,3948.5461544788477,0.7040794138876881,1.0317458798086816
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,3,"[300,500)",26;27;28;29,"[2.5,3)..[3.5,3.75)",1.1517877993193804,0.6708793509199145,1.9665125751551054,0.23352615151892997,3479.9478306976894,109.13318546300347,3382.6514940750794,0.8915375851059872,1.0287633345595992
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,4,"[300,500)",30,"[3.75,4.0)",5.198551667715338,3.061372893434971,8.056720123706725,0.21012102240389585,105.27744444227983,40.947802817217436,63.446661782264954,1.021563546321127,1.6593062816065716
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,5,"[500,800)",40;41;42,"[3.25,3.5)..[3.75,4.0)",2.43323632275016,1.6184211543971248,3.780991691435411,0.18425708827676823,1201.056810782375,51.98983736479299,1264.9230156102326,-1.2284363265022882,0.9495098088660779
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,6,"[800,1100)",52;53;54;55,"[3.25,3.5)..[4.0,4.25)",3.958418195431338,2.6568005759098616,6.1584067909563895,0.1825547079607317,513.5152226673823,30.141081223682367,493.36716811653093,0.6684582547430552,1.0408378502926496
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,7,"[1100,2000)",65;66;67,"[3.5,3.75)..[4.0,4.25)",7.619364845557113,5.059728411330851,11.875295345148995,0.18525860676524575,230.37913754229874,18.044967787660394,246.28351094021062,-0.8813744410664838,0.9354225001211188
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,8,"[1100,2000)",68;69,"[4.25,4.5)..[4.5,4.75)",18.418943809807256,12.931820861154577,26.43621291199294,0.1552697805218073,51.059945170415524,11.355177445975228,27.013703369805203,2.11764562156916,1.890149768487064
0.3,9,12.544730180170111,6,2.090788363361685,2.11764562156916,0.25970536119964727,9,"[2000,3000)",81;82;83,"[4.5,4.75)..[5,6)",46.32823054335853,31.260270765976696,72.63878632274192,0.18308792189950296,16.453911220065258,7.7166112238426745,7.187133829732274,1.2008869076753055,2.2893564541677915
0.35,10,16.563286167118232,7,2.3661837381597475,2.1688215630817798,0.3327310748377468,1,"[125,200)",1;2;3,"[2,2.5)..[3,3.25)",0.45435295115526136,0.234950561728035,0.8316294933395774,0.27447669764528837,5431.312467886768,369.6575273575708,5757.407767625357,-0.8821551723012971,0.9433607427335154
