label,family,parameter,value,chi2,ndof,chi2_over_ndof,delta_chi2_vs_baseline,max_abs_pull,low_mid_chi2,target_chi2,total_excess,total_model,total_obs_over_model,pull_cell_15,pull_cell_16,pull_cell_29,pull_cell_55,pull_cell_65,pull_cell_69,model_cell_15,model_cell_16,model_cell_29,model_cell_55,model_cell_65,model_cell_69
baseline,response_migration,baseline,0.0,117.29485852619563,23,5.099776457660679,0.0,5.537946645622887,64.5076386916858,84.20927829139596,15102.898996527238,13959.41094528175,1.0819152080075403,5.537946645622887,2.1299056935916694,3.0098080955853352,3.970955641329186,-3.9240914092000083,2.962768994137671,829.4025670917723,257.56518379739805,202.80116670706394,19.439929058068643,76.08880391802298,3.1977526998855077
left_0.05,response_migration,left,0.05,88.59946896382344,23,3.8521508245140628,-28.695389562372185,4.3529938738037215,42.422467161082025,61.448483871233016,15102.898996527238,14407.450592196114,1.0482700530451805,4.3529938738037215,1.71894566786202,2.429284519206598,3.681111645809017,-3.4410227279240977,2.8727182873614465,932.7162793951237,287.82481134000045,227.72959406091516,22.90673178124024,72.25223343203444,3.9233666194575108
left_0.10,response_migration,left,0.1,72.20228681592484,23,3.1392298615619496,-45.09257171027079,3.405343172308052,28.187729944880342,43.097593279569736,15102.898996527238,14781.1115795974,1.0217701771072485,3.1415817766679015,1.3104729217111557,1.8620938569005614,3.405343172308052,-2.9462342557676493,2.786873875615666,1038.336928471414,317.90129660857093,252.08548897439638,26.205178220271243,68.32258342022058,4.615086899177229
left_0.20,response_migration,left,0.2,80.93064718542907,23,3.518723790670829,-36.36421134076656,3.2967569095477955,27.908831527117837,20.627077314966684,15102.898996527238,15242.798443386286,0.9908219315909311,0.7661014872434073,0.5323889692979613,0.7997318813987008,2.9075250044745737,-1.9288931690297544,2.6349243291373576,1245.4504042491112,375.1928313633114,297.70467552835356,32.15954472971754,60.24277833483811,5.839471581368567
left_0.30,response_migration,left,0.3,147.77554825056507,23,6.42502383698109,30.48068972436944,5.3335822296759,69.3761166917443,14.942469152695438,15102.898996527238,15266.291865489895,0.989297147571768,-1.305547024595475,-0.13485219725336012,-0.11664114473286237,2.4682704577123262,-0.9373893858206264,2.4970318248777086,1426.0733821735437,424.32283894759377,337.05490924917336,37.4134360727069,52.368175201058406,6.950586908248602
right_0.05,response_migration,right,0.05,130.93283559064875,23,5.69273198220212,13.637977064453125,5.6879548175107955,73.17546395574487,89.44276161759691,15102.898996527238,13832.727043967312,1.0918236836831006,5.6879548175107955,2.160283080077468,3.0725022106420092,4.0349896455853775,-4.211878096518101,2.9936232647368106,816.3236482671965,255.3284494601692,200.10900095136228,18.674023040479607,78.3744290343289,2.9491340157411217
right_0.10,response_migration,right,0.1,148.33581338130617,23,6.449383190491573,31.04095485511054,5.855103829000333,84.626395176061,95.0917604400648,15102.898996527238,13683.626621273244,1.1037204839430157,5.855103829000333,2.1959825735021186,3.143595975327418,4.102385825825334,-4.486432164617381,3.024457214249311,801.7502531956712,252.69984008977715,197.05614346135783,17.867902283111746,80.55495961995003,2.700679075601133
right_0.20,response_migration,right,0.2,195.7626748812293,23,8.511420647009968,78.46781635503366,6.245213152531311,116.84693118631353,107.60136662843584,15102.898996527238,13308.408357534465,1.13483886207751,6.245213152531311,2.28462068370607,3.312402620944132,4.24674808757136,-4.985253159047338,3.0853781189909535,767.7373850234998,246.17327781382437,189.8073694695188,16.141195882842343,84.51663624938226,2.2097883535182428
right_0.30,response_migration,right,0.3,262.1122645647406,23,11.396185415858287,144.81740603854496,6.721211360527152,163.06211838978234,121.81107133316975,15102.898996527238,12815.760408843502,1.1784629639381756,6.721211360527152,2.400385294537925,3.520475642390358,4.400146196526288,-5.407791656189556,3.1424980066556354,726.2360331659946,237.64934899576775,180.87244690913928,14.30641237835773,87.87247112372773,1.7495256075869101
symmetric_0.05,response_migration,symmetric,0.05,107.95402711802686,23,4.693653352957689,-9.340831408168768,5.02382811652466,56.63900711825243,74.6274942420917,15102.898996527238,14144.122616881472,1.0677862038965524,5.02382811652466,1.9334679843220224,2.738739314938513,3.859492106702978,-3.823593975758878,2.9383845226514618,874.227555115162,272.0291986544827,214.44120800978413,20.77313620173562,75.29064518407347,3.3942387971658863
symmetric_0.10,response_migration,symmetric,0.1,101.68686466801219,23,4.421168029044009,-15.607993858183434,4.503407489150897,51.210630110755105,65.70444512662803,15102.898996527238,14308.596911937524,1.0555122273328585,4.503407489150897,1.7331205431741774,2.4613207600056026,3.747730629815047,-3.717146216472831,2.9153556462614585,919.6020107491016,286.781093166567,226.35391676899508,22.109907010892503,74.44522848163318,3.5798017300833793
symmetric_0.20,response_migration,symmetric,0.2,99.8014703827163,23,4.339194364465926,-17.493388143479322,3.5213992945114962,48.83875946785236,50.19451672452206,15102.898996527238,14561.254331390232,1.0371976653116595,3.466072023564836,1.3255196658900466,1.8902086253413244,3.5213992945114962,-3.49308453148074,2.8721207990875213,1010.0452591235411,316.7933813708938,250.87820473795279,24.817039474206933,72.66571248111124,3.9281810825956875
symmetric_0.30,response_migration,symmetric,0.3,114.3574613141098,23,4.972063535396078,-2.937397212085827,4.532689857637845,59.476768862132666,38.11336144598147,15102.898996527238,14691.006585754316,1.0280370448660971,2.4717881374395043,0.9164369318419184,1.302211416683085,3.2904988603116228,-3.258583884116043,2.8323597840455106,1096.7349245701291,346.9147809995506,276.12755945277553,27.578822593533012,70.80328939823136,4.2485688619219495
