cell_id,nhit_bin,predE_bin,active30,drop4,N_on,B_on,excess,containment_r_opt,official_expected_nominal,official_expected_containment1,official_expected_aperture_response,ratio_nominal,ratio_containment1,ratio_aperture_response,required_delta_b_over_b_nominal,required_delta_b_over_b_containment1,required_delta_b_over_b_aperture_response
1,"[125,200)","[2,2.5)",1,1,21284.0,20166.67191083177,1117.3280891682298,0.5589009523391724,826.6158471987317,1479.0023952170598,1190.4945543770737,1.3516896548193156,0.7554606353455227,0.938541117269429,0.014415479324248488,-0.017934258446212447,-0.0036280882404570313
2,"[125,200)","[2.5,3)",1,1,40293.0,36636.02456968762,3656.9754303123773,0.6565228700637817,2334.4618805638493,3555.796739170799,2779.8193230031366,1.5665175177026653,1.028454576727345,1.3155442873753458,0.03609871882340547,0.002761726806605892,0.023942447839577913
3,"[125,200)","[3,3.25)",1,1,9462.0,8804.991051593839,657.0089484061609,0.6549341678619385,375.02940232170016,572.6215255282835,408.8878176227195,1.7518865036682612,1.1473703294685333,1.6068195727278491,0.032024966798054624,0.009584044138534583,0.02817960056172092
4,"[125,200)","[3.25,3.5)",1,0,7577.0,7565.296604484195,11.703395515804914,0.5925980806350708,148.2929721617196,250.24207301312583,155.022726155302,0.07892076977890684,0.04676829669322249,0.07549470846023205,-0.01805475499334073,-0.031530644463553664,-0.018944310862121002
5,"[125,200)","[3.5,3.75)",0,0,5697.0,5873.257819471917,-176.25781947191717,0.571363091468811,85.44574490232722,149.54719018106448,82.71688683346729,-2.062803942705362,-1.1786100377981876,-2.130856542349986,-0.044558500991835386,-0.055472621782892514,-0.04409387673171645
6,"[125,200)","[3.75,4.0)",0,0,3290.0,3476.474178845861,-186.47417884586093,0.5086243748664856,44.49610022274753,87.48322420534367,42.52791254837024,-4.190798247764882,-2.1315421389609766,-4.384747984838654,-0.06643808272014472,-0.07880323251592639,-0.06587193795014941
7,"[125,200)","[4.0,4.25)",0,0,1697.0,1469.6073374881503,227.39266251184972,0.42438438534736633,17.324558760676936,40.82279970432105,16.462826365712626,13.125451889024886,5.570236832330254,13.812492306026128,0.14294165413614546,0.12695218515063586,0.14352802327910114
8,"[125,200)","[4.25,4.5)",0,0,653.0,565.228797723166,87.77120227683395,0.32057854533195496,5.789491531864525,18.059510270313258,5.331988731207916,15.160433657041198,4.860109768375877,16.461250520488278,0.14504163813875928,0.12333358152898574,0.1458510498362869
9,"[125,200)","[4.5,4.75)",0,0,239.0,252.5600606736833,-13.560060673683296,0.255362868309021,2.127343848678399,8.330670244916135,1.840362345682899,-6.374174387514934,-1.627727454697711,-7.368147205082918,-0.06211356015878689,-0.08667534708460117,-0.06097727003345987
10,"[125,200)","[4.75,5.0)",0,0,88.0,164.29849885612612,-76.29849885612612,0.1933191567659378,0.870138239845006,4.501045082141189,0.7508096440757236,-87.68549106601364,-16.951285193488932,-101.62162867533833,-0.4696855883238873,-0.4917850406474032,-0.4689592968690045
11,"[125,200)","[5,6)",0,0,59.0,102.60910474170984,-43.60910474170984,0.11356125771999359,0.5160328723124813,4.544092612859716,0.45238981231574127,-84.50838518539678,-9.596878509539332,-96.39718568921546,-0.4300314063269064,-0.4692877642367309,-0.42941115863878027
12,"[125,200)",>=6,0,0,0.0,0.0,0.0,0.7129790186882019,0.002814822062770673,0.00394797320677068,1.4843274092827257e-05,0.0,0.0,0.0,,,
13,"[200,300)","[2,2.5)",0,0,792.0,714.3597184936035,77.64028150639649,0.5630002617835999,95.90079287263893,170.33880689295358,140.90560378548352,0.8095895683522313,0.4557991389195778,0.5510091821798446,-0.025562067531955817,-0.12976449117544572,-0.08856227561724356
14,"[200,300)","[2.5,3)",1,1,10510.0,8162.742528325416,2347.257471674584,0.64971524477005,1789.9261544256358,2754.939442831042,2271.0593625544752,1.3113711232560812,0.8520178103307003,1.0335517910172112,0.06827745887058924,-0.04994423990978114,0.00933486617465818
15,"[200,300)","[3,3.25)",1,1,4457.0,3144.754706932895,1312.2452930671052,0.702869176864624,684.5883506559871,973.991139730747,767.4085088068825,1.91683847937185,1.3472866841785298,1.7099696941167617,0.19958852149180087,0.10756137914052452,0.1732525538666278
16,"[200,300)","[3.25,3.5)",1,1,2918.0,2503.606538623724,414.3934613762758,0.6853578090667725,212.7113871138614,310.3654533440029,241.9765753897253,1.9481489308066842,1.3351790829534445,1.7125354415354355,0.08055661748402468,0.04155126072224548,0.06886740521189526
17,"[200,300)","[3.5,3.75)",1,0,2441.0,2335.53914749889,105.46085250110991,0.6527048945426941,93.82926401251014,143.75449731880732,96.33253695884828,1.1239654665419623,0.7336177613089016,1.0947583841393185,0.004980258413161667,-0.016396062065029294,0.003908440392462302
18,"[200,300)","[3.75,4.0)",0,0,1846.0,1875.044406957802,-29.04440695780204,0.6388174891471863,54.81703250309622,85.81016242413197,51.13615232884328,-0.5298427447009564,-0.3384728118127186,-0.5679818608765286,-0.04472504179085587,-0.06125431960743894,-0.04276195219116738
19,"[200,300)","[4.0,4.25)",0,0,1065.0,983.2809271234213,81.71907287657871,0.5858429074287415,27.5881011810711,47.09129500629272,25.360198385812744,2.9621129899526486,1.735332886166302,3.2223357102085926,0.05505137972508756,0.03521656620716646,0.057317164338418825
20,"[200,300)","[4.25,4.5)",0,0,460.0,444.94474981246,15.055250187540025,0.5253807306289673,11.944153366698957,22.7342813894218,11.059173883038971,1.2604702673623565,0.6622267900029245,1.3613358779564613,0.00699209693372574,-0.017258392654635014,0.00898106181988969
21,"[200,300)","[4.5,4.75)",0,0,168.0,183.24884157651053,-15.248841576510529,0.44638746976852417,4.811047070410309,10.777737719441577,4.401025910547142,-3.169547367411235,-1.4148462296501878,-3.4648379460721626,-0.10946802432333731,-0.14202861569024117,-0.10723051408133134
22,"[200,300)","[4.75,5.0)",0,0,61.0,49.77909046805358,11.220909531946418,0.35407647490501404,1.7873560098846852,5.047937766450506,1.6330779226708991,6.277937618410088,2.2228700216002233,6.871019059270987,0.18950835447899245,0.12400732330490254,0.19260760932200321
23,"[200,300)","[5,6)",0,0,35.0,26.654958411803058,8.345041588196942,0.1962374895811081,0.9411799804876417,4.796127297065921,0.9150348358410548,8.866573621628916,1.7399541486945322,9.119916817731417,0.27776676644262943,0.1331427435114485,0.27874764002879904
24,"[200,300)",>=6,0,0,0.0,0.0,0.0,0.7129790186882019,0.0030291379633871464,0.004248565363059921,4.019281048140178e-05,0.0,0.0,0.0,,,
25,"[300,500)","[2,2.5)",0,0,17.0,16.58127088639796,0.41872911360204057,0.7129790186882019,1.750914090188075,2.4557722517691367,2.444790710841421,0.23914886284173006,0.17050812154929612,0.17127401202286432,-0.08034275452787276,-0.12285205109568138,-0.12218976525505115
26,"[300,500)","[2.5,3)",1,1,1834.0,1008.1763984630026,825.8236015369974,0.5843835473060608,629.1194873976918,1076.5523606847908,860.182911404161,1.3126657464593223,0.7671002653430571,0.9600558097450744,0.1951088266291369,-0.24869532705788133,-0.03408065286942389
27,"[300,500)","[3,3.25)",1,1,3067.0,1545.419045004803,1521.580954995197,0.6196183562278748,1048.8023905673288,1692.658682599801,1329.8369087587616,1.450779449665564,0.8989295778509575,1.1441861366409245,0.30592256899901155,-0.11069989602986438,0.12407252703155314
28,"[300,500)","[3.25,3.5)",1,1,1706.0,905.5029146436214,800.4970853563786,0.7103378176689148,608.0046981650542,855.9373906915405,677.9500923150175,1.3165968746166972,0.9352285506649385,1.1807610831984638,0.21258063787357737,-0.06122598220126268,0.13533583499241628
29,"[300,500)","[3.5,3.75)",1,1,1088.0,755.9538111908837,332.0461888091163,0.7223257422447205,164.59855536807532,227.8730297726398,194.10731113373853,2.017309253210604,1.4571544036624924,1.7106320564109967,0.22150511177032647,0.13780360320211685,0.18246998114617247
30,"[300,500)","[3.75,4.0)",1,1,891.0,785.7225555577202,105.27744444227983,0.6642460227012634,56.19869028818857,84.60523415653668,62.756729538362926,1.8733077924487906,1.244337250429393,1.6775482918995033,0.0624632114821424,0.0263098089007635,0.05411670392195236
31,"[300,500)","[4.0,4.25)",0,0,538.0,543.8035593692402,-5.803559369240247,0.6733294129371643,28.92449376579772,42.95741907311716,27.79882981788217,-0.2006451492714721,-0.13510028056765,-0.20876991611736795,-0.06386139357991545,-0.08966653050030685,-0.06179141090230808
32,"[300,500)","[4.25,4.5)",0,0,319.0,260.23272869197865,58.76727130802135,0.6463560461997986,15.799223022482993,24.443529406699803,14.887644524258022,3.719630466915552,2.4042056419198468,3.9473854451767427,0.16511392898775992,0.13189633015741242,0.1686168646208253
33,"[300,500)","[4.5,4.75)",0,0,144.0,127.23919931718054,16.760800682819465,0.6165552139282227,8.039113436202,13.03875671569276,7.809383512941203,2.0849066026785588,1.2854600364348427,2.1462386441957366,0.06854559988919873,0.029252337228627422,0.07035109634385756
34,"[300,500)","[4.75,5.0)",0,0,58.0,48.343207146735374,9.656792853264626,0.5390918254852295,3.612436251498925,6.700966478665149,3.52978568268597,2.6732078245692747,1.4411044860484494,2.7358014682399485,0.12503011195387514,0.06114253788805746,0.12673977446265508
35,"[300,500)","[5,6)",0,0,24.0,54.30969174083738,-30.30969174083738,0.3362881541252136,2.133571152553092,6.34447311444303,2.1682659022990203,-14.206084341067296,-4.777337880404622,-13.978770642797963,-0.5973751986700235,-0.6749101989050482,-0.5980140303156071
36,"[300,500)",>=6,0,0,0.0,0.0,0.0,0.7129790186882019,0.005546456299613248,0.007779270012486595,0.0004434969103951436,0.0,0.0,0.0,,,
37,"[500,800)","[2,2.5)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
38,"[500,800)","[2.5,3)",0,0,96.0,93.70087592675429,2.2991240732457072,0.7129790186882019,10.533339147625933,14.773701429540024,14.755124463885748,0.21827115229304067,0.15562275196983522,0.15581868379849878,-0.08787767449278583,-0.13313191827625664,-0.13293366009061494
39,"[500,800)","[3,3.25)",1,0,432.0,148.5245130827103,283.4754869172897,0.590565025806427,233.44696009949809,395.294251942404,302.1334705116276,1.2143036122486615,0.7171252441044683,0.93824588992824,0.3368368344014144,-0.7528640404486274,-0.12562225054356954
40,"[500,800)","[3.25,3.5)",1,1,1155.0,396.8788199362221,758.121180063778,0.590565025806427,583.698983953634,988.3737750243212,768.4358065571563,1.298822168455238,0.7670389474317271,0.9865771136569088,0.43948476801602415,-0.5801584347523118,-0.025989359913526976
41,"[500,800)","[3.5,3.75)",1,1,559.0,195.55135881066178,363.4486411893382,0.7030451893806458,334.73648332291054,476.1237092281362,372.2167098277472,1.0857754063178404,0.7633491761595738,0.9764436458468868,0.1468266855370081,-0.5761916906335235,-0.04483767687289999
42,"[500,800)","[3.75,4.0)",1,1,238.0,158.51301047074116,79.48698952925884,0.7524763941764832,78.38197754052695,104.16536405279382,91.54534040940139,1.0140977814467689,0.7630846419254358,0.8682800148405565,0.006971112247823059,-0.1556867442631165,-0.07607167919108018
43,"[500,800)","[4.0,4.25)",1,0,175.0,144.93814658241652,30.061853417583478,0.6689862012863159,17.56341831773333,26.253782640004637,21.494918378014358,1.7116174581590875,1.1450484613891878,1.3985562954419792,0.08623288895682914,0.026273764825697207,0.0591075244273093
44,"[500,800)","[4.25,4.5)",0,0,74.0,70.51131026990514,3.488689730094862,0.6910998225212097,6.84186190632381,9.899961891704631,6.839963390289282,0.5099035581046043,0.3523942585090254,0.5100450881137414,-0.04755509667021622,-0.09092544355038255,-0.04752817168432018
45,"[500,800)","[4.5,4.75)",0,0,43.0,26.1280725156028,16.8719274843972,0.6936807632446289,4.396232207465986,6.337543781527122,4.225348515603955,3.8378153582843337,2.6622186869266358,3.9930262372654464,0.4774824193204896,0.4031825805971452,0.4840226526943822
46,"[500,800)","[4.75,5.0)",0,0,18.0,21.812340417636914,-3.8123404176369142,0.6524077653884888,2.4977515350733963,3.8285128834817934,2.4589722686470425,-1.526308907873372,-0.9957757838782114,-1.550379589979887,-0.2892899996924735,-0.35029956230375464,-0.28751214066020764
47,"[500,800)","[5,6)",0,0,10.0,11.046840580748274,-1.046840580748274,0.5099676847457886,2.0736922324393086,4.066320856140157,2.148090765645777,-0.5048196469911367,-0.2574417065902562,-0.4873353572811268,-0.2824819268801477,-0.46286188340576956,-0.28921675143587866
48,"[500,800)",>=6,0,0,0.0,0.0,0.0,0.7129790186882019,0.004890121333152943,0.0068587170238896995,0.0005875459584787503,0.0,0.0,0.0,,,
49,"[800,1100)","[2,2.5)",0,0,0.0,0.0,0.0,0.7129790186882019,0.0,0.0,0.0,,,,,,
50,"[800,1100)","[2.5,3)",0,0,0.0,0.0,0.0,0.7129790186882019,0.04644806467233712,0.06514646778497933,0.06514646778497933,0.0,0.0,0.0,,,
51,"[800,1100)","[3,3.25)",0,0,68.0,46.092399649078246,21.907600350921754,0.7129790186882019,12.121576504551074,17.001308855979183,17.001308855979183,1.8073226978930088,1.288583163596671,1.288583163596671,0.21231317789648604,0.10644469657245731,0.10644469657245731
52,"[800,1100)","[3.25,3.5)",1,1,174.0,31.844042170756428,142.15595782924356,0.715205192565918,133.11039633154903,186.1149747165471,150.59815904012564,1.067955334421543,0.763807200606759,0.943942201785928,0.2840582062160881,-1.380447138324441,-0.2651108538800663
53,"[800,1100)","[3.5,3.75)",1,1,280.0,72.54814598870522,207.45185401129478,0.6843349933624268,192.8496696378216,281.80594519983515,218.7609410733584,1.0757179641577639,0.7361514458617466,0.9483039019370864,0.20127577589297127,-1.0248930579165498,-0.15588388797453606
54,"[800,1100)","[3.75,4.0)",1,1,152.0,55.02882674107502,96.97117325892498,0.7769456505775452,92.09200759510337,118.53082326498188,96.15988689292773,1.052981423591867,0.8181093371986528,1.0084368481724673,0.08866563132045967,-0.3917882913895416,0.014742934095516183
55,"[800,1100)","[4.0,4.25)",1,1,105.0,38.063762432081,66.936237567919,0.8465465307235718,19.434470877886223,22.95735694678818,21.26322103818768,3.4442016964857687,2.9156769972722674,3.1479820224652166,1.24795247907488,1.1554002497678584,1.199908091356651
56,"[800,1100)","[4.25,4.5)",0,0,41.0,25.19937885425238,15.80062114574762,0.625923752784729,2.5396447800029747,4.057434741378832,3.4135053710621146,6.221587077909814,3.8942391320822867,4.62885492423621,0.5262421920176363,0.4660109470272571,0.4915643296737525
57,"[800,1100)","[4.5,4.75)",0,0,8.0,1.9941167866528713,6.005883213347129,0.7004961967468262,0.7797151727675498,1.1130898017557045,0.818037772245369,7.702663001964712,5.395686137698772,7.341816499331127,2.6207933635380063,2.453614273918223,2.601575532499061
58,"[800,1100)","[4.75,5.0)",0,0,0.0,0.05859991792044366,-0.05859991792044366,0.6651483774185181,0.4195286468260907,0.6307294147725464,0.4283366745082785,-0.13968037311343695,-0.09290817353361577,-0.13680807973707862,-8.15920195307527,-11.763315669295585,-8.309509803235498
59,"[800,1100)","[5,6)",0,0,2.0,0.9215836302254892,1.0784163697745108,0.5799309611320496,0.432206018336594,0.745271501788609,0.4694437573601747,2.4951442692189914,1.447011414211295,2.2972216647182075,0.7011955619044631,0.3614917377649051,0.6607893114001334
