selector,containment_mode,nhit_bin,cells,N_on,B_on,excess,official_expected_counts,observed_over_expected,N_on_over_B_on,expected_over_all_direction_c1
all84,nominal_containment,all,84,128987.0,113387.29360551313,15599.706394486873,11404.078804461471,1.3679058749036355,1.1375789640835767,0.6410501240689647
all84,containment_1,all,84,128987.0,113387.29360551313,15599.706394486873,17789.683483837234,0.8768962308216411,1.1375789640835767,1.0
all84,aperture_response_containment_1,all,84,128987.0,113387.29360551313,15599.706394486873,13889.215014322781,1.1231524876244054,1.1375789640835767,0.7807454824557046
all84,nominal_containment,"[125,200)",12,90339.0,85077.01993439805,5261.980065601959,3840.972327446515,1.3699604206990297,1.0618496048599189,0.6224275164448341
all84,containment_1,"[125,200)",12,90339.0,85077.01993439805,5261.980065601959,6170.955213203434,0.8527010622834171,1.0618496048599189,1.0
all84,aperture_response_containment_1,"[125,200)",12,90339.0,85077.01993439805,5261.980065601959,4684.307612282339,1.1233207767579039,1.0618496048599189,0.7590895494201205
all84,nominal_containment,"[200,300)",12,24753.0,20423.955614224582,4329.044385775422,2978.8478483302456,1.4532613299474195,1.211959155588861,0.6576329528809313
all84,containment_1,"[200,300)",12,24753.0,20423.955614224582,4329.044385775422,4529.65113028572,0.9557125397209908,1.211959155588861,1.0
all84,aperture_response_containment_1,"[200,300)",12,24753.0,20423.955614224582,4329.044385775422,3612.1872909549793,1.1984551290060383,1.211959155588861,0.7974537524100959
all84,nominal_containment,"[300,500)",12,9686.0,6051.2843820124,3634.7156179875988,2566.989119961361,1.4159450812328762,1.6006519258608778,0.6364053895317081
all84,containment_1,"[300,500)",12,9686.0,6051.2843820124,3634.7156179875988,4033.575394215709,0.9011150809775146,1.6006519258608778,1.0
all84,aperture_response_containment_1,"[300,500)",12,9686.0,6051.2843820124,3634.7156179875988,3183.47309679786,1.1417453540422966,1.6006519258608778,0.7892434839232394
