run,spectrum,nhit_bin,cells,total_excess,total_expected_counts,total_observed_over_expected,valid_ratio_cells,median_observed_over_expected,cells_observed_over_expected_gt_1,cells_observed_over_expected_gt_1p5
active30,official_pass5,"[1100,2000)",5,281.43908271271425,258.81921413236535,1.087396403919149,5,1.117294824532246,4,1
active30,official_pass5,"[125,200)",4,5443.015863402573,3684.400102246001,1.477314002918555,4,1.4591035862609905,3,2
active30,official_pass5,"[200,300)",4,4179.357078619075,2781.055156207994,1.5027954657029112,4,1.6141048013139656,4,2
active30,official_pass5,"[2000,3000)",3,16.453911220065258,8.785939840552071,1.8727548240338696,3,1.6130173114311257,2,2
active30,official_pass5,"[300,500)",5,3585.225275139969,2506.7238217863387,1.4302434292841522,5,1.450779449665564,5,2
active30,official_pass5,"[500,800)",5,1514.5941511172482,1247.827823234303,1.213784564597623,5,1.2143036122486615,5,1
active30,official_pass5,"[800,1100)",4,513.5152226673823,437.4865444423602,1.1737851808035187,4,1.0718366492896534,4,1
active30,tutorial_v099,"[1100,2000)",5,281.43908271271425,281.03891883915844,1.0014238735161973,5,1.0302406412900256,3,1
active30,tutorial_v099,"[125,200)",4,5443.015863402573,3928.665822068038,1.3854616579573027,4,1.3643012386608602,3,1
active30,tutorial_v099,"[200,300)",4,4179.357078619075,2950.7824855508607,1.4163555257238354,4,1.5244473247249484,4,2
active30,tutorial_v099,"[2000,3000)",3,16.453911220065258,9.724929031192595,1.6919312384994825,3,1.4529730549985342,2,1
active30,tutorial_v099,"[300,500)",5,3585.225275139969,2653.7786053740715,1.3509888382850244,5,1.3748557211997694,5,2
active30,tutorial_v099,"[500,800)",5,1514.5941511172482,1327.9312492306094,1.1405666912310328,5,1.151115692608897,4,1
active30,tutorial_v099,"[800,1100)",4,513.5152226673823,471.6258264214456,1.088819131394438,4,0.9970355453694884,1,1
